# Graph for Java/GraphStream
# Nodes: 25
# Edges: 252

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Ronaldo | Thomas Gravesen | 10 | 25 | 20
EDGE Ronaldo | Jonathan Woodgate | 6 | 25 | 11
EDGE Ronaldo | Cicinho | 9 | 25 | 19
EDGE Ronaldo | Álvaro Mejía | 4 | 25 | 15
EDGE Ronaldo | Raúl Bravo | 6 | 25 | 13
EDGE Jonathan Woodgate | Cicinho | 4 | 11 | 19
EDGE Jonathan Woodgate | Álvaro Mejía | 1 | 11 | 15
EDGE Jonathan Woodgate | Thomas Gravesen | 4 | 11 | 20
EDGE Thomas Gravesen | Cicinho | 10 | 20 | 19
EDGE Thomas Gravesen | Álvaro Mejía | 6 | 20 | 15
EDGE Thomas Gravesen | Raúl Bravo | 7 | 20 | 13
EDGE Thomas Gravesen | Antonio Cassano | 2 | 20 | 4
EDGE Thomas Gravesen | Diego López | 4 | 20 | 5
EDGE Thomas Gravesen | Roberto Soldado | 4 | 20 | 5
EDGE Thomas Gravesen | Rubén de la Red | 1 | 20 | 1
EDGE Thomas Gravesen | Javier Balboa | 1 | 20 | 1
EDGE Cicinho | Álvaro Mejía | 9 | 19 | 15
EDGE Cicinho | Antonio Cassano | 3 | 19 | 4
EDGE Cicinho | Raúl Bravo | 7 | 19 | 13
EDGE Cicinho | Diego López | 1 | 19 | 5
EDGE Cicinho | Roberto Soldado | 1 | 19 | 5
EDGE Álvaro Mejía | Antonio Cassano | 1 | 15 | 4
EDGE Álvaro Mejía | Raúl Bravo | 5 | 15 | 13
EDGE Álvaro Mejía | Diego López | 3 | 15 | 5
EDGE Álvaro Mejía | Roberto Soldado | 3 | 15 | 5
EDGE Antonio Cassano | Raúl Bravo | 2 | 4 | 13
EDGE Raúl Bravo | Diego López | 4 | 13 | 5
EDGE Raúl Bravo | Roberto Soldado | 4 | 13 | 5
EDGE Raúl Bravo | Rubén de la Red | 1 | 13 | 1
EDGE Raúl Bravo | Javier Balboa | 1 | 13 | 1
EDGE Diego López | Roberto Soldado | 5 | 5 | 5
EDGE Diego López | Rubén de la Red | 1 | 5 | 1
EDGE Diego López | Javier Balboa | 1 | 5 | 1
EDGE Roberto Soldado | Rubén de la Red | 1 | 5 | 1
EDGE Roberto Soldado | Javier Balboa | 1 | 5 | 1
EDGE Rubén de la Red | Javier Balboa | 1 | 1 | 1
