# Graph for Java/GraphStream
# Nodes: 25
# Edges: 263

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mikel Rico | Unai López | 11 | 48 | 12
EDGE Mikel Rico | Óscar de Marcos | 42 | 48 | 48
EDGE Mikel Rico | Borja Viguera | 12 | 48 | 14
EDGE Mikel Rico | Guillermo Fernández | 8 | 48 | 9
EDGE Mikel Rico | Carlos Gurpegui | 23 | 48 | 25
EDGE Mikel Rico | Mikel San José | 27 | 48 | 36
EDGE Mikel Rico | Beñat Etxebarria | 25 | 48 | 33
EDGE Mikel Rico | Ibai Gómez | 13 | 48 | 17
EDGE Mikel Rico | Markel Susaeta | 26 | 48 | 31
EDGE Mikel Rico | Iago Herrerín | 11 | 48 | 15
EDGE Mikel Rico | Iñaki Williams | 15 | 48 | 20
EDGE Mikel Rico | Aritz Aduriz | 33 | 48 | 41
EDGE Mikel Rico | Iker Muniain | 34 | 48 | 38
EDGE Mikel Rico | Unai Bustinza | 2 | 48 | 2
EDGE Mikel Rico | Kike Sola | 1 | 48 | 1
EDGE Mikel Rico | Jon Aurtenetxe | 3 | 48 | 6
EDGE Mikel Rico | Erik Morán | 1 | 48 | 2
EDGE Mikel Rico | Ager Aketxe | 1 | 48 | 4
EDGE Unai López | Óscar de Marcos | 10 | 12 | 48
EDGE Unai López | Borja Viguera | 3 | 12 | 14
EDGE Unai López | Guillermo Fernández | 1 | 12 | 9
EDGE Unai López | Mikel San José | 9 | 12 | 36
EDGE Unai López | Iker Muniain | 8 | 12 | 38
EDGE Unai López | Markel Susaeta | 7 | 12 | 31
EDGE Unai López | Aritz Aduriz | 9 | 12 | 41
EDGE Unai López | Iago Herrerín | 1 | 12 | 15
EDGE Unai López | Carlos Gurpegui | 4 | 12 | 25
EDGE Unai López | Ibai Gómez | 3 | 12 | 17
EDGE Unai López | Iñaki Williams | 2 | 12 | 20
EDGE Unai López | Erik Morán | 1 | 12 | 2
EDGE Unai López | Beñat Etxebarria | 1 | 12 | 33
EDGE Óscar de Marcos | Borja Viguera | 11 | 48 | 14
EDGE Óscar de Marcos | Guillermo Fernández | 9 | 48 | 9
EDGE Óscar de Marcos | Carlos Gurpegui | 21 | 48 | 25
EDGE Óscar de Marcos | Mikel San José | 30 | 48 | 36
EDGE Óscar de Marcos | Beñat Etxebarria | 28 | 48 | 33
EDGE Óscar de Marcos | Ibai Gómez | 14 | 48 | 17
EDGE Óscar de Marcos | Markel Susaeta | 25 | 48 | 31
EDGE Óscar de Marcos | Iago Herrerín | 13 | 48 | 15
EDGE Óscar de Marcos | Iñaki Williams | 17 | 48 | 20
EDGE Óscar de Marcos | Aritz Aduriz | 33 | 48 | 41
EDGE Óscar de Marcos | Iker Muniain | 33 | 48 | 38
EDGE Óscar de Marcos | Ager Aketxe | 2 | 48 | 4
EDGE Óscar de Marcos | Unai Bustinza | 1 | 48 | 2
