# Graph for Java/GraphStream
# Nodes: 35
# Edges: 405

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gavi | Ilias Akhomach | 1 | 36 | 3
EDGE Gavi | Alejandro Balde | 1 | 36 | 2
EDGE Gavi | Riqui Puig | 1 | 36 | 3
EDGE Gavi | Sergio Agüero | 1 | 36 | 2
EDGE Gavi | Neto | 1 | 36 | 4
EDGE Abde Ezzalzouli | Ferran Torres | 2 | 7 | 25
EDGE Abde Ezzalzouli | Ferran Jutglà | 3 | 7 | 6
EDGE Abde Ezzalzouli | Eric García | 3 | 7 | 32
EDGE Abde Ezzalzouli | Frenkie de Jong | 5 | 7 | 41
EDGE Abde Ezzalzouli | Ousmane Dembélé | 3 | 7 | 18
EDGE Abde Ezzalzouli | Nico González | 3 | 7 | 17
EDGE Abde Ezzalzouli | Memphis Depay | 2 | 7 | 27
EDGE Abde Ezzalzouli | Samuel Umtiti | 1 | 7 | 1
EDGE Abde Ezzalzouli | Luuk de Jong | 2 | 7 | 10
EDGE Abde Ezzalzouli | Clément Lenglet | 2 | 7 | 11
EDGE Abde Ezzalzouli | Sergiño Dest | 2 | 7 | 23
EDGE Abde Ezzalzouli | Philippe Coutinho | 1 | 7 | 5
EDGE Ferran Torres | Ferran Jutglà | 1 | 25 | 6
EDGE Ferran Torres | Frenkie de Jong | 19 | 25 | 41
EDGE Ferran Torres | Ousmane Dembélé | 12 | 25 | 18
EDGE Ferran Torres | Pierre-Emerick Aubameyang | 17 | 25 | 18
EDGE Ferran Torres | Eric García | 13 | 25 | 32
EDGE Ferran Torres | Sergiño Dest | 9 | 25 | 23
EDGE Ferran Torres | Nico González | 3 | 25 | 17
EDGE Ferran Torres | Memphis Depay | 6 | 25 | 27
EDGE Ferran Torres | Adama Traoré | 9 | 25 | 9
EDGE Ferran Torres | Clément Lenglet | 3 | 25 | 11
EDGE Ferran Torres | Óscar Mingueza | 3 | 25 | 14
EDGE Ferran Torres | Luuk de Jong | 2 | 25 | 10
EDGE Ferran Torres | Alejandro Balde | 1 | 25 | 2
EDGE Ferran Torres | Riqui Puig | 1 | 25 | 3
EDGE Ferran Torres | Neto | 1 | 25 | 4
EDGE Ferran Jutglà | Eric García | 5 | 6 | 32
EDGE Ferran Jutglà | Frenkie de Jong | 3 | 6 | 41
EDGE Ferran Jutglà | Ousmane Dembélé | 3 | 6 | 18
EDGE Ferran Jutglà | Óscar Mingueza | 2 | 6 | 14
EDGE Ferran Jutglà | Nico González | 3 | 6 | 17
EDGE Ferran Jutglà | Riqui Puig | 2 | 6 | 3
EDGE Ferran Jutglà | Ilias Akhomach | 2 | 6 | 3
EDGE Ferran Jutglà | Luuk de Jong | 2 | 6 | 10
EDGE Ferran Jutglà | Neto | 1 | 6 | 4
EDGE Ferran Jutglà | Clément Lenglet | 1 | 6 | 11
EDGE Eric García | Frenkie de Jong | 24 | 32 | 41
