# Graph for Java/GraphStream
# Nodes: 26
# Edges: 274

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Rafa Márquez | Thierry Henry | 17 | 25 | 40
EDGE Rafa Márquez | Sylvinho | 7 | 25 | 15
EDGE Rafa Márquez | Giovani dos Santos | 8 | 25 | 16
EDGE Rafa Márquez | Oleguer | 3 | 25 | 9
EDGE Rafa Márquez | Ronaldinho | 8 | 25 | 20
EDGE Rafa Márquez | Albert Jorquera | 2 | 25 | 2
EDGE Rafa Márquez | José Manuel Pinto | 1 | 25 | 3
EDGE Gianluca Zambrotta | Yaya Touré | 27 | 37 | 37
EDGE Gianluca Zambrotta | Deco | 16 | 37 | 24
EDGE Gianluca Zambrotta | Lionel Messi | 20 | 37 | 34
EDGE Gianluca Zambrotta | Thierry Henry | 27 | 37 | 40
EDGE Gianluca Zambrotta | Sylvinho | 11 | 37 | 15
EDGE Gianluca Zambrotta | Giovani dos Santos | 8 | 37 | 16
EDGE Gianluca Zambrotta | Oleguer | 2 | 37 | 9
EDGE Gianluca Zambrotta | Ronaldinho | 11 | 37 | 20
EDGE Gianluca Zambrotta | Santiago Ezquerro | 1 | 37 | 2
EDGE Gianluca Zambrotta | José Manuel Pinto | 2 | 37 | 3
EDGE Yaya Touré | Deco | 13 | 37 | 24
EDGE Yaya Touré | Lionel Messi | 22 | 37 | 34
EDGE Yaya Touré | Thierry Henry | 23 | 37 | 40
EDGE Yaya Touré | Oleguer | 4 | 37 | 9
EDGE Yaya Touré | Ronaldinho | 14 | 37 | 20
EDGE Yaya Touré | Sylvinho | 8 | 37 | 15
EDGE Yaya Touré | Giovani dos Santos | 7 | 37 | 16
EDGE Yaya Touré | Santiago Ezquerro | 1 | 37 | 2
EDGE Yaya Touré | José Manuel Pinto | 2 | 37 | 3
EDGE Yaya Touré | Albert Jorquera | 1 | 37 | 2
EDGE Deco | Lionel Messi | 19 | 24 | 34
EDGE Deco | Thierry Henry | 19 | 24 | 40
EDGE Deco | Oleguer | 5 | 24 | 9
EDGE Deco | Sylvinho | 5 | 24 | 15
EDGE Deco | Giovani dos Santos | 5 | 24 | 16
EDGE Deco | Ronaldinho | 8 | 24 | 20
EDGE Deco | José Manuel Pinto | 1 | 24 | 3
EDGE Deco | Oier Olazábal | 1 | 24 | 1
EDGE Deco | Víctor Sánchez | 1 | 24 | 1
EDGE Deco | Santiago Ezquerro | 1 | 24 | 2
EDGE Lionel Messi | Thierry Henry | 24 | 34 | 40
EDGE Lionel Messi | Oleguer | 8 | 34 | 9
EDGE Lionel Messi | José Manuel Pinto | 2 | 34 | 3
EDGE Lionel Messi | Giovani dos Santos | 3 | 34 | 16
EDGE Lionel Messi | Ronaldinho | 14 | 34 | 20
EDGE Lionel Messi | Sylvinho | 5 | 34 | 15
EDGE Thierry Henry | Oleguer | 8 | 40 | 9
EDGE Thierry Henry | José Manuel Pinto | 3 | 40 | 3
EDGE Thierry Henry | Giovani dos Santos | 11 | 40 | 16
EDGE Thierry Henry | Ronaldinho | 13 | 40 | 20
EDGE Thierry Henry | Sylvinho | 8 | 40 | 15
EDGE Thierry Henry | Albert Jorquera | 1 | 40 | 2
EDGE Oleguer | José Manuel Pinto | 1 | 9 | 3
EDGE Oleguer | Giovani dos Santos | 3 | 9 | 16
EDGE Oleguer | Ronaldinho | 4 | 9 | 20
EDGE Oleguer | Albert Jorquera | 1 | 9 | 2
EDGE Oleguer | Sylvinho | 1 | 9 | 15
EDGE José Manuel Pinto | Giovani dos Santos | 2 | 3 | 16
EDGE José Manuel Pinto | Sylvinho | 1 | 3 | 15
EDGE Giovani dos Santos | Sylvinho | 7 | 16 | 15
EDGE Giovani dos Santos | Santiago Ezquerro | 2 | 16 | 2
EDGE Giovani dos Santos | Ronaldinho | 3 | 16 | 20
EDGE Giovani dos Santos | Albert Jorquera | 2 | 16 | 2
EDGE Giovani dos Santos | Oier Olazábal | 1 | 16 | 1
EDGE Giovani dos Santos | Víctor Sánchez | 1 | 16 | 1
EDGE Ronaldinho | Sylvinho | 5 | 20 | 15
EDGE Ronaldinho | Albert Jorquera | 1 | 20 | 2
EDGE Sylvinho | Albert Jorquera | 2 | 15 | 2
EDGE Sylvinho | Oier Olazábal | 1 | 15 | 1
EDGE Sylvinho | Víctor Sánchez | 1 | 15 | 1
EDGE Sylvinho | Santiago Ezquerro | 1 | 15 | 2
EDGE Santiago Ezquerro | Oier Olazábal | 1 | 2 | 1
EDGE Santiago Ezquerro | Víctor Sánchez | 1 | 2 | 1
EDGE Oier Olazábal | Víctor Sánchez | 1 | 1 | 1
