# Graph for Java/GraphStream
# Nodes: 29
# Edges: 328

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gonzalo Rodríguez | Javi Rubio | 1 | 40 | 2
EDGE Gonzalo Rodríguez | Luciano Figueroa | 10 | 40 | 13
EDGE Gonzalo Rodríguez | Juan Pablo Sorín | 21 | 40 | 28
EDGE Gonzalo Rodríguez | Jan Kromkamp | 9 | 40 | 10
EDGE Gonzalo Rodríguez | Antonio Valencia | 1 | 40 | 1
EDGE Carlos Alcántara | Marcos Senna | 3 | 5 | 42
EDGE Carlos Alcántara | Héctor Font | 3 | 5 | 10
EDGE Carlos Alcántara | Antonio Guayre | 4 | 5 | 9
EDGE Carlos Alcántara | Javier López Vallejo | 1 | 5 | 1
EDGE Carlos Alcántara | Quique Álvarez | 2 | 5 | 30
EDGE Carlos Alcántara | Javi Rubio | 2 | 5 | 2
EDGE Carlos Alcántara | Roger García | 3 | 5 | 11
EDGE Carlos Alcántara | Luciano Figueroa | 2 | 5 | 13
EDGE Carlos Alcántara | Jan Kromkamp | 1 | 5 | 10
EDGE Carlos Alcántara | Santi Cazorla | 1 | 5 | 15
EDGE Carlos Alcántara | Oscar López | 1 | 5 | 1
EDGE Carlos Alcántara | Javier Calleja | 1 | 5 | 3
EDGE Marcos Senna | Héctor Font | 8 | 42 | 10
EDGE Marcos Senna | Antonio Guayre | 7 | 42 | 9
EDGE Marcos Senna | Rodolfo Arruabarrena | 38 | 42 | 46
EDGE Marcos Senna | Santi Cazorla | 10 | 42 | 15
EDGE Marcos Senna | Quique Álvarez | 22 | 42 | 30
EDGE Marcos Senna | Roger García | 7 | 42 | 11
EDGE Marcos Senna | Javier Calleja | 2 | 42 | 3
EDGE Marcos Senna | Juan Pablo Sorín | 23 | 42 | 28
EDGE Marcos Senna | Luciano Figueroa | 11 | 42 | 13
EDGE Marcos Senna | Jan Kromkamp | 6 | 42 | 10
EDGE Marcos Senna | Antonio Valencia | 1 | 42 | 1
EDGE Héctor Font | Antonio Guayre | 6 | 10 | 9
EDGE Héctor Font | Rodolfo Arruabarrena | 7 | 10 | 46
EDGE Héctor Font | Jan Kromkamp | 2 | 10 | 10
EDGE Héctor Font | Quique Álvarez | 6 | 10 | 30
EDGE Héctor Font | Roger García | 2 | 10 | 11
EDGE Héctor Font | Luciano Figueroa | 2 | 10 | 13
EDGE Héctor Font | Oscar López | 1 | 10 | 1
EDGE Héctor Font | Javier Calleja | 1 | 10 | 3
EDGE Héctor Font | Javi Rubio | 1 | 10 | 2
EDGE Héctor Font | Juan Pablo Sorín | 2 | 10 | 28
EDGE Héctor Font | Santi Cazorla | 1 | 10 | 15
EDGE Héctor Font | Antonio Valencia | 1 | 10 | 1
EDGE Antonio Guayre | Quique Álvarez | 6 | 9 | 30
EDGE Antonio Guayre | Rodolfo Arruabarrena | 5 | 9 | 46
EDGE Antonio Guayre | Roger García | 4 | 9 | 11
EDGE Antonio Guayre | Javier Calleja | 2 | 9 | 3
EDGE Antonio Guayre | Jan Kromkamp | 2 | 9 | 10
EDGE Antonio Guayre | Santi Cazorla | 3 | 9 | 15
EDGE Antonio Guayre | Luciano Figueroa | 1 | 9 | 13
EDGE Antonio Guayre | Oscar López | 1 | 9 | 1
EDGE Antonio Guayre | Javi Rubio | 1 | 9 | 2
EDGE Antonio Guayre | Juan Pablo Sorín | 2 | 9 | 28
EDGE Rodolfo Arruabarrena | Santi Cazorla | 13 | 46 | 15
EDGE Rodolfo Arruabarrena | Quique Álvarez | 27 | 46 | 30
EDGE Rodolfo Arruabarrena | Roger García | 8 | 46 | 11
EDGE Rodolfo Arruabarrena | Javier Calleja | 1 | 46 | 3
EDGE Rodolfo Arruabarrena | Juan Pablo Sorín | 26 | 46 | 28
EDGE Rodolfo Arruabarrena | Luciano Figueroa | 11 | 46 | 13
EDGE Rodolfo Arruabarrena | Jan Kromkamp | 9 | 46 | 10
EDGE Rodolfo Arruabarrena | Antonio Valencia | 1 | 46 | 1
EDGE Santi Cazorla | Jan Kromkamp | 4 | 15 | 10
EDGE Santi Cazorla | Juan Pablo Sorín | 6 | 15 | 28
EDGE Santi Cazorla | Quique Álvarez | 8 | 15 | 30
EDGE Santi Cazorla | Roger García | 3 | 15 | 11
EDGE Santi Cazorla | Luciano Figueroa | 2 | 15 | 13
EDGE Quique Álvarez | Roger García | 4 | 30 | 11
EDGE Quique Álvarez | Javier Calleja | 1 | 30 | 3
EDGE Quique Álvarez | Javier López Vallejo | 1 | 30 | 1
EDGE Quique Álvarez | Javi Rubio | 1 | 30 | 2
EDGE Quique Álvarez | Luciano Figueroa | 8 | 30 | 13
EDGE Quique Álvarez | Juan Pablo Sorín | 16 | 30 | 28
EDGE Quique Álvarez | Jan Kromkamp | 5 | 30 | 10
EDGE Quique Álvarez | Antonio Valencia | 1 | 30 | 1
EDGE Roger García | Javier Calleja | 2 | 11 | 3
EDGE Roger García | Javier López Vallejo | 1 | 11 | 1
EDGE Roger García | Javi Rubio | 2 | 11 | 2
EDGE Roger García | Luciano Figueroa | 5 | 11 | 13
EDGE Roger García | Juan Pablo Sorín | 3 | 11 | 28
EDGE Roger García | Oscar López | 1 | 11 | 1
EDGE Roger García | Jan Kromkamp | 1 | 11 | 10
EDGE Javier Calleja | Oscar López | 1 | 3 | 1
EDGE Javier Calleja | Javi Rubio | 1 | 3 | 2
EDGE Javier Calleja | Juan Pablo Sorín | 1 | 3 | 28
EDGE Javier López Vallejo | Javi Rubio | 1 | 1 | 2
EDGE Javier López Vallejo | Luciano Figueroa | 1 | 1 | 13
EDGE Javi Rubio | Luciano Figueroa | 1 | 2 | 13
EDGE Javi Rubio | Oscar López | 1 | 2 | 1
EDGE Luciano Figueroa | Juan Pablo Sorín | 8 | 13 | 28
EDGE Luciano Figueroa | Jan Kromkamp | 3 | 13 | 10
EDGE Luciano Figueroa | Antonio Valencia | 1 | 13 | 1
EDGE Juan Pablo Sorín | Jan Kromkamp | 6 | 28 | 10
