# Graph for Java/GraphStream
# Nodes: 29
# Edges: 333

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Joel Campbell | Ikechukwu Uche | 4 | 18 | 27
EDGE Joel Campbell | Luciano Vietto | 5 | 18 | 29
EDGE Joel Campbell | Denis Cheryshev | 1 | 18 | 27
EDGE Giovani dos Santos | Gerard Moreno | 10 | 21 | 30
EDGE Giovani dos Santos | Jonathan dos Santos | 7 | 21 | 28
EDGE Giovani dos Santos | Mateo Musacchio | 8 | 21 | 22
EDGE Giovani dos Santos | Gabriel Paulista | 9 | 21 | 28
EDGE Giovani dos Santos | Mario Gaspar | 14 | 21 | 46
EDGE Giovani dos Santos | Bruno Soriano | 10 | 21 | 30
EDGE Giovani dos Santos | Manu Trigueros | 11 | 21 | 40
EDGE Giovani dos Santos | Denis Cheryshev | 9 | 21 | 27
EDGE Giovani dos Santos | Cani | 4 | 21 | 10
EDGE Giovani dos Santos | Ikechukwu Uche | 6 | 21 | 27
EDGE Giovani dos Santos | Juan Carlos | 2 | 21 | 10
EDGE Giovani dos Santos | Víctor Ruiz | 10 | 21 | 34
EDGE Giovani dos Santos | Adrián Marín | 2 | 21 | 8
EDGE Giovani dos Santos | Javier Espinosa | 1 | 21 | 9
EDGE Giovani dos Santos | Luciano Vietto | 4 | 21 | 29
EDGE Giovani dos Santos | Bojan Jokic | 1 | 21 | 6
EDGE Giovani dos Santos | Matías Nahuel | 1 | 21 | 3
EDGE Gerard Moreno | Jonathan dos Santos | 13 | 30 | 28
EDGE Gerard Moreno | Mateo Musacchio | 8 | 30 | 22
EDGE Gerard Moreno | Gabriel Paulista | 11 | 30 | 28
EDGE Gerard Moreno | Adrián Marín | 6 | 30 | 8
EDGE Gerard Moreno | Mario Gaspar | 21 | 30 | 46
EDGE Gerard Moreno | Bruno Soriano | 8 | 30 | 30
EDGE Gerard Moreno | Manu Trigueros | 16 | 30 | 40
EDGE Gerard Moreno | Javier Espinosa | 8 | 30 | 9
EDGE Gerard Moreno | Luciano Vietto | 9 | 30 | 29
EDGE Gerard Moreno | Juan Carlos | 9 | 30 | 10
EDGE Gerard Moreno | Víctor Ruiz | 12 | 30 | 34
EDGE Gerard Moreno | Bojan Jokic | 5 | 30 | 6
EDGE Gerard Moreno | Cani | 2 | 30 | 10
EDGE Gerard Moreno | Ikechukwu Uche | 5 | 30 | 27
EDGE Gerard Moreno | Denis Cheryshev | 5 | 30 | 27
EDGE Gerard Moreno | Israel Puerto | 2 | 30 | 2
EDGE Gerard Moreno | Matías Nahuel | 3 | 30 | 3
EDGE Gerard Moreno | José Naranjo | 2 | 30 | 2
EDGE Jonathan dos Santos | Víctor Ruiz | 19 | 28 | 34
EDGE Jonathan dos Santos | Mateo Musacchio | 12 | 28 | 22
EDGE Jonathan dos Santos | Mario Gaspar | 24 | 28 | 46
EDGE Jonathan dos Santos | Manu Trigueros | 16 | 28 | 40
