# Graph for Java/GraphStream
# Nodes: 23
# Edges: 247

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jon Dahl Tomasson | Guillermo Franco | 3 | 19 | 19
EDGE Sebastián Viera | Bruno Soriano | 9 | 18 | 22
EDGE Sebastián Viera | Robert Pirès | 15 | 18 | 31
EDGE Sebastián Viera | Guillermo Franco | 9 | 18 | 19
EDGE Sebastián Viera | Rio Mavuba | 1 | 18 | 9
EDGE Sebastián Viera | Pascal Cygan | 12 | 18 | 28
EDGE Sebastián Viera | Javi Venta | 9 | 18 | 30
EDGE Sebastián Viera | Nihat Kahveci | 8 | 18 | 31
EDGE Sebastián Viera | Josemi | 1 | 18 | 7
EDGE Sebastián Viera | Santi Cazorla | 13 | 18 | 38
EDGE Sebastián Viera | Gonzalo Rodríguez | 1 | 18 | 19
EDGE Sebastián Viera | Sebastián Eguren | 1 | 18 | 14
EDGE Bruno Soriano | Robert Pirès | 14 | 22 | 31
EDGE Bruno Soriano | Guillermo Franco | 12 | 22 | 19
EDGE Bruno Soriano | Javi Venta | 11 | 22 | 30
EDGE Bruno Soriano | Nihat Kahveci | 13 | 22 | 31
EDGE Bruno Soriano | Pascal Cygan | 13 | 22 | 28
EDGE Bruno Soriano | Josemi | 4 | 22 | 7
EDGE Bruno Soriano | Rio Mavuba | 3 | 22 | 9
EDGE Bruno Soriano | Santi Cazorla | 16 | 22 | 38
EDGE Bruno Soriano | Gonzalo Rodríguez | 5 | 22 | 19
EDGE Bruno Soriano | Sebastián Eguren | 1 | 22 | 14
EDGE Robert Pirès | Guillermo Franco | 12 | 31 | 19
EDGE Robert Pirès | Rio Mavuba | 2 | 31 | 9
EDGE Robert Pirès | Pascal Cygan | 16 | 31 | 28
EDGE Robert Pirès | Josemi | 2 | 31 | 7
EDGE Robert Pirès | Javi Venta | 19 | 31 | 30
EDGE Robert Pirès | Santi Cazorla | 23 | 31 | 38
EDGE Robert Pirès | Nihat Kahveci | 19 | 31 | 31
EDGE Robert Pirès | Gonzalo Rodríguez | 11 | 31 | 19
EDGE Robert Pirès | Sebastián Eguren | 7 | 31 | 14
EDGE Guillermo Franco | Pascal Cygan | 10 | 19 | 28
EDGE Guillermo Franco | Josemi | 2 | 19 | 7
EDGE Guillermo Franco | Javi Venta | 8 | 19 | 30
