# Graph for Java/GraphStream
# Nodes: 32
# Edges: 318

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Pablo Orbaiz | Iñaki Lafuente | 21 | 40 | 24
EDGE Pablo Orbaiz | Ander Murillo | 19 | 40 | 21
EDGE Pablo Orbaiz | Javi González | 4 | 40 | 6
EDGE Pablo Orbaiz | Ustaritz | 16 | 40 | 18
EDGE Pablo Orbaiz | Ismael Urzaiz | 15 | 40 | 16
EDGE Pablo Orbaiz | Francisco Tarantino | 2 | 40 | 2
EDGE Pablo Orbaiz | Endika Bordas | 2 | 40 | 2
EDGE Ibon Gutiérrez | Fran Yeste | 5 | 7 | 35
EDGE Ibon Gutiérrez | Joseba Etxeberria | 5 | 7 | 26
EDGE Ibon Gutiérrez | Fernando Llorente | 4 | 7 | 13
EDGE Ibon Gutiérrez | Iñaki Lafuente | 2 | 7 | 24
EDGE Ibon Gutiérrez | Fernando Amorebieta | 2 | 7 | 18
EDGE Ibon Gutiérrez | Ustaritz | 1 | 7 | 18
EDGE Ibon Gutiérrez | Javi Casas | 6 | 7 | 25
EDGE Ibon Gutiérrez | Gontzal Rodríguez | 1 | 7 | 1
EDGE Ibon Gutiérrez | David de Paula | 2 | 7 | 2
EDGE Ibon Gutiérrez | Javi González | 1 | 7 | 6
EDGE Ibon Gutiérrez | Julen Guerrero | 2 | 7 | 8
EDGE Ibon Gutiérrez | Jonan García | 1 | 7 | 1
EDGE Ibon Gutiérrez | Mikel Dañobeitia | 1 | 7 | 11
EDGE Ibon Gutiérrez | Eder Martínez | 1 | 7 | 1
EDGE Ibon Gutiérrez | Asier Ormazábal | 1 | 7 | 1
EDGE Ibon Gutiérrez | Pablo Paredes | 1 | 7 | 1
EDGE Ibon Gutiérrez | Aritz Solabarrieta | 1 | 7 | 1
EDGE Ibon Gutiérrez | Joseba Arriaga | 1 | 7 | 1
EDGE Ibon Gutiérrez | Tiko | 1 | 7 | 10
EDGE Fran Yeste | Joseba Etxeberria | 23 | 35 | 26
EDGE Fran Yeste | Fernando Llorente | 11 | 35 | 13
EDGE Fran Yeste | Javi Casas | 20 | 35 | 25
EDGE Fran Yeste | Tiko | 5 | 35 | 10
EDGE Fran Yeste | Ander Murillo | 18 | 35 | 21
EDGE Fran Yeste | Javi González | 4 | 35 | 6
EDGE Fran Yeste | Ismael Urzaiz | 14 | 35 | 16
EDGE Fran Yeste | Iñaki Lafuente | 18 | 35 | 24
EDGE Fran Yeste | Fernando Amorebieta | 13 | 35 | 18
EDGE Fran Yeste | Ustaritz | 14 | 35 | 18
EDGE Fran Yeste | Aritz Aduriz | 10 | 35 | 15
EDGE Fran Yeste | Mikel Dañobeitia | 6 | 35 | 11
EDGE Fran Yeste | Francisco Tarantino | 2 | 35 | 2
EDGE Fran Yeste | Endika Bordas | 1 | 35 | 2
EDGE Fran Yeste | Julen Guerrero | 3 | 35 | 8
EDGE Joseba Etxeberria | Fernando Llorente | 9 | 26 | 13
EDGE Joseba Etxeberria | Javi Casas | 15 | 26 | 25
EDGE Joseba Etxeberria | Tiko | 6 | 26 | 10
EDGE Joseba Etxeberria | Julen Guerrero | 4 | 26 | 8
EDGE Joseba Etxeberria | Mikel Dañobeitia | 6 | 26 | 11
EDGE Joseba Etxeberria | Aritz Aduriz | 9 | 26 | 15
EDGE Joseba Etxeberria | Fernando Amorebieta | 6 | 26 | 18
EDGE Joseba Etxeberria | Ander Murillo | 11 | 26 | 21
EDGE Joseba Etxeberria | Javi González | 3 | 26 | 6
EDGE Joseba Etxeberria | Ismael Urzaiz | 4 | 26 | 16
EDGE Joseba Etxeberria | Iñaki Lafuente | 10 | 26 | 24
EDGE Joseba Etxeberria | Ustaritz | 6 | 26 | 18
EDGE Joseba Etxeberria | Francisco Tarantino | 2 | 26 | 2
EDGE Joseba Etxeberria | Endika Bordas | 1 | 26 | 2
EDGE Fernando Llorente | Javi Casas | 9 | 13 | 25
EDGE Fernando Llorente | Tiko | 4 | 13 | 10
EDGE Fernando Llorente | Iñaki Lafuente | 5 | 13 | 24
EDGE Fernando Llorente | Ustaritz | 4 | 13 | 18
EDGE Fernando Llorente | Ander Murillo | 5 | 13 | 21
EDGE Fernando Llorente | Julen Guerrero | 1 | 13 | 8
EDGE Fernando Llorente | Javi González | 1 | 13 | 6
EDGE Fernando Llorente | Fernando Amorebieta | 2 | 13 | 18
EDGE Fernando Llorente | Aritz Aduriz | 1 | 13 | 15
EDGE Fernando Llorente | Ismael Urzaiz | 2 | 13 | 16
EDGE Fernando Llorente | Francisco Tarantino | 1 | 13 | 2
EDGE Javi Casas | Tiko | 5 | 25 | 10
EDGE Javi Casas | Iñaki Lafuente | 12 | 25 | 24
EDGE Javi Casas | Fernando Amorebieta | 6 | 25 | 18
EDGE Javi Casas | Ustaritz | 10 | 25 | 18
EDGE Javi Casas | Gontzal Rodríguez | 1 | 25 | 1
EDGE Javi Casas | David de Paula | 2 | 25 | 2
EDGE Javi Casas | Javi González | 6 | 25 | 6
EDGE Javi Casas | Julen Guerrero | 3 | 25 | 8
EDGE Javi Casas | Jonan García | 1 | 25 | 1
EDGE Javi Casas | Mikel Dañobeitia | 3 | 25 | 11
EDGE Javi Casas | Ander Murillo | 14 | 25 | 21
EDGE Javi Casas | Ismael Urzaiz | 9 | 25 | 16
EDGE Javi Casas | Eder Martínez | 1 | 25 | 1
EDGE Javi Casas | Asier Ormazábal | 1 | 25 | 1
EDGE Javi Casas | Pablo Paredes | 1 | 25 | 1
EDGE Javi Casas | Aritz Solabarrieta | 1 | 25 | 1
EDGE Javi Casas | Joseba Arriaga | 1 | 25 | 1
EDGE Javi Casas | Aritz Aduriz | 3 | 25 | 15
EDGE Tiko | Julen Guerrero | 3 | 10 | 8
EDGE Tiko | Mikel Dañobeitia | 4 | 10 | 11
EDGE Tiko | Aritz Aduriz | 3 | 10 | 15
