# Graph for Java/GraphStream
# Nodes: 26
# Edges: 259

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Muniain | Aymeric Laporte | 9 | 34 | 16
EDGE Iker Muniain | Ibai Gómez | 11 | 34 | 23
EDGE Iker Muniain | Fernando Llorente | 6 | 34 | 8
EDGE Iker Muniain | Raúl Fernández | 5 | 34 | 9
EDGE Iker Muniain | Xabier Castillo | 7 | 34 | 8
EDGE Iker Muniain | Igor Martínez | 1 | 34 | 2
EDGE Iker Muniain | Gaizka Toquero | 2 | 34 | 7
EDGE Iker Muniain | Iñigo Ruiz de Galarreta | 1 | 34 | 1
EDGE Markel Susaeta | Aritz Aduriz | 37 | 45 | 38
EDGE Markel Susaeta | Jonás Ramalho | 5 | 45 | 8
EDGE Markel Susaeta | Ander Iturraspe | 36 | 45 | 37
EDGE Markel Susaeta | Fernando Amorebieta | 15 | 45 | 16
EDGE Markel Susaeta | Iñigo Pérez | 8 | 45 | 8
EDGE Markel Susaeta | Isma López | 10 | 45 | 12
EDGE Markel Susaeta | Raúl Fernández | 6 | 45 | 9
EDGE Markel Susaeta | Aymeric Laporte | 12 | 45 | 16
EDGE Markel Susaeta | Ibai Gómez | 20 | 45 | 23
EDGE Markel Susaeta | Gaizka Toquero | 5 | 45 | 7
EDGE Markel Susaeta | Fernando Llorente | 4 | 45 | 8
EDGE Markel Susaeta | Xabier Castillo | 6 | 45 | 8
EDGE Markel Susaeta | Iñigo Ruiz de Galarreta | 1 | 45 | 1
EDGE Aritz Aduriz | Jonás Ramalho | 3 | 38 | 8
EDGE Aritz Aduriz | Ander Iturraspe | 28 | 38 | 37
EDGE Aritz Aduriz | Fernando Amorebieta | 13 | 38 | 16
EDGE Aritz Aduriz | Iñigo Pérez | 5 | 38 | 8
EDGE Aritz Aduriz | Isma López | 7 | 38 | 12
EDGE Aritz Aduriz | Raúl Fernández | 4 | 38 | 9
EDGE Aritz Aduriz | Aymeric Laporte | 13 | 38 | 16
EDGE Aritz Aduriz | Ibai Gómez | 16 | 38 | 23
EDGE Aritz Aduriz | Xabier Castillo | 5 | 38 | 8
EDGE Jonás Ramalho | Ander Iturraspe | 5 | 8 | 37
EDGE Jonás Ramalho | Iñigo Pérez | 1 | 8 | 8
EDGE Jonás Ramalho | Isma López | 3 | 8 | 12
