# Graph for Java/GraphStream
# Nodes: 24
# Edges: 259

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gonzalo Higuaín | Kaká | 15 | 28 | 25
EDGE Gonzalo Higuaín | Raúl Albiol | 7 | 28 | 8
EDGE Gonzalo Higuaín | José Callejón | 6 | 28 | 11
EDGE Gonzalo Higuaín | Nuri Şahin | 6 | 28 | 8
EDGE Gonzalo Higuaín | Sami Khedira | 16 | 28 | 33
EDGE Gonzalo Higuaín | Raphaël Varane | 7 | 28 | 13
EDGE Gonzalo Higuaín | Ángel Di María | 5 | 28 | 23
EDGE Gonzalo Higuaín | Esteban Granero | 4 | 28 | 10
EDGE Gonzalo Higuaín | Antonio Adán | 3 | 28 | 5
EDGE Karim Benzema | Marcelo | 26 | 40 | 39
EDGE Karim Benzema | Esteban Granero | 9 | 40 | 10
EDGE Karim Benzema | Mesut Özil | 32 | 40 | 44
EDGE Karim Benzema | Kaká | 12 | 40 | 25
EDGE Karim Benzema | Álvaro Arbeloa | 23 | 40 | 37
EDGE Karim Benzema | Sami Khedira | 22 | 40 | 33
EDGE Karim Benzema | Raphaël Varane | 10 | 40 | 13
EDGE Karim Benzema | Ángel Di María | 18 | 40 | 23
EDGE Karim Benzema | José Callejón | 7 | 40 | 11
EDGE Karim Benzema | Antonio Adán | 4 | 40 | 5
EDGE Karim Benzema | Jorge Casado | 1 | 40 | 1
EDGE Karim Benzema | Nuri Şahin | 5 | 40 | 8
EDGE Karim Benzema | Raúl Albiol | 4 | 40 | 8
EDGE Marcelo | Esteban Granero | 7 | 39 | 10
EDGE Marcelo | Mesut Özil | 29 | 39 | 44
EDGE Marcelo | Kaká | 19 | 39 | 25
EDGE Marcelo | Álvaro Arbeloa | 23 | 39 | 37
EDGE Marcelo | Sami Khedira | 21 | 39 | 33
EDGE Marcelo | Raúl Albiol | 7 | 39 | 8
EDGE Marcelo | José Callejón | 6 | 39 | 11
EDGE Marcelo | Nuri Şahin | 4 | 39 | 8
EDGE Marcelo | Raphaël Varane | 9 | 39 | 13
EDGE Marcelo | Ángel Di María | 16 | 39 | 23
EDGE Marcelo | Antonio Adán | 2 | 39 | 5
EDGE Esteban Granero | Mesut Özil | 7 | 10 | 44
EDGE Esteban Granero | Kaká | 6 | 10 | 25
EDGE Esteban Granero | Antonio Adán | 3 | 10 | 5
EDGE Esteban Granero | Raphaël Varane | 6 | 10 | 13
EDGE Esteban Granero | Jorge Casado | 1 | 10 | 1
EDGE Esteban Granero | Sami Khedira | 1 | 10 | 33
EDGE Esteban Granero | Nuri Şahin | 4 | 10 | 8
EDGE Esteban Granero | José Callejón | 2 | 10 | 11
EDGE Esteban Granero | Raúl Albiol | 3 | 10 | 8
EDGE Esteban Granero | Ángel Di María | 2 | 10 | 23
EDGE Esteban Granero | Álvaro Arbeloa | 5 | 10 | 37
EDGE Mesut Özil | Kaká | 13 | 44 | 25
EDGE Mesut Özil | Álvaro Arbeloa | 29 | 44 | 37
EDGE Mesut Özil | Sami Khedira | 26 | 44 | 33
EDGE Mesut Özil | Nuri Şahin | 4 | 44 | 8
EDGE Mesut Özil | José Callejón | 7 | 44 | 11
EDGE Mesut Özil | Raphaël Varane | 7 | 44 | 13
EDGE Mesut Özil | Ángel Di María | 16 | 44 | 23
EDGE Mesut Özil | Raúl Albiol | 3 | 44 | 8
EDGE Mesut Özil | Antonio Adán | 2 | 44 | 5
EDGE Mesut Özil | Jorge Casado | 1 | 44 | 1
EDGE Kaká | Álvaro Arbeloa | 17 | 25 | 37
EDGE Kaká | Raúl Albiol | 6 | 25 | 8
EDGE Kaká | José Callejón | 3 | 25 | 11
EDGE Kaká | Sami Khedira | 13 | 25 | 33
EDGE Kaká | Ángel Di María | 6 | 25 | 23
EDGE Kaká | Raphaël Varane | 9 | 25 | 13
EDGE Kaká | Nuri Şahin | 4 | 25 | 8
EDGE Kaká | Antonio Adán | 3 | 25 | 5
EDGE Álvaro Arbeloa | Sami Khedira | 23 | 37 | 33
EDGE Álvaro Arbeloa | Raúl Albiol | 5 | 37 | 8
EDGE Álvaro Arbeloa | José Callejón | 8 | 37 | 11
EDGE Álvaro Arbeloa | Nuri Şahin | 3 | 37 | 8
EDGE Álvaro Arbeloa | Ángel Di María | 11 | 37 | 23
EDGE Álvaro Arbeloa | Raphaël Varane | 5 | 37 | 13
EDGE Álvaro Arbeloa | Antonio Adán | 1 | 37 | 5
EDGE Sami Khedira | Nuri Şahin | 4 | 33 | 8
EDGE Sami Khedira | José Callejón | 5 | 33 | 11
EDGE Sami Khedira | Raphaël Varane | 5 | 33 | 13
EDGE Sami Khedira | Ángel Di María | 14 | 33 | 23
EDGE Sami Khedira | Antonio Adán | 2 | 33 | 5
EDGE Sami Khedira | Jorge Casado | 1 | 33 | 1
EDGE Sami Khedira | Raúl Albiol | 2 | 33 | 8
EDGE Raúl Albiol | José Callejón | 3 | 8 | 11
EDGE Raúl Albiol | Antonio Adán | 3 | 8 | 5
EDGE Raúl Albiol | Raphaël Varane | 4 | 8 | 13
EDGE Raúl Albiol | Nuri Şahin | 3 | 8 | 8
EDGE Raúl Albiol | Ángel Di María | 2 | 8 | 23
EDGE José Callejón | Nuri Şahin | 5 | 11 | 8
EDGE José Callejón | Raphaël Varane | 5 | 11 | 13
EDGE José Callejón | Antonio Adán | 4 | 11 | 5
EDGE José Callejón | Jorge Casado | 1 | 11 | 1
EDGE José Callejón | Ángel Di María | 1 | 11 | 23
EDGE Nuri Şahin | Antonio Adán | 5 | 8 | 5
EDGE Nuri Şahin | Raphaël Varane | 6 | 8 | 13
EDGE Nuri Şahin | Jorge Casado | 1 | 8 | 1
EDGE Nuri Şahin | Ángel Di María | 1 | 8 | 23
EDGE Raphaël Varane | Antonio Adán | 5 | 13 | 5
EDGE Raphaël Varane | Jorge Casado | 1 | 13 | 1
EDGE Raphaël Varane | Ángel Di María | 2 | 13 | 23
EDGE Ángel Di María | Antonio Adán | 1 | 23 | 5
EDGE Antonio Adán | Jorge Casado | 1 | 5 | 1
