# Graph for Java/GraphStream
# Nodes: 24
# Edges: 264

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Ronald Araujo | 28 | 49 | 29
EDGE Frenkie de Jong | Héctor Bellerín | 2 | 36 | 5
EDGE Frenkie de Jong | Franck Kessié | 9 | 36 | 15
EDGE Frenkie de Jong | Jordi Alba | 12 | 36 | 20
EDGE Frenkie de Jong | Gerard Piqué | 2 | 36 | 6
EDGE Frenkie de Jong | Pablo Torre | 1 | 36 | 4
EDGE Frenkie de Jong | Memphis Depay | 2 | 36 | 3
EDGE Gavi | Ousmane Dembélé | 16 | 39 | 25
EDGE Gavi | Ansu Fati | 11 | 39 | 14
EDGE Gavi | Marcos Alonso | 15 | 39 | 20
EDGE Gavi | Ferran Torres | 12 | 39 | 18
EDGE Gavi | Raphinha | 28 | 39 | 34
EDGE Gavi | Robert Lewandowski | 33 | 39 | 44
EDGE Gavi | Eric García | 13 | 39 | 18
EDGE Gavi | Sergi Roberto | 16 | 39 | 22
EDGE Gavi | Jordi Alba | 13 | 39 | 20
EDGE Gavi | Pablo Torre | 2 | 39 | 4
EDGE Gavi | Iñaki Peña | 1 | 39 | 3
EDGE Gavi | Gerard Piqué | 5 | 39 | 6
EDGE Gavi | Héctor Bellerín | 2 | 39 | 5
EDGE Gavi | Franck Kessié | 7 | 39 | 15
EDGE Gavi | Memphis Depay | 1 | 39 | 3
EDGE Ousmane Dembélé | Ansu Fati | 7 | 25 | 14
EDGE Ousmane Dembélé | Eric García | 11 | 25 | 18
EDGE Ousmane Dembélé | Sergi Roberto | 7 | 25 | 22
EDGE Ousmane Dembélé | Robert Lewandowski | 21 | 25 | 44
EDGE Ousmane Dembélé | Marcos Alonso | 7 | 25 | 20
EDGE Ousmane Dembélé | Héctor Bellerín | 2 | 25 | 5
EDGE Ousmane Dembélé | Franck Kessié | 6 | 25 | 15
EDGE Ousmane Dembélé | Jordi Alba | 10 | 25 | 20
EDGE Ousmane Dembélé | Raphinha | 11 | 25 | 34
EDGE Ousmane Dembélé | Gerard Piqué | 3 | 25 | 6
EDGE Ousmane Dembélé | Ferran Torres | 4 | 25 | 18
EDGE Ousmane Dembélé | Iñaki Peña | 1 | 25 | 3
EDGE Ousmane Dembélé | Pablo Torre | 1 | 25 | 4
EDGE Ousmane Dembélé | Memphis Depay | 2 | 25 | 3
EDGE Ansu Fati | Eric García | 5 | 14 | 18
EDGE Ansu Fati | Sergi Roberto | 8 | 14 | 22
EDGE Ansu Fati | Raphinha | 6 | 14 | 34
EDGE Ansu Fati | Robert Lewandowski | 9 | 14 | 44
EDGE Ansu Fati | Ferran Torres | 5 | 14 | 18
EDGE Ansu Fati | Jordi Alba | 8 | 14 | 20
EDGE Ansu Fati | Franck Kessié | 3 | 14 | 15
EDGE Ansu Fati | Marcos Alonso | 5 | 14 | 20
EDGE Ansu Fati | Iñaki Peña | 1 | 14 | 3
EDGE Ansu Fati | Gerard Piqué | 2 | 14 | 6
EDGE Ansu Fati | Héctor Bellerín | 1 | 14 | 5
EDGE Ansu Fati | Pablo Torre | 1 | 14 | 4
EDGE Marcos Alonso | Ferran Torres | 11 | 20 | 18
EDGE Marcos Alonso | Raphinha | 15 | 20 | 34
EDGE Marcos Alonso | Robert Lewandowski | 17 | 20 | 44
EDGE Marcos Alonso | Héctor Bellerín | 3 | 20 | 5
EDGE Marcos Alonso | Franck Kessié | 7 | 20 | 15
EDGE Marcos Alonso | Gerard Piqué | 4 | 20 | 6
EDGE Marcos Alonso | Jordi Alba | 9 | 20 | 20
EDGE Marcos Alonso | Sergi Roberto | 9 | 20 | 22
EDGE Marcos Alonso | Iñaki Peña | 2 | 20 | 3
EDGE Marcos Alonso | Eric García | 7 | 20 | 18
EDGE Marcos Alonso | Pablo Torre | 3 | 20 | 4
EDGE Ferran Torres | Raphinha | 10 | 18 | 34
EDGE Ferran Torres | Robert Lewandowski | 13 | 18 | 44
EDGE Ferran Torres | Eric García | 6 | 18 | 18
EDGE Ferran Torres | Sergi Roberto | 8 | 18 | 22
EDGE Ferran Torres | Gerard Piqué | 4 | 18 | 6
EDGE Ferran Torres | Jordi Alba | 9 | 18 | 20
EDGE Ferran Torres | Iñaki Peña | 3 | 18 | 3
EDGE Ferran Torres | Héctor Bellerín | 4 | 18 | 5
EDGE Ferran Torres | Franck Kessié | 6 | 18 | 15
EDGE Ferran Torres | Pablo Torre | 3 | 18 | 4
EDGE Ferran Torres | Memphis Depay | 2 | 18 | 3
EDGE Raphinha | Robert Lewandowski | 28 | 34 | 44
EDGE Raphinha | Eric García | 11 | 34 | 18
EDGE Raphinha | Sergi Roberto | 16 | 34 | 22
EDGE Raphinha | Iñaki Peña | 2 | 34 | 3
EDGE Raphinha | Jordi Alba | 10 | 34 | 20
EDGE Raphinha | Héctor Bellerín | 3 | 34 | 5
EDGE Raphinha | Franck Kessié | 9 | 34 | 15
EDGE Raphinha | Pablo Torre | 3 | 34 | 4
EDGE Raphinha | Gerard Piqué | 4 | 34 | 6
EDGE Raphinha | Memphis Depay | 1 | 34 | 3
EDGE Robert Lewandowski | Eric García | 17 | 44 | 18
EDGE Robert Lewandowski | Sergi Roberto | 20 | 44 | 22
EDGE Robert Lewandowski | Héctor Bellerín | 2 | 44 | 5
EDGE Robert Lewandowski | Franck Kessié | 12 | 44 | 15
EDGE Robert Lewandowski | Jordi Alba | 18 | 44 | 20
EDGE Robert Lewandowski | Gerard Piqué | 4 | 44 | 6
EDGE Robert Lewandowski | Iñaki Peña | 1 | 44 | 3
EDGE Robert Lewandowski | Pablo Torre | 2 | 44 | 4
EDGE Robert Lewandowski | Memphis Depay | 1 | 44 | 3
EDGE Eric García | Sergi Roberto | 11 | 18 | 22
EDGE Eric García | Jordi Alba | 5 | 18 | 20
EDGE Eric García | Iñaki Peña | 1 | 18 | 3
EDGE Eric García | Héctor Bellerín | 1 | 18 | 5
EDGE Eric García | Franck Kessié | 4 | 18 | 15
EDGE Eric García | Pablo Torre | 2 | 18 | 4
EDGE Eric García | Gerard Piqué | 1 | 18 | 6
EDGE Eric García | Memphis Depay | 1 | 18 | 3
EDGE Sergi Roberto | Jordi Alba | 8 | 22 | 20
EDGE Sergi Roberto | Franck Kessié | 7 | 22 | 15
EDGE Sergi Roberto | Iñaki Peña | 1 | 22 | 3
EDGE Sergi Roberto | Héctor Bellerín | 1 | 22 | 5
EDGE Sergi Roberto | Pablo Torre | 2 | 22 | 4
EDGE Sergi Roberto | Gerard Piqué | 1 | 22 | 6
EDGE Héctor Bellerín | Franck Kessié | 4 | 5 | 15
EDGE Héctor Bellerín | Iñaki Peña | 3 | 5 | 3
EDGE Héctor Bellerín | Jordi Alba | 3 | 5 | 20
EDGE Héctor Bellerín | Pablo Torre | 3 | 5 | 4
EDGE Héctor Bellerín | Gerard Piqué | 2 | 5 | 6
EDGE Héctor Bellerín | Memphis Depay | 2 | 5 | 3
EDGE Franck Kessié | Jordi Alba | 9 | 15 | 20
EDGE Franck Kessié | Iñaki Peña | 3 | 15 | 3
EDGE Franck Kessié | Pablo Torre | 3 | 15 | 4
EDGE Franck Kessié | Gerard Piqué | 2 | 15 | 6
EDGE Franck Kessié | Memphis Depay | 2 | 15 | 3
EDGE Jordi Alba | Gerard Piqué | 4 | 20 | 6
EDGE Jordi Alba | Iñaki Peña | 3 | 20 | 3
EDGE Jordi Alba | Pablo Torre | 3 | 20 | 4
EDGE Jordi Alba | Memphis Depay | 1 | 20 | 3
EDGE Gerard Piqué | Iñaki Peña | 1 | 6 | 3
EDGE Gerard Piqué | Pablo Torre | 1 | 6 | 4
EDGE Gerard Piqué | Memphis Depay | 1 | 6 | 3
EDGE Iñaki Peña | Pablo Torre | 3 | 3 | 4
EDGE Iñaki Peña | Memphis Depay | 1 | 3 | 3
EDGE Pablo Torre | Memphis Depay | 1 | 4 | 3
