# Graph for Java/GraphStream
# Nodes: 28
# Edges: 311

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iñigo Córdoba | Xabi Etxeita | 7 | 25 | 19
EDGE Iñigo Córdoba | Iñigo Lekue | 16 | 25 | 34
EDGE Iñigo Córdoba | Beñat Etxebarria | 6 | 25 | 20
EDGE Iñigo Córdoba | Iker Muniain | 3 | 25 | 13
EDGE Iñigo Córdoba | Aritz Aduriz | 14 | 25 | 34
EDGE Iñigo Córdoba | Enric Saborit | 6 | 25 | 20
EDGE Iñigo Córdoba | Eneko Bóveda | 4 | 25 | 7
EDGE Iñigo Córdoba | Mikel Vesga | 10 | 25 | 18
EDGE Iñigo Córdoba | Yeray Álvarez | 3 | 25 | 11
EDGE Iñigo Córdoba | Mikel Rico | 2 | 25 | 18
EDGE Iñigo Córdoba | Ager Aketxe | 2 | 25 | 3
EDGE Iñigo Córdoba | Sabin Merino | 1 | 25 | 6
EDGE Markel Susaeta | Iñaki Williams | 23 | 35 | 41
EDGE Markel Susaeta | Iago Herrerín | 14 | 35 | 23
EDGE Markel Susaeta | Aymeric Laporte | 18 | 35 | 30
EDGE Markel Susaeta | Xabi Etxeita | 12 | 35 | 19
EDGE Markel Susaeta | Mikel Vesga | 11 | 35 | 18
EDGE Markel Susaeta | Beñat Etxebarria | 12 | 35 | 20
EDGE Markel Susaeta | Iker Muniain | 5 | 35 | 13
EDGE Markel Susaeta | Aritz Aduriz | 19 | 35 | 34
EDGE Markel Susaeta | Yeray Álvarez | 6 | 35 | 11
EDGE Markel Susaeta | Enric Saborit | 14 | 35 | 20
EDGE Markel Susaeta | Mikel Rico | 13 | 35 | 18
EDGE Markel Susaeta | Iñigo Lekue | 19 | 35 | 34
EDGE Markel Susaeta | Sabin Merino | 5 | 35 | 6
EDGE Markel Susaeta | Eneko Bóveda | 3 | 35 | 7
EDGE Markel Susaeta | Óscar Gil | 1 | 35 | 1
EDGE Markel Susaeta | Ager Aketxe | 1 | 35 | 3
EDGE Markel Susaeta | Kike Sola | 1 | 35 | 1
EDGE Iñaki Williams | Yeray Álvarez | 10 | 41 | 11
EDGE Iñaki Williams | Enric Saborit | 17 | 41 | 20
EDGE Iñaki Williams | Mikel Rico | 16 | 41 | 18
EDGE Iñaki Williams | Aritz Aduriz | 23 | 41 | 34
EDGE Iñaki Williams | Iago Herrerín | 17 | 41 | 23
EDGE Iñaki Williams | Aymeric Laporte | 21 | 41 | 30
EDGE Iñaki Williams | Iñigo Lekue | 24 | 41 | 34
EDGE Iñaki Williams | Eneko Bóveda | 7 | 41 | 7
EDGE Iñaki Williams | Mikel Vesga | 11 | 41 | 18
EDGE Iñaki Williams | Xabi Etxeita | 13 | 41 | 19
EDGE Iñaki Williams | Iker Muniain | 8 | 41 | 13
EDGE Iñaki Williams | Beñat Etxebarria | 12 | 41 | 20
EDGE Iñaki Williams | Ager Aketxe | 2 | 41 | 3
EDGE Iñaki Williams | Sabin Merino | 4 | 41 | 6
EDGE Iñaki Williams | Andoni López | 1 | 41 | 1
EDGE Iago Herrerín | Aymeric Laporte | 17 | 23 | 30
EDGE Iago Herrerín | Xabi Etxeita | 15 | 23 | 19
EDGE Iago Herrerín | Mikel Vesga | 6 | 23 | 18
EDGE Iago Herrerín | Beñat Etxebarria | 9 | 23 | 20
EDGE Iago Herrerín | Iker Muniain | 7 | 23 | 13
EDGE Iago Herrerín | Aritz Aduriz | 18 | 23 | 34
EDGE Iago Herrerín | Iñigo Lekue | 18 | 23 | 34
EDGE Iago Herrerín | Enric Saborit | 8 | 23 | 20
EDGE Iago Herrerín | Eneko Bóveda | 1 | 23 | 7
EDGE Iago Herrerín | Mikel Rico | 12 | 23 | 18
EDGE Iago Herrerín | Ager Aketxe | 2 | 23 | 3
EDGE Iago Herrerín | Sabin Merino | 2 | 23 | 6
EDGE Iago Herrerín | Yeray Álvarez | 5 | 23 | 11
EDGE Iago Herrerín | Andoni López | 1 | 23 | 1
EDGE Aymeric Laporte | Xabi Etxeita | 10 | 30 | 19
EDGE Aymeric Laporte | Mikel Vesga | 14 | 30 | 18
EDGE Aymeric Laporte | Beñat Etxebarria | 7 | 30 | 20
EDGE Aymeric Laporte | Iker Muniain | 10 | 30 | 13
EDGE Aymeric Laporte | Aritz Aduriz | 23 | 30 | 34
EDGE Aymeric Laporte | Iñigo Lekue | 20 | 30 | 34
EDGE Aymeric Laporte | Enric Saborit | 9 | 30 | 20
EDGE Aymeric Laporte | Eneko Bóveda | 7 | 30 | 7
EDGE Aymeric Laporte | Mikel Rico | 9 | 30 | 18
EDGE Aymeric Laporte | Ager Aketxe | 2 | 30 | 3
EDGE Aymeric Laporte | Sabin Merino | 3 | 30 | 6
EDGE Xabi Etxeita | Mikel Vesga | 8 | 19 | 18
EDGE Xabi Etxeita | Beñat Etxebarria | 10 | 19 | 20
EDGE Xabi Etxeita | Iker Muniain | 7 | 19 | 13
EDGE Xabi Etxeita | Aritz Aduriz | 15 | 19 | 34
EDGE Xabi Etxeita | Iñigo Lekue | 12 | 19 | 34
EDGE Xabi Etxeita | Enric Saborit | 6 | 19 | 20
EDGE Xabi Etxeita | Eneko Bóveda | 1 | 19 | 7
EDGE Xabi Etxeita | Mikel Rico | 7 | 19 | 18
EDGE Xabi Etxeita | Ager Aketxe | 3 | 19 | 3
EDGE Xabi Etxeita | Sabin Merino | 2 | 19 | 6
EDGE Xabi Etxeita | Yeray Álvarez | 5 | 19 | 11
EDGE Xabi Etxeita | Óscar Gil | 1 | 19 | 1
EDGE Xabi Etxeita | Kike Sola | 1 | 19 | 1
EDGE Mikel Vesga | Beñat Etxebarria | 6 | 18 | 20
EDGE Mikel Vesga | Iker Muniain | 6 | 18 | 13
EDGE Mikel Vesga | Aritz Aduriz | 11 | 18 | 34
EDGE Mikel Vesga | Iñigo Lekue | 12 | 18 | 34
EDGE Mikel Vesga | Enric Saborit | 7 | 18 | 20
EDGE Mikel Vesga | Eneko Bóveda | 4 | 18 | 7
EDGE Mikel Vesga | Yeray Álvarez | 2 | 18 | 11
EDGE Mikel Vesga | Sabin Merino | 4 | 18 | 6
EDGE Mikel Vesga | Ager Aketxe | 2 | 18 | 3
EDGE Mikel Vesga | Mikel Rico | 1 | 18 | 18
EDGE Mikel Vesga | Óscar Gil | 1 | 18 | 1
EDGE Mikel Vesga | Kike Sola | 1 | 18 | 1
EDGE Beñat Etxebarria | Iker Muniain | 10 | 20 | 13
EDGE Beñat Etxebarria | Aritz Aduriz | 13 | 20 | 34
EDGE Beñat Etxebarria | Iñigo Lekue | 11 | 20 | 34
EDGE Beñat Etxebarria | Yeray Álvarez | 7 | 20 | 11
EDGE Beñat Etxebarria | Mikel Rico | 4 | 20 | 18
EDGE Beñat Etxebarria | Enric Saborit | 8 | 20 | 20
EDGE Beñat Etxebarria | Eneko Bóveda | 1 | 20 | 7
EDGE Beñat Etxebarria | Sabin Merino | 3 | 20 | 6
EDGE Beñat Etxebarria | Andoni López | 1 | 20 | 1
EDGE Beñat Etxebarria | Óscar Gil | 1 | 20 | 1
EDGE Beñat Etxebarria | Ager Aketxe | 1 | 20 | 3
EDGE Beñat Etxebarria | Kike Sola | 1 | 20 | 1
EDGE Iker Muniain | Aritz Aduriz | 12 | 13 | 34
EDGE Iker Muniain | Iñigo Lekue | 8 | 13 | 34
EDGE Iker Muniain | Yeray Álvarez | 3 | 13 | 11
EDGE Iker Muniain | Mikel Rico | 2 | 13 | 18
EDGE Iker Muniain | Enric Saborit | 3 | 13 | 20
EDGE Iker Muniain | Eneko Bóveda | 1 | 13 | 7
EDGE Aritz Aduriz | Yeray Álvarez | 8 | 34 | 11
EDGE Aritz Aduriz | Enric Saborit | 10 | 34 | 20
EDGE Aritz Aduriz | Mikel Rico | 14 | 34 | 18
EDGE Aritz Aduriz | Iñigo Lekue | 22 | 34 | 34
EDGE Aritz Aduriz | Eneko Bóveda | 5 | 34 | 7
EDGE Aritz Aduriz | Ager Aketxe | 1 | 34 | 3
EDGE Yeray Álvarez | Enric Saborit | 5 | 11 | 20
EDGE Yeray Álvarez | Mikel Rico | 7 | 11 | 18
EDGE Yeray Álvarez | Iñigo Lekue | 8 | 11 | 34
EDGE Yeray Álvarez | Andoni López | 1 | 11 | 1
EDGE Enric Saborit | Mikel Rico | 9 | 20 | 18
EDGE Enric Saborit | Eneko Bóveda | 4 | 20 | 7
EDGE Enric Saborit | Iñigo Lekue | 11 | 20 | 34
EDGE Enric Saborit | Sabin Merino | 6 | 20 | 6
EDGE Enric Saborit | Ager Aketxe | 2 | 20 | 3
EDGE Enric Saborit | Óscar Gil | 1 | 20 | 1
EDGE Enric Saborit | Kike Sola | 1 | 20 | 1
EDGE Mikel Rico | Iñigo Lekue | 13 | 18 | 34
EDGE Mikel Rico | Ager Aketxe | 1 | 18 | 3
EDGE Mikel Rico | Sabin Merino | 1 | 18 | 6
EDGE Mikel Rico | Eneko Bóveda | 1 | 18 | 7
EDGE Mikel Rico | Andoni López | 1 | 18 | 1
EDGE Iñigo Lekue | Ager Aketxe | 3 | 34 | 3
EDGE Iñigo Lekue | Sabin Merino | 5 | 34 | 6
EDGE Iñigo Lekue | Eneko Bóveda | 1 | 34 | 7
EDGE Iñigo Lekue | Andoni López | 1 | 34 | 1
EDGE Iñigo Lekue | Óscar Gil | 1 | 34 | 1
EDGE Iñigo Lekue | Kike Sola | 1 | 34 | 1
EDGE Eneko Bóveda | Sabin Merino | 1 | 7 | 6
EDGE Ager Aketxe | Sabin Merino | 2 | 3 | 6
EDGE Ager Aketxe | Óscar Gil | 1 | 3 | 1
EDGE Ager Aketxe | Kike Sola | 1 | 3 | 1
EDGE Sabin Merino | Óscar Gil | 1 | 6 | 1
EDGE Sabin Merino | Kike Sola | 1 | 6 | 1
EDGE Óscar Gil | Kike Sola | 1 | 1 | 1
