# Graph for Java/GraphStream
# Nodes: 28
# Edges: 329

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Santiago Cáseres | Nicola Sansone | 1 | 26 | 4
EDGE Santiago Cáseres | Andrei Rațiu | 1 | 26 | 1
EDGE Manu Morlanes | Pablo Fornals | 3 | 11 | 38
EDGE Manu Morlanes | Manu Trigueros | 4 | 11 | 26
EDGE Manu Morlanes | Karl Toko Ekambi | 9 | 11 | 31
EDGE Manu Morlanes | Carlos Bacca | 3 | 11 | 19
EDGE Manu Morlanes | Sergio Asenjo | 7 | 11 | 32
EDGE Manu Morlanes | Víctor Ruiz | 8 | 11 | 33
EDGE Manu Morlanes | Alfonso Pedraza | 7 | 11 | 30
EDGE Manu Morlanes | Vicente Iborra | 6 | 11 | 22
EDGE Manu Morlanes | Santi Cazorla | 6 | 11 | 34
EDGE Manu Morlanes | Daniele Bonera | 2 | 11 | 10
EDGE Manu Morlanes | Samuel Chukwueze | 5 | 11 | 26
EDGE Manu Morlanes | Miguel Layún | 2 | 11 | 11
EDGE Manu Morlanes | Dani Raba | 3 | 11 | 10
EDGE Manu Morlanes | Gerard Moreno | 4 | 11 | 32
EDGE Manu Morlanes | Xavi Quintillà | 1 | 11 | 9
EDGE Manu Morlanes | Miguel Llambrich | 1 | 11 | 11
EDGE Manu Morlanes | Andrei Rațiu | 1 | 11 | 1
EDGE Manu Morlanes | Javi Fuego | 1 | 11 | 8
EDGE Pablo Fornals | Manu Trigueros | 21 | 38 | 26
EDGE Pablo Fornals | Karl Toko Ekambi | 20 | 38 | 31
EDGE Pablo Fornals | Carlos Bacca | 12 | 38 | 19
EDGE Pablo Fornals | Sergio Asenjo | 23 | 38 | 32
EDGE Pablo Fornals | Samuel Chukwueze | 20 | 38 | 26
EDGE Pablo Fornals | Gerard Moreno | 28 | 38 | 32
EDGE Pablo Fornals | Miguel Llambrich | 9 | 38 | 11
EDGE Pablo Fornals | Daniele Bonera | 4 | 38 | 10
EDGE Pablo Fornals | Vicente Iborra | 13 | 38 | 22
EDGE Pablo Fornals | Santi Cazorla | 24 | 38 | 34
EDGE Pablo Fornals | Alfonso Pedraza | 17 | 38 | 30
EDGE Pablo Fornals | Víctor Ruiz | 21 | 38 | 33
EDGE Pablo Fornals | Javi Fuego | 5 | 38 | 8
EDGE Pablo Fornals | Dani Raba | 2 | 38 | 10
EDGE Pablo Fornals | Xavi Quintillà | 6 | 38 | 9
EDGE Pablo Fornals | Manuel Iturra | 1 | 38 | 2
EDGE Pablo Fornals | Nicola Sansone | 2 | 38 | 4
EDGE Pablo Fornals | Miguel Layún | 5 | 38 | 11
EDGE Manu Trigueros | Karl Toko Ekambi | 13 | 26 | 31
EDGE Manu Trigueros | Carlos Bacca | 9 | 26 | 19
EDGE Manu Trigueros | Daniele Bonera | 3 | 26 | 10
EDGE Manu Trigueros | Miguel Layún | 7 | 26 | 11
EDGE Manu Trigueros | Alfonso Pedraza | 14 | 26 | 30
EDGE Manu Trigueros | Dani Raba | 7 | 26 | 10
EDGE Manu Trigueros | Sergio Asenjo | 17 | 26 | 32
EDGE Manu Trigueros | Samuel Chukwueze | 8 | 26 | 26
EDGE Manu Trigueros | Gerard Moreno | 18 | 26 | 32
EDGE Manu Trigueros | Miguel Llambrich | 5 | 26 | 11
EDGE Manu Trigueros | Víctor Ruiz | 15 | 26 | 33
EDGE Manu Trigueros | Javi Fuego | 4 | 26 | 8
EDGE Manu Trigueros | Santi Cazorla | 10 | 26 | 34
EDGE Manu Trigueros | Manuel Iturra | 1 | 26 | 2
EDGE Manu Trigueros | Vicente Iborra | 3 | 26 | 22
EDGE Manu Trigueros | Xavi Quintillà | 1 | 26 | 9
EDGE Manu Trigueros | Nicola Sansone | 1 | 26 | 4
EDGE Manu Trigueros | Andrei Rațiu | 1 | 26 | 1
EDGE Karl Toko Ekambi | Carlos Bacca | 11 | 31 | 19
EDGE Karl Toko Ekambi | Daniele Bonera | 8 | 31 | 10
EDGE Karl Toko Ekambi | Miguel Layún | 5 | 31 | 11
EDGE Karl Toko Ekambi | Alfonso Pedraza | 17 | 31 | 30
EDGE Karl Toko Ekambi | Dani Raba | 4 | 31 | 10
EDGE Karl Toko Ekambi | Sergio Asenjo | 20 | 31 | 32
EDGE Karl Toko Ekambi | Miguel Llambrich | 7 | 31 | 11
EDGE Karl Toko Ekambi | Samuel Chukwueze | 13 | 31 | 26
EDGE Karl Toko Ekambi | Gerard Moreno | 13 | 31 | 32
EDGE Karl Toko Ekambi | Víctor Ruiz | 16 | 31 | 33
EDGE Karl Toko Ekambi | Vicente Iborra | 16 | 31 | 22
EDGE Karl Toko Ekambi | Santi Cazorla | 21 | 31 | 34
EDGE Karl Toko Ekambi | Javi Fuego | 2 | 31 | 8
EDGE Karl Toko Ekambi | Xavi Quintillà | 5 | 31 | 9
EDGE Karl Toko Ekambi | Nicola Sansone | 2 | 31 | 4
EDGE Carlos Bacca | Daniele Bonera | 5 | 19 | 10
EDGE Carlos Bacca | Miguel Layún | 5 | 19 | 11
EDGE Carlos Bacca | Alfonso Pedraza | 8 | 19 | 30
EDGE Carlos Bacca | Dani Raba | 4 | 19 | 10
EDGE Carlos Bacca | Sergio Asenjo | 8 | 19 | 32
EDGE Carlos Bacca | Samuel Chukwueze | 7 | 19 | 26
EDGE Carlos Bacca | Gerard Moreno | 5 | 19 | 32
EDGE Carlos Bacca | Víctor Ruiz | 9 | 19 | 33
EDGE Carlos Bacca | Vicente Iborra | 8 | 19 | 22
EDGE Carlos Bacca | Santi Cazorla | 9 | 19 | 34
EDGE Carlos Bacca | Javi Fuego | 4 | 19 | 8
EDGE Carlos Bacca | Xavi Quintillà | 5 | 19 | 9
EDGE Carlos Bacca | Pepe Castaño | 1 | 19 | 1
EDGE Carlos Bacca | Miguel Llambrich | 2 | 19 | 11
EDGE Carlos Bacca | Nicola Sansone | 1 | 19 | 4
EDGE Daniele Bonera | Miguel Layún | 4 | 10 | 11
EDGE Daniele Bonera | Alfonso Pedraza | 9 | 10 | 30
EDGE Daniele Bonera | Dani Raba | 4 | 10 | 10
EDGE Daniele Bonera | Sergio Asenjo | 4 | 10 | 32
EDGE Daniele Bonera | Vicente Iborra | 4 | 10 | 22
EDGE Daniele Bonera | Santi Cazorla | 6 | 10 | 34
EDGE Daniele Bonera | Miguel Llambrich | 4 | 10 | 11
EDGE Daniele Bonera | Gerard Moreno | 3 | 10 | 32
EDGE Daniele Bonera | Víctor Ruiz | 5 | 10 | 33
EDGE Daniele Bonera | Samuel Chukwueze | 3 | 10 | 26
EDGE Daniele Bonera | Nicola Sansone | 3 | 10 | 4
EDGE Daniele Bonera | Pepe Castaño | 1 | 10 | 1
EDGE Daniele Bonera | Javi Fuego | 2 | 10 | 8
EDGE Miguel Layún | Alfonso Pedraza | 3 | 11 | 30
EDGE Miguel Layún | Dani Raba | 7 | 11 | 10
EDGE Miguel Layún | Sergio Asenjo | 5 | 11 | 32
EDGE Miguel Layún | Víctor Ruiz | 7 | 11 | 33
EDGE Miguel Layún | Gerard Moreno | 6 | 11 | 32
EDGE Miguel Layún | Miguel Llambrich | 4 | 11 | 11
EDGE Miguel Layún | Pepe Castaño | 1 | 11 | 1
EDGE Miguel Layún | Javi Fuego | 3 | 11 | 8
EDGE Miguel Layún | Samuel Chukwueze | 3 | 11 | 26
EDGE Miguel Layún | Xavi Quintillà | 1 | 11 | 9
EDGE Miguel Layún | Manuel Iturra | 1 | 11 | 2
EDGE Miguel Layún | Santi Cazorla | 3 | 11 | 34
EDGE Miguel Layún | Nicola Sansone | 2 | 11 | 4
EDGE Alfonso Pedraza | Dani Raba | 6 | 30 | 10
EDGE Alfonso Pedraza | Sergio Asenjo | 20 | 30 | 32
EDGE Alfonso Pedraza | Víctor Ruiz | 21 | 30 | 33
EDGE Alfonso Pedraza | Vicente Iborra | 13 | 30 | 22
EDGE Alfonso Pedraza | Santi Cazorla | 23 | 30 | 34
EDGE Alfonso Pedraza | Miguel Llambrich | 5 | 30 | 11
EDGE Alfonso Pedraza | Gerard Moreno | 16 | 30 | 32
EDGE Alfonso Pedraza | Javi Fuego | 5 | 30 | 8
EDGE Alfonso Pedraza | Samuel Chukwueze | 12 | 30 | 26
EDGE Alfonso Pedraza | Xavi Quintillà | 3 | 30 | 9
EDGE Alfonso Pedraza | Manuel Iturra | 1 | 30 | 2
EDGE Alfonso Pedraza | Nicola Sansone | 3 | 30 | 4
EDGE Alfonso Pedraza | Pepe Castaño | 1 | 30 | 1
EDGE Alfonso Pedraza | Andrei Rațiu | 1 | 30 | 1
EDGE Dani Raba | Víctor Ruiz | 5 | 10 | 33
EDGE Dani Raba | Javi Fuego | 4 | 10 | 8
EDGE Dani Raba | Miguel Llambrich | 4 | 10 | 11
EDGE Dani Raba | Gerard Moreno | 4 | 10 | 32
EDGE Dani Raba | Sergio Asenjo | 1 | 10 | 32
EDGE Dani Raba | Xavi Quintillà | 2 | 10 | 9
EDGE Dani Raba | Vicente Iborra | 1 | 10 | 22
EDGE Dani Raba | Pepe Castaño | 1 | 10 | 1
EDGE Dani Raba | Samuel Chukwueze | 2 | 10 | 26
EDGE Dani Raba | Manuel Iturra | 1 | 10 | 2
EDGE Dani Raba | Santi Cazorla | 2 | 10 | 34
EDGE Dani Raba | Nicola Sansone | 2 | 10 | 4
EDGE Dani Raba | Andrei Rațiu | 1 | 10 | 1
EDGE Sergio Asenjo | Samuel Chukwueze | 14 | 32 | 26
EDGE Sergio Asenjo | Gerard Moreno | 23 | 32 | 32
EDGE Sergio Asenjo | Miguel Llambrich | 5 | 32 | 11
EDGE Sergio Asenjo | Víctor Ruiz | 22 | 32 | 33
EDGE Sergio Asenjo | Vicente Iborra | 14 | 32 | 22
EDGE Sergio Asenjo | Santi Cazorla | 25 | 32 | 34
EDGE Sergio Asenjo | Javi Fuego | 2 | 32 | 8
EDGE Sergio Asenjo | Xavi Quintillà | 2 | 32 | 9
EDGE Sergio Asenjo | Manuel Iturra | 1 | 32 | 2
EDGE Samuel Chukwueze | Gerard Moreno | 14 | 26 | 32
EDGE Samuel Chukwueze | Miguel Llambrich | 5 | 26 | 11
EDGE Samuel Chukwueze | Víctor Ruiz | 16 | 26 | 33
EDGE Samuel Chukwueze | Javi Fuego | 5 | 26 | 8
EDGE Samuel Chukwueze | Santi Cazorla | 18 | 26 | 34
EDGE Samuel Chukwueze | Vicente Iborra | 12 | 26 | 22
EDGE Samuel Chukwueze | Xavi Quintillà | 8 | 26 | 9
EDGE Samuel Chukwueze | Nicola Sansone | 2 | 26 | 4
EDGE Samuel Chukwueze | Pepe Castaño | 1 | 26 | 1
EDGE Samuel Chukwueze | Manuel Iturra | 1 | 26 | 2
EDGE Gerard Moreno | Miguel Llambrich | 7 | 32 | 11
EDGE Gerard Moreno | Vicente Iborra | 10 | 32 | 22
EDGE Gerard Moreno | Santi Cazorla | 20 | 32 | 34
EDGE Gerard Moreno | Víctor Ruiz | 21 | 32 | 33
EDGE Gerard Moreno | Javi Fuego | 4 | 32 | 8
EDGE Gerard Moreno | Xavi Quintillà | 2 | 32 | 9
EDGE Gerard Moreno | Manuel Iturra | 1 | 32 | 2
EDGE Gerard Moreno | Nicola Sansone | 1 | 32 | 4
EDGE Gerard Moreno | Andrei Rațiu | 1 | 32 | 1
