# Graph for Java/GraphStream
# Nodes: 30
# Edges: 315

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Tomas Ujfalusi | Pablo Ibáñez | 8 | 49 | 11
EDGE Tomas Ujfalusi | Cléber Santana | 13 | 49 | 16
EDGE Tomas Ujfalusi | Tiago Mendes | 16 | 49 | 21
EDGE Tomas Ujfalusi | Maxi Rodríguez | 11 | 49 | 14
EDGE Tomas Ujfalusi | John Heitinga | 3 | 49 | 3
EDGE Tomas Ujfalusi | Leandro Cabrera | 1 | 49 | 4
EDGE Tomas Ujfalusi | Eduardo Salvio | 1 | 49 | 5
EDGE Tomas Ujfalusi | Florent Sinama-Pongolle | 3 | 49 | 6
EDGE Tomas Ujfalusi | Mariano Pernía | 1 | 49 | 2
EDGE Tomas Ujfalusi | Ignacio Camacho | 4 | 49 | 8
EDGE Tomas Ujfalusi | Cedrick | 1 | 49 | 1
EDGE Tomas Ujfalusi | Ibrahima Balde | 1 | 49 | 5
EDGE Sergio Agüero | Roberto | 3 | 45 | 4
EDGE Sergio Agüero | Juanito | 14 | 45 | 23
EDGE Sergio Agüero | Pablo Ibáñez | 6 | 45 | 11
EDGE Sergio Agüero | Cléber Santana | 10 | 45 | 16
EDGE Sergio Agüero | Maxi Rodríguez | 9 | 45 | 14
EDGE Sergio Agüero | Tiago Mendes | 14 | 45 | 21
EDGE Sergio Agüero | Leandro Cabrera | 1 | 45 | 4
EDGE Sergio Agüero | Ignacio Camacho | 4 | 45 | 8
EDGE Sergio Agüero | Eduardo Salvio | 2 | 45 | 5
EDGE Sergio Agüero | John Heitinga | 3 | 45 | 3
EDGE Sergio Agüero | Mariano Pernía | 2 | 45 | 2
EDGE Sergio Agüero | Florent Sinama-Pongolle | 2 | 45 | 6
EDGE Roberto | Juanito | 2 | 4 | 23
EDGE Roberto | Pablo Ibáñez | 3 | 4 | 11
EDGE Roberto | Cléber Santana | 3 | 4 | 16
EDGE Roberto | Maxi Rodríguez | 2 | 4 | 14
EDGE Roberto | Florent Sinama-Pongolle | 1 | 4 | 6
EDGE Juanito | Pablo Ibáñez | 4 | 23 | 11
EDGE Juanito | Cléber Santana | 11 | 23 | 16
EDGE Juanito | Maxi Rodríguez | 9 | 23 | 14
EDGE Juanito | John Heitinga | 3 | 23 | 3
EDGE Juanito | Leandro Cabrera | 3 | 23 | 4
EDGE Juanito | Tiago Mendes | 5 | 23 | 21
EDGE Juanito | Eduardo Salvio | 3 | 23 | 5
EDGE Juanito | Ignacio Camacho | 5 | 23 | 8
EDGE Juanito | Ibrahima Balde | 2 | 23 | 5
EDGE Juanito | Joel Robles | 1 | 23 | 1
EDGE Juanito | Koke | 1 | 23 | 1
EDGE Juanito | Florent Sinama-Pongolle | 3 | 23 | 6
EDGE Juanito | Cedrick | 1 | 23 | 1
EDGE Pablo Ibáñez | Cléber Santana | 6 | 11 | 16
EDGE Pablo Ibáñez | Maxi Rodríguez | 7 | 11 | 14
EDGE Pablo Ibáñez | Florent Sinama-Pongolle | 5 | 11 | 6
EDGE Cléber Santana | Maxi Rodríguez | 6 | 16 | 14
EDGE Cléber Santana | John Heitinga | 1 | 16 | 3
EDGE Cléber Santana | Florent Sinama-Pongolle | 4 | 16 | 6
EDGE Cléber Santana | Ignacio Camacho | 2 | 16 | 8
EDGE Cléber Santana | Cedrick | 1 | 16 | 1
EDGE Maxi Rodríguez | John Heitinga | 3 | 14 | 3
EDGE Maxi Rodríguez | Florent Sinama-Pongolle | 4 | 14 | 6
EDGE Tiago Mendes | Leandro Cabrera | 4 | 21 | 4
EDGE Tiago Mendes | Ignacio Camacho | 6 | 21 | 8
EDGE Tiago Mendes | Eduardo Salvio | 5 | 21 | 5
EDGE Tiago Mendes | Ibrahima Balde | 3 | 21 | 5
EDGE Tiago Mendes | Mariano Pernía | 2 | 21 | 2
EDGE Tiago Mendes | Joel Robles | 1 | 21 | 1
EDGE Tiago Mendes | Koke | 1 | 21 | 1
EDGE Ibrahima Balde | Leandro Cabrera | 2 | 5 | 4
EDGE Ibrahima Balde | Ignacio Camacho | 3 | 5 | 8
EDGE Ibrahima Balde | Eduardo Salvio | 2 | 5 | 5
EDGE Ibrahima Balde | Joel Robles | 1 | 5 | 1
EDGE Ibrahima Balde | Koke | 1 | 5 | 1
EDGE Leandro Cabrera | Ignacio Camacho | 3 | 4 | 8
EDGE Leandro Cabrera | Eduardo Salvio | 4 | 4 | 5
EDGE Leandro Cabrera | Joel Robles | 1 | 4 | 1
EDGE Leandro Cabrera | Koke | 1 | 4 | 1
EDGE Ignacio Camacho | Eduardo Salvio | 4 | 8 | 5
EDGE Ignacio Camacho | Joel Robles | 1 | 8 | 1
EDGE Ignacio Camacho | Koke | 1 | 8 | 1
EDGE Ignacio Camacho | Cedrick | 1 | 8 | 1
EDGE Eduardo Salvio | Joel Robles | 1 | 5 | 1
EDGE Eduardo Salvio | Koke | 1 | 5 | 1
EDGE Joel Robles | Koke | 1 | 1 | 1
