# Graph for Java/GraphStream
# Nodes: 25
# Edges: 281

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Nicola Sansone | Rodri | 6 | 29 | 14
EDGE Nicola Sansone | Rafael Borré | 2 | 29 | 12
EDGE Nicola Sansone | Jonathan dos Santos | 15 | 29 | 32
EDGE Nicola Sansone | Daniele Bonera | 1 | 29 | 10
EDGE Nicola Sansone | Cote | 5 | 29 | 17
EDGE Nicola Sansone | Andrés Fernández | 5 | 29 | 19
EDGE Nicola Sansone | Adrián López | 4 | 29 | 7
EDGE Nicola Sansone | Roberto Soldado | 1 | 29 | 11
EDGE Nicola Sansone | Denis Cheryshev | 1 | 29 | 8
EDGE Nicola Sansone | Alfred N'Diaye | 1 | 29 | 6
EDGE Alexandre Pato | Álvaro González | 9 | 19 | 28
EDGE Alexandre Pato | Jonathan dos Santos | 11 | 19 | 32
EDGE Alexandre Pato | Cote | 9 | 19 | 17
EDGE Alexandre Pato | Rafael Borré | 7 | 19 | 12
EDGE Alexandre Pato | Mariano Barbosa | 1 | 19 | 2
EDGE Alexandre Pato | Alfred N'Diaye | 6 | 19 | 6
EDGE Alexandre Pato | Rodri | 3 | 19 | 14
EDGE Alexandre Pato | Antonio Rukavina | 5 | 19 | 11
EDGE Alexandre Pato | Denis Cheryshev | 3 | 19 | 8
EDGE Alexandre Pato | Cédric Bakambu | 1 | 19 | 22
EDGE Alexandre Pato | Andrés Fernández | 3 | 19 | 19
EDGE Alexandre Pato | Daniele Bonera | 2 | 19 | 10
EDGE Andrés Fernández | Álvaro González | 14 | 19 | 28
EDGE Andrés Fernández | Antonio Rukavina | 7 | 19 | 11
EDGE Andrés Fernández | Rodri | 7 | 19 | 14
EDGE Andrés Fernández | Jonathan dos Santos | 13 | 19 | 32
EDGE Andrés Fernández | Roberto Soldado | 11 | 19 | 11
EDGE Andrés Fernández | Cédric Bakambu | 12 | 19 | 22
EDGE Andrés Fernández | Daniele Bonera | 7 | 19 | 10
EDGE Andrés Fernández | Cote | 7 | 19 | 17
EDGE Andrés Fernández | Adrián López | 3 | 19 | 7
EDGE Andrés Fernández | Denis Cheryshev | 4 | 19 | 8
EDGE Andrés Fernández | Rafael Borré | 5 | 19 | 12
EDGE Andrés Fernández | Alfred N'Diaye | 3 | 19 | 6
EDGE Álvaro González | Antonio Rukavina | 8 | 28 | 11
EDGE Álvaro González | Rodri | 11 | 28 | 14
EDGE Álvaro González | Jonathan dos Santos | 19 | 28 | 32
