# Graph for Java/GraphStream
# Nodes: 24
# Edges: 243

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Koke | Pablo Barrios | 6 | 38 | 8
EDGE Koke | Ivo Grbic | 9 | 38 | 11
EDGE Koke | Rodrigo De Paul | 19 | 38 | 27
EDGE Koke | Felipe | 2 | 38 | 3
EDGE Koke | Saúl Ñíguez | 12 | 38 | 15
EDGE Koke | João Félix | 9 | 38 | 11
EDGE Koke | Geoffrey Kondogbia | 5 | 38 | 13
EDGE Koke | Memphis Depay | 3 | 38 | 3
EDGE Koke | Sergio Reguilón | 2 | 38 | 2
EDGE Antoine Griezmann | Ángel Correa | 16 | 39 | 18
EDGE Antoine Griezmann | Matheus Cunha | 1 | 39 | 2
EDGE Antoine Griezmann | Mario Hermoso | 28 | 39 | 31
EDGE Antoine Griezmann | Marcos Llorente | 20 | 39 | 28
EDGE Antoine Griezmann | Thomas Lemar | 17 | 39 | 21
EDGE Antoine Griezmann | Álvaro Morata | 21 | 39 | 31
EDGE Antoine Griezmann | Ivo Grbic | 9 | 39 | 11
EDGE Antoine Griezmann | Rodrigo De Paul | 23 | 39 | 27
EDGE Antoine Griezmann | Felipe | 2 | 39 | 3
EDGE Antoine Griezmann | Saúl Ñíguez | 8 | 39 | 15
EDGE Antoine Griezmann | João Félix | 5 | 39 | 11
EDGE Antoine Griezmann | Pablo Barrios | 7 | 39 | 8
EDGE Antoine Griezmann | Geoffrey Kondogbia | 10 | 39 | 13
EDGE Antoine Griezmann | Memphis Depay | 3 | 39 | 3
EDGE Antoine Griezmann | Sergio Reguilón | 2 | 39 | 2
EDGE Ángel Correa | Matheus Cunha | 1 | 18 | 2
EDGE Ángel Correa | Mario Hermoso | 13 | 18 | 31
EDGE Ángel Correa | Marcos Llorente | 5 | 18 | 28
EDGE Ángel Correa | Thomas Lemar | 8 | 18 | 21
EDGE Ángel Correa | Álvaro Morata | 7 | 18 | 31
EDGE Ángel Correa | Rodrigo De Paul | 10 | 18 | 27
EDGE Ángel Correa | Saúl Ñíguez | 6 | 18 | 15
EDGE Ángel Correa | João Félix | 2 | 18 | 11
EDGE Ángel Correa | Geoffrey Kondogbia | 6 | 18 | 13
EDGE Ángel Correa | Ivo Grbic | 3 | 18 | 11
EDGE Ángel Correa | Sergio Reguilón | 1 | 18 | 2
EDGE Ángel Correa | Pablo Barrios | 2 | 18 | 8
EDGE Matheus Cunha | Saúl Ñíguez | 1 | 2 | 15
EDGE Matheus Cunha | Marcos Llorente | 1 | 2 | 28
EDGE Matheus Cunha | Álvaro Morata | 1 | 2 | 31
EDGE Mario Hermoso | Marcos Llorente | 17 | 31 | 28
EDGE Mario Hermoso | Thomas Lemar | 16 | 31 | 21
EDGE Mario Hermoso | Álvaro Morata | 18 | 31 | 31
EDGE Mario Hermoso | Pablo Barrios | 7 | 31 | 8
EDGE Mario Hermoso | Ivo Grbic | 10 | 31 | 11
EDGE Mario Hermoso | Rodrigo De Paul | 18 | 31 | 27
EDGE Mario Hermoso | Felipe | 1 | 31 | 3
EDGE Mario Hermoso | Saúl Ñíguez | 6 | 31 | 15
EDGE Mario Hermoso | João Félix | 3 | 31 | 11
EDGE Mario Hermoso | Memphis Depay | 3 | 31 | 3
EDGE Mario Hermoso | Geoffrey Kondogbia | 5 | 31 | 13
EDGE Mario Hermoso | Sergio Reguilón | 2 | 31 | 2
EDGE Marcos Llorente | Thomas Lemar | 9 | 28 | 21
EDGE Marcos Llorente | Álvaro Morata | 18 | 28 | 31
EDGE Marcos Llorente | Pablo Barrios | 6 | 28 | 8
EDGE Marcos Llorente | Felipe | 3 | 28 | 3
EDGE Marcos Llorente | Rodrigo De Paul | 11 | 28 | 27
EDGE Marcos Llorente | Ivo Grbic | 1 | 28 | 11
EDGE Marcos Llorente | Saúl Ñíguez | 7 | 28 | 15
EDGE Marcos Llorente | João Félix | 10 | 28 | 11
EDGE Marcos Llorente | Memphis Depay | 3 | 28 | 3
EDGE Marcos Llorente | Geoffrey Kondogbia | 6 | 28 | 13
EDGE Thomas Lemar | Álvaro Morata | 15 | 21 | 31
EDGE Thomas Lemar | Pablo Barrios | 2 | 21 | 8
EDGE Thomas Lemar | Ivo Grbic | 6 | 21 | 11
EDGE Thomas Lemar | Rodrigo De Paul | 11 | 21 | 27
EDGE Thomas Lemar | Geoffrey Kondogbia | 5 | 21 | 13
EDGE Thomas Lemar | Saúl Ñíguez | 2 | 21 | 15
EDGE Thomas Lemar | Memphis Depay | 2 | 21 | 3
EDGE Thomas Lemar | João Félix | 2 | 21 | 11
EDGE Álvaro Morata | Pablo Barrios | 4 | 31 | 8
EDGE Álvaro Morata | Ivo Grbic | 8 | 31 | 11
EDGE Álvaro Morata | Rodrigo De Paul | 18 | 31 | 27
EDGE Álvaro Morata | Felipe | 2 | 31 | 3
EDGE Álvaro Morata | Saúl Ñíguez | 9 | 31 | 15
EDGE Álvaro Morata | João Félix | 7 | 31 | 11
EDGE Álvaro Morata | Geoffrey Kondogbia | 10 | 31 | 13
EDGE Pablo Barrios | João Félix | 2 | 8 | 11
EDGE Pablo Barrios | Ivo Grbic | 1 | 8 | 11
EDGE Pablo Barrios | Sergio Reguilón | 1 | 8 | 2
EDGE Pablo Barrios | Saúl Ñíguez | 2 | 8 | 15
EDGE Pablo Barrios | Geoffrey Kondogbia | 2 | 8 | 13
EDGE Pablo Barrios | Rodrigo De Paul | 3 | 8 | 27
EDGE Ivo Grbic | Rodrigo De Paul | 9 | 11 | 27
EDGE Ivo Grbic | Felipe | 1 | 11 | 3
EDGE Ivo Grbic | Saúl Ñíguez | 5 | 11 | 15
EDGE Ivo Grbic | João Félix | 1 | 11 | 11
EDGE Ivo Grbic | Geoffrey Kondogbia | 2 | 11 | 13
EDGE Ivo Grbic | Sergio Reguilón | 2 | 11 | 2
EDGE Rodrigo De Paul | Felipe | 2 | 27 | 3
EDGE Rodrigo De Paul | Saúl Ñíguez | 7 | 27 | 15
EDGE Rodrigo De Paul | João Félix | 4 | 27 | 11
EDGE Rodrigo De Paul | Geoffrey Kondogbia | 8 | 27 | 13
EDGE Rodrigo De Paul | Sergio Reguilón | 1 | 27 | 2
EDGE Rodrigo De Paul | Memphis Depay | 1 | 27 | 3
EDGE Felipe | Saúl Ñíguez | 1 | 3 | 15
EDGE Felipe | João Félix | 2 | 3 | 11
EDGE Felipe | Geoffrey Kondogbia | 1 | 3 | 13
EDGE Saúl Ñíguez | João Félix | 6 | 15 | 11
EDGE Saúl Ñíguez | Geoffrey Kondogbia | 4 | 15 | 13
EDGE Saúl Ñíguez | Sergio Reguilón | 2 | 15 | 2
EDGE João Félix | Geoffrey Kondogbia | 3 | 11 | 13
