# Graph for Java/GraphStream
# Nodes: 22
# Edges: 228

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Diego Forlán | Antonio López | 20 | 42 | 26
EDGE Diego Forlán | John Heitinga | 30 | 42 | 33
EDGE Diego Forlán | Maxi Rodríguez | 30 | 42 | 38
EDGE Diego Forlán | Maniche | 18 | 42 | 22
EDGE Diego Forlán | Luis García | 5 | 42 | 10
EDGE Diego Forlán | Éver Banega | 5 | 42 | 8
EDGE Diego Forlán | Grégory Coupet | 4 | 42 | 11
EDGE Diego Forlán | Álvaro Domínguez | 5 | 42 | 5
EDGE Diego Forlán | Georgios Seitaridis | 11 | 42 | 16
EDGE Diego Forlán | Ignacio Camacho | 6 | 42 | 7
EDGE Diego Forlán | Miguel de las Cuevas | 3 | 42 | 4
EDGE Sergio Agüero | Antonio López | 21 | 42 | 26
EDGE Sergio Agüero | John Heitinga | 28 | 42 | 33
EDGE Sergio Agüero | Maxi Rodríguez | 32 | 42 | 38
EDGE Sergio Agüero | Maniche | 16 | 42 | 22
EDGE Sergio Agüero | Luis García | 6 | 42 | 10
EDGE Sergio Agüero | Éver Banega | 5 | 42 | 8
EDGE Sergio Agüero | Álvaro Domínguez | 2 | 42 | 5
EDGE Sergio Agüero | Grégory Coupet | 8 | 42 | 11
EDGE Sergio Agüero | Georgios Seitaridis | 11 | 42 | 16
EDGE Sergio Agüero | Ignacio Camacho | 4 | 42 | 7
EDGE Sergio Agüero | Miguel de las Cuevas | 1 | 42 | 4
EDGE Antonio López | John Heitinga | 13 | 26 | 33
EDGE Antonio López | Maxi Rodríguez | 17 | 26 | 38
EDGE Antonio López | Maniche | 7 | 26 | 22
EDGE Antonio López | Luis García | 6 | 26 | 10
EDGE Antonio López | Ignacio Camacho | 6 | 26 | 7
EDGE Antonio López | Miguel de las Cuevas | 1 | 26 | 4
EDGE Antonio López | Álvaro Domínguez | 2 | 26 | 5
EDGE Antonio López | Georgios Seitaridis | 6 | 26 | 16
EDGE Antonio López | Grégory Coupet | 5 | 26 | 11
EDGE Antonio López | Éver Banega | 4 | 26 | 8
EDGE John Heitinga | Maxi Rodríguez | 29 | 33 | 38
EDGE John Heitinga | Maniche | 16 | 33 | 22
EDGE John Heitinga | Luis García | 3 | 33 | 10
EDGE John Heitinga | Éver Banega | 3 | 33 | 8
EDGE John Heitinga | Grégory Coupet | 5 | 33 | 11
EDGE John Heitinga | Álvaro Domínguez | 1 | 33 | 5
EDGE John Heitinga | Georgios Seitaridis | 6 | 33 | 16
EDGE John Heitinga | Ignacio Camacho | 2 | 33 | 7
EDGE John Heitinga | Miguel de las Cuevas | 2 | 33 | 4
EDGE Maxi Rodríguez | Maniche | 17 | 38 | 22
EDGE Maxi Rodríguez | Álvaro Domínguez | 3 | 38 | 5
EDGE Maxi Rodríguez | Grégory Coupet | 9 | 38 | 11
EDGE Maxi Rodríguez | Georgios Seitaridis | 13 | 38 | 16
EDGE Maxi Rodríguez | Luis García | 4 | 38 | 10
EDGE Maxi Rodríguez | Éver Banega | 4 | 38 | 8
EDGE Maxi Rodríguez | Ignacio Camacho | 3 | 38 | 7
EDGE Maxi Rodríguez | Miguel de las Cuevas | 2 | 38 | 4
EDGE Maniche | Luis García | 4 | 22 | 10
EDGE Maniche | Éver Banega | 2 | 22 | 8
EDGE Maniche | Grégory Coupet | 6 | 22 | 11
EDGE Maniche | Álvaro Domínguez | 3 | 22 | 5
EDGE Maniche | Georgios Seitaridis | 11 | 22 | 16
EDGE Maniche | Ignacio Camacho | 2 | 22 | 7
EDGE Luis García | Grégory Coupet | 5 | 10 | 11
EDGE Luis García | Álvaro Domínguez | 2 | 10 | 5
EDGE Luis García | Georgios Seitaridis | 6 | 10 | 16
EDGE Luis García | Ignacio Camacho | 3 | 10 | 7
EDGE Luis García | Éver Banega | 3 | 10 | 8
EDGE Luis García | Miguel de las Cuevas | 2 | 10 | 4
EDGE Éver Banega | Grégory Coupet | 4 | 8 | 11
EDGE Éver Banega | Álvaro Domínguez | 2 | 8 | 5
EDGE Éver Banega | Georgios Seitaridis | 4 | 8 | 16
EDGE Éver Banega | Ignacio Camacho | 2 | 8 | 7
EDGE Éver Banega | Miguel de las Cuevas | 2 | 8 | 4
EDGE Grégory Coupet | Álvaro Domínguez | 1 | 11 | 5
EDGE Grégory Coupet | Georgios Seitaridis | 8 | 11 | 16
EDGE Grégory Coupet | Ignacio Camacho | 2 | 11 | 7
EDGE Grégory Coupet | Miguel de las Cuevas | 1 | 11 | 4
EDGE Álvaro Domínguez | Georgios Seitaridis | 4 | 5 | 16
EDGE Álvaro Domínguez | Ignacio Camacho | 3 | 5 | 7
EDGE Álvaro Domínguez | Miguel de las Cuevas | 1 | 5 | 4
EDGE Georgios Seitaridis | Ignacio Camacho | 3 | 16 | 7
EDGE Georgios Seitaridis | Miguel de las Cuevas | 1 | 16 | 4
EDGE Ignacio Camacho | Miguel de las Cuevas | 2 | 7 | 4
