# Graph for Java/GraphStream
# Nodes: 28
# Edges: 322

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mario Gaspar | Giovani Lo Celso | 2 | 10 | 17
EDGE Mario Gaspar | Arnaut Danjuma | 3 | 10 | 27
EDGE Mario Gaspar | Francis Coquelin | 1 | 10 | 14
EDGE Vicente Iborra | Dani Parejo | 10 | 14 | 44
EDGE Vicente Iborra | Rubén Peña | 3 | 14 | 3
EDGE Vicente Iborra | Sergio Asenjo | 6 | 14 | 8
EDGE Vicente Iborra | Serge Aurier | 6 | 14 | 11
EDGE Vicente Iborra | Samuel Chukwueze | 9 | 14 | 16
EDGE Vicente Iborra | Moi Gómez | 6 | 14 | 17
EDGE Vicente Iborra | Paco Alcácer | 5 | 14 | 13
EDGE Vicente Iborra | Adrián Dela | 1 | 14 | 1
EDGE Vicente Iborra | Pervis Estupiñán | 3 | 14 | 25
EDGE Vicente Iborra | Dani Raba | 2 | 14 | 3
EDGE Vicente Iborra | Giovani Lo Celso | 4 | 14 | 17
EDGE Vicente Iborra | Arnaut Danjuma | 4 | 14 | 27
EDGE Dani Parejo | Rubén Peña | 1 | 44 | 3
EDGE Dani Parejo | Francis Coquelin | 13 | 44 | 14
EDGE Dani Parejo | Arnaut Danjuma | 26 | 44 | 27
EDGE Dani Parejo | Sergio Asenjo | 5 | 44 | 8
EDGE Dani Parejo | Pervis Estupiñán | 21 | 44 | 25
EDGE Dani Parejo | Serge Aurier | 9 | 44 | 11
EDGE Dani Parejo | Giovani Lo Celso | 17 | 44 | 17
EDGE Dani Parejo | Samuel Chukwueze | 12 | 44 | 16
EDGE Dani Parejo | Moi Gómez | 11 | 44 | 17
EDGE Dani Parejo | Paco Alcácer | 10 | 44 | 13
EDGE Rubén Peña | Sergio Asenjo | 1 | 3 | 8
EDGE Rubén Peña | Adrián Dela | 1 | 3 | 1
EDGE Rubén Peña | Pervis Estupiñán | 1 | 3 | 25
EDGE Rubén Peña | Dani Raba | 2 | 3 | 3
EDGE Rubén Peña | Samuel Chukwueze | 2 | 3 | 16
EDGE Rubén Peña | Paco Alcácer | 2 | 3 | 13
EDGE Rubén Peña | Moi Gómez | 1 | 3 | 17
EDGE Francis Coquelin | Arnaut Danjuma | 11 | 14 | 27
EDGE Francis Coquelin | Pervis Estupiñán | 11 | 14 | 25
EDGE Francis Coquelin | Serge Aurier | 2 | 14 | 11
EDGE Francis Coquelin | Moi Gómez | 2 | 14 | 17
EDGE Francis Coquelin | Paco Alcácer | 2 | 14 | 13
EDGE Francis Coquelin | Samuel Chukwueze | 3 | 14 | 16
EDGE Francis Coquelin | Giovani Lo Celso | 6 | 14 | 17
EDGE Arnaut Danjuma | Sergio Asenjo | 3 | 27 | 8
EDGE Arnaut Danjuma | Pervis Estupiñán | 15 | 27 | 25
EDGE Arnaut Danjuma | Serge Aurier | 7 | 27 | 11
EDGE Arnaut Danjuma | Giovani Lo Celso | 11 | 27 | 17
EDGE Arnaut Danjuma | Samuel Chukwueze | 4 | 27 | 16
EDGE Arnaut Danjuma | Moi Gómez | 5 | 27 | 17
EDGE Arnaut Danjuma | Paco Alcácer | 5 | 27 | 13
EDGE Sergio Asenjo | Serge Aurier | 3 | 8 | 11
EDGE Sergio Asenjo | Samuel Chukwueze | 4 | 8 | 16
EDGE Sergio Asenjo | Moi Gómez | 3 | 8 | 17
EDGE Sergio Asenjo | Paco Alcácer | 4 | 8 | 13
EDGE Sergio Asenjo | Adrián Dela | 1 | 8 | 1
EDGE Sergio Asenjo | Pervis Estupiñán | 2 | 8 | 25
EDGE Sergio Asenjo | Dani Raba | 1 | 8 | 3
EDGE Sergio Asenjo | Giovani Lo Celso | 2 | 8 | 17
EDGE Serge Aurier | Samuel Chukwueze | 5 | 11 | 16
EDGE Serge Aurier | Moi Gómez | 4 | 11 | 17
EDGE Serge Aurier | Paco Alcácer | 3 | 11 | 13
EDGE Serge Aurier | Pervis Estupiñán | 7 | 11 | 25
EDGE Serge Aurier | Giovani Lo Celso | 5 | 11 | 17
EDGE Samuel Chukwueze | Moi Gómez | 5 | 16 | 17
