# Graph for Java/GraphStream
# Nodes: 28
# Edges: 324

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Oihan Sancet | Nico Williams | 14 | 24 | 35
EDGE Oihan Sancet | Iñaki Williams | 22 | 24 | 42
EDGE Oihan Sancet | Gorka Guruzeta | 14 | 24 | 31
EDGE Oihan Sancet | Unai Simón | 8 | 24 | 23
EDGE Oihan Sancet | Adama Boiro | 7 | 24 | 15
EDGE Oihan Sancet | Óscar de Marcos | 12 | 24 | 27
EDGE Oihan Sancet | Mikel Jauregizar | 15 | 24 | 37
EDGE Oihan Sancet | Álex Berenguer | 12 | 24 | 38
EDGE Oihan Sancet | Álex Padilla | 3 | 24 | 3
EDGE Oihan Sancet | Aitor Paredes | 14 | 24 | 32
EDGE Oihan Sancet | Andoni Gorosabel | 9 | 24 | 23
EDGE Oihan Sancet | Mikel Vesga | 4 | 24 | 11
EDGE Oihan Sancet | Iñigo Ruiz de Galarreta | 14 | 24 | 31
EDGE Oihan Sancet | Maroan Sannadi | 5 | 24 | 13
EDGE Oihan Sancet | Álvaro Djaló | 3 | 24 | 11
EDGE Oihan Sancet | Unai Gómez | 1 | 24 | 20
EDGE Nico Williams | Iñaki Williams | 29 | 35 | 42
EDGE Nico Williams | Gorka Guruzeta | 16 | 35 | 31
EDGE Nico Williams | Aitor Paredes | 20 | 35 | 32
EDGE Nico Williams | Andoni Gorosabel | 13 | 35 | 23
EDGE Nico Williams | Iñigo Ruiz de Galarreta | 23 | 35 | 31
EDGE Nico Williams | Álex Berenguer | 21 | 35 | 38
EDGE Nico Williams | Álvaro Djaló | 4 | 35 | 11
EDGE Nico Williams | Unai Simón | 11 | 35 | 23
EDGE Nico Williams | Adama Boiro | 7 | 35 | 15
EDGE Nico Williams | Mikel Vesga | 5 | 35 | 11
EDGE Nico Williams | Mikel Jauregizar | 26 | 35 | 37
EDGE Nico Williams | Unai Núñez | 7 | 35 | 11
EDGE Nico Williams | Óscar de Marcos | 19 | 35 | 27
EDGE Nico Williams | Unai Gómez | 11 | 35 | 20
EDGE Nico Williams | Nico Serrano | 1 | 35 | 2
EDGE Nico Williams | Maroan Sannadi | 8 | 35 | 13
EDGE Nico Williams | Peio Canales | 1 | 35 | 2
EDGE Nico Williams | Álex Padilla | 1 | 35 | 3
EDGE Iñaki Williams | Gorka Guruzeta | 24 | 42 | 31
EDGE Iñaki Williams | Aitor Paredes | 24 | 42 | 32
EDGE Iñaki Williams | Andoni Gorosabel | 17 | 42 | 23
EDGE Iñaki Williams | Iñigo Ruiz de Galarreta | 25 | 42 | 31
EDGE Iñaki Williams | Álex Berenguer | 26 | 42 | 38
EDGE Iñaki Williams | Álvaro Djaló | 5 | 42 | 11
EDGE Iñaki Williams | Unai Simón | 16 | 42 | 23
EDGE Iñaki Williams | Adama Boiro | 9 | 42 | 15
EDGE Iñaki Williams | Óscar de Marcos | 21 | 42 | 27
EDGE Iñaki Williams | Mikel Jauregizar | 28 | 42 | 37
EDGE Iñaki Williams | Álex Padilla | 3 | 42 | 3
EDGE Iñaki Williams | Mikel Vesga | 7 | 42 | 11
EDGE Iñaki Williams | Unai Núñez | 5 | 42 | 11
EDGE Iñaki Williams | Unai Gómez | 12 | 42 | 20
EDGE Iñaki Williams | Maroan Sannadi | 8 | 42 | 13
EDGE Gorka Guruzeta | Unai Simón | 13 | 31 | 23
EDGE Gorka Guruzeta | Adama Boiro | 11 | 31 | 15
EDGE Gorka Guruzeta | Óscar de Marcos | 12 | 31 | 27
EDGE Gorka Guruzeta | Mikel Jauregizar | 19 | 31 | 37
EDGE Gorka Guruzeta | Álex Berenguer | 21 | 31 | 38
EDGE Gorka Guruzeta | Aitor Paredes | 23 | 31 | 32
EDGE Gorka Guruzeta | Unai Núñez | 5 | 31 | 11
EDGE Gorka Guruzeta | Mikel Vesga | 6 | 31 | 11
EDGE Gorka Guruzeta | Álvaro Djaló | 5 | 31 | 11
EDGE Gorka Guruzeta | Nico Serrano | 1 | 31 | 2
EDGE Gorka Guruzeta | Andoni Gorosabel | 15 | 31 | 23
EDGE Gorka Guruzeta | Unai Gómez | 9 | 31 | 20
EDGE Gorka Guruzeta | Álex Padilla | 2 | 31 | 3
EDGE Gorka Guruzeta | Iñigo Ruiz de Galarreta | 15 | 31 | 31
EDGE Gorka Guruzeta | Maroan Sannadi | 1 | 31 | 13
EDGE Gorka Guruzeta | Peio Canales | 1 | 31 | 2
EDGE Aitor Paredes | Andoni Gorosabel | 14 | 32 | 23
EDGE Aitor Paredes | Iñigo Ruiz de Galarreta | 19 | 32 | 31
EDGE Aitor Paredes | Álex Berenguer | 21 | 32 | 38
EDGE Aitor Paredes | Álvaro Djaló | 6 | 32 | 11
EDGE Aitor Paredes | Unai Núñez | 6 | 32 | 11
EDGE Aitor Paredes | Adama Boiro | 10 | 32 | 15
EDGE Aitor Paredes | Óscar de Marcos | 15 | 32 | 27
EDGE Aitor Paredes | Mikel Vesga | 6 | 32 | 11
EDGE Aitor Paredes | Nico Serrano | 2 | 32 | 2
EDGE Aitor Paredes | Unai Simón | 13 | 32 | 23
EDGE Aitor Paredes | Unai Gómez | 13 | 32 | 20
EDGE Aitor Paredes | Álex Padilla | 2 | 32 | 3
EDGE Aitor Paredes | Mikel Jauregizar | 20 | 32 | 37
EDGE Aitor Paredes | Maroan Sannadi | 3 | 32 | 13
EDGE Aitor Paredes | Peio Canales | 1 | 32 | 2
EDGE Andoni Gorosabel | Iñigo Ruiz de Galarreta | 12 | 23 | 31
EDGE Andoni Gorosabel | Álex Berenguer | 16 | 23 | 38
EDGE Andoni Gorosabel | Álvaro Djaló | 6 | 23 | 11
EDGE Andoni Gorosabel | Unai Simón | 14 | 23 | 23
EDGE Andoni Gorosabel | Unai Núñez | 4 | 23 | 11
EDGE Andoni Gorosabel | Adama Boiro | 7 | 23 | 15
EDGE Andoni Gorosabel | Mikel Vesga | 7 | 23 | 11
EDGE Andoni Gorosabel | Unai Gómez | 12 | 23 | 20
EDGE Andoni Gorosabel | Álex Padilla | 1 | 23 | 3
EDGE Andoni Gorosabel | Mikel Jauregizar | 14 | 23 | 37
EDGE Andoni Gorosabel | Maroan Sannadi | 3 | 23 | 13
EDGE Andoni Gorosabel | Peio Canales | 1 | 23 | 2
EDGE Iñigo Ruiz de Galarreta | Álex Berenguer | 18 | 31 | 38
EDGE Iñigo Ruiz de Galarreta | Álvaro Djaló | 7 | 31 | 11
EDGE Iñigo Ruiz de Galarreta | Unai Núñez | 5 | 31 | 11
EDGE Iñigo Ruiz de Galarreta | Óscar de Marcos | 17 | 31 | 27
EDGE Iñigo Ruiz de Galarreta | Mikel Jauregizar | 19 | 31 | 37
EDGE Iñigo Ruiz de Galarreta | Unai Simón | 10 | 31 | 23
EDGE Iñigo Ruiz de Galarreta | Unai Gómez | 10 | 31 | 20
EDGE Iñigo Ruiz de Galarreta | Adama Boiro | 5 | 31 | 15
EDGE Iñigo Ruiz de Galarreta | Maroan Sannadi | 9 | 31 | 13
EDGE Iñigo Ruiz de Galarreta | Mikel Vesga | 1 | 31 | 11
EDGE Iñigo Ruiz de Galarreta | Peio Canales | 1 | 31 | 2
EDGE Iñigo Ruiz de Galarreta | Aingeru Olabarrieta | 1 | 31 | 1
EDGE Iñigo Ruiz de Galarreta | Álex Padilla | 1 | 31 | 3
EDGE Álex Berenguer | Álvaro Djaló | 6 | 38 | 11
EDGE Álex Berenguer | Unai Simón | 18 | 38 | 23
EDGE Álex Berenguer | Adama Boiro | 13 | 38 | 15
EDGE Álex Berenguer | Óscar de Marcos | 18 | 38 | 27
EDGE Álex Berenguer | Mikel Jauregizar | 25 | 38 | 37
EDGE Álex Berenguer | Unai Núñez | 10 | 38 | 11
EDGE Álex Berenguer | Mikel Vesga | 10 | 38 | 11
EDGE Álex Berenguer | Nico Serrano | 2 | 38 | 2
EDGE Álex Berenguer | Unai Gómez | 16 | 38 | 20
EDGE Álex Berenguer | Álex Padilla | 3 | 38 | 3
EDGE Álex Berenguer | Maroan Sannadi | 8 | 38 | 13
EDGE Álex Berenguer | Peio Canales | 1 | 38 | 2
EDGE Álvaro Djaló | Unai Núñez | 4 | 11 | 11
EDGE Álvaro Djaló | Adama Boiro | 4 | 11 | 15
EDGE Álvaro Djaló | Óscar de Marcos | 5 | 11 | 27
EDGE Álvaro Djaló | Mikel Vesga | 3 | 11 | 11
EDGE Álvaro Djaló | Nico Serrano | 1 | 11 | 2
EDGE Álvaro Djaló | Unai Simón | 3 | 11 | 23
EDGE Álvaro Djaló | Unai Gómez | 5 | 11 | 20
EDGE Álvaro Djaló | Mikel Jauregizar | 4 | 11 | 37
EDGE Álvaro Djaló | Maroan Sannadi | 2 | 11 | 13
EDGE Álvaro Djaló | Peio Canales | 1 | 11 | 2
EDGE Álvaro Djaló | Aingeru Olabarrieta | 1 | 11 | 1
EDGE Unai Simón | Adama Boiro | 9 | 23 | 15
EDGE Unai Simón | Óscar de Marcos | 7 | 23 | 27
EDGE Unai Simón | Mikel Jauregizar | 17 | 23 | 37
EDGE Unai Simón | Unai Núñez | 4 | 23 | 11
EDGE Unai Simón | Mikel Vesga | 6 | 23 | 11
EDGE Unai Simón | Unai Gómez | 12 | 23 | 20
EDGE Unai Simón | Maroan Sannadi | 7 | 23 | 13
EDGE Unai Simón | Peio Canales | 2 | 23 | 2
EDGE Unai Simón | Aingeru Olabarrieta | 1 | 23 | 1
EDGE Adama Boiro | Óscar de Marcos | 7 | 15 | 27
EDGE Adama Boiro | Mikel Jauregizar | 9 | 15 | 37
EDGE Adama Boiro | Unai Núñez | 2 | 15 | 11
EDGE Adama Boiro | Mikel Vesga | 3 | 15 | 11
EDGE Adama Boiro | Nico Serrano | 2 | 15 | 2
EDGE Adama Boiro | Unai Gómez | 5 | 15 | 20
EDGE Adama Boiro | Peio Canales | 1 | 15 | 2
EDGE Adama Boiro | Álex Padilla | 1 | 15 | 3
EDGE Óscar de Marcos | Mikel Jauregizar | 21 | 27 | 37
EDGE Óscar de Marcos | Unai Núñez | 7 | 27 | 11
EDGE Óscar de Marcos | Mikel Vesga | 3 | 27 | 11
EDGE Óscar de Marcos | Nico Serrano | 2 | 27 | 2
EDGE Óscar de Marcos | Unai Gómez | 7 | 27 | 20
EDGE Óscar de Marcos | Maroan Sannadi | 10 | 27 | 13
EDGE Óscar de Marcos | Peio Canales | 1 | 27 | 2
EDGE Óscar de Marcos | Aingeru Olabarrieta | 1 | 27 | 1
EDGE Óscar de Marcos | Álex Padilla | 1 | 27 | 3
EDGE Mikel Jauregizar | Mikel Vesga | 5 | 37 | 11
EDGE Mikel Jauregizar | Unai Núñez | 7 | 37 | 11
EDGE Mikel Jauregizar | Unai Gómez | 14 | 37 | 20
EDGE Mikel Jauregizar | Nico Serrano | 1 | 37 | 2
EDGE Mikel Jauregizar | Maroan Sannadi | 13 | 37 | 13
EDGE Mikel Jauregizar | Peio Canales | 2 | 37 | 2
EDGE Mikel Jauregizar | Aingeru Olabarrieta | 1 | 37 | 1
EDGE Unai Núñez | Mikel Vesga | 5 | 11 | 11
EDGE Unai Núñez | Nico Serrano | 1 | 11 | 2
EDGE Unai Núñez | Unai Gómez | 8 | 11 | 20
EDGE Unai Núñez | Maroan Sannadi | 4 | 11 | 13
EDGE Mikel Vesga | Nico Serrano | 1 | 11 | 2
EDGE Mikel Vesga | Unai Gómez | 6 | 11 | 20
EDGE Mikel Vesga | Álex Padilla | 2 | 11 | 3
EDGE Mikel Vesga | Maroan Sannadi | 2 | 11 | 13
EDGE Nico Serrano | Unai Gómez | 1 | 2 | 20
EDGE Unai Gómez | Maroan Sannadi | 5 | 20 | 13
EDGE Maroan Sannadi | Peio Canales | 1 | 13 | 2
EDGE Maroan Sannadi | Aingeru Olabarrieta | 1 | 13 | 1
EDGE Peio Canales | Aingeru Olabarrieta | 1 | 2 | 1
