# Graph for Java/GraphStream
# Nodes: 28
# Edges: 286

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marcos Senna | Giuseppe Rossi | 18 | 33 | 34
EDGE Marcos Senna | Nilmar | 26 | 33 | 36
EDGE Marcos Senna | Cani | 21 | 33 | 37
EDGE Marcos Senna | Joseba Llorente | 16 | 33 | 28
EDGE Marcos Senna | Gonzalo Rodríguez | 15 | 33 | 28
EDGE Marcos Senna | Ángel López | 18 | 33 | 34
EDGE Marcos Senna | Ariel Ibagaza | 8 | 33 | 19
EDGE Marcos Senna | Mateo Musacchio | 3 | 33 | 5
EDGE Marcos Senna | David Fuster | 12 | 33 | 14
EDGE Marcos Senna | Sebastián Eguren | 5 | 33 | 16
EDGE Marcos Senna | Santi Cazorla | 13 | 33 | 20
EDGE Marcos Senna | Kiko Olivas | 2 | 33 | 4
EDGE Marcos Senna | Xavier Oliva | 1 | 33 | 3
EDGE Marcos Senna | Fabricio Fuentes | 1 | 33 | 1
EDGE Marcos Senna | Javier Matilla | 2 | 33 | 2
EDGE Marcos Senna | Marco Ruben | 1 | 33 | 1
EDGE Robert Pirès | Damián Escudero | 3 | 20 | 8
EDGE Robert Pirès | Giuseppe Rossi | 13 | 20 | 34
EDGE Robert Pirès | Nilmar | 14 | 20 | 36
EDGE Robert Pirès | Cani | 11 | 20 | 37
EDGE Robert Pirès | Joseba Llorente | 7 | 20 | 28
EDGE Robert Pirès | Ángel López | 11 | 20 | 34
EDGE Robert Pirès | Ariel Ibagaza | 2 | 20 | 19
EDGE Robert Pirès | Santi Cazorla | 4 | 20 | 20
EDGE Robert Pirès | Gonzalo Rodríguez | 10 | 20 | 28
EDGE Robert Pirès | Sebastián Eguren | 7 | 20 | 16
EDGE Robert Pirès | Xavier Oliva | 1 | 20 | 3
EDGE Robert Pirès | Kiko Olivas | 1 | 20 | 4
EDGE Robert Pirès | Marcos Gullón | 1 | 20 | 1
EDGE Robert Pirès | Jonathan Pereira | 2 | 20 | 3
EDGE Robert Pirès | David Fuster | 5 | 20 | 14
EDGE Robert Pirès | Javier Matilla | 1 | 20 | 2
EDGE Damián Escudero | Giuseppe Rossi | 4 | 8 | 34
EDGE Damián Escudero | Nilmar | 4 | 8 | 36
EDGE Damián Escudero | Mateo Musacchio | 1 | 8 | 5
EDGE Damián Escudero | Ángel López | 6 | 8 | 34
EDGE Damián Escudero | David Fuster | 2 | 8 | 14
EDGE Damián Escudero | Cani | 4 | 8 | 37
EDGE Damián Escudero | Joseba Llorente | 5 | 8 | 28
EDGE Damián Escudero | Xavier Oliva | 3 | 8 | 3
EDGE Damián Escudero | Gonzalo Rodríguez | 3 | 8 | 28
EDGE Damián Escudero | Kiko Olivas | 2 | 8 | 4
