# Graph for Java/GraphStream
# Nodes: 28
# Edges: 300

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Federico Valverde | Víctor Chust | 1 | 21 | 2
EDGE Federico Valverde | Marcelo | 6 | 21 | 15
EDGE Federico Valverde | Álvaro Odriozola | 5 | 21 | 10
EDGE Federico Valverde | Isco | 4 | 21 | 10
EDGE Federico Valverde | Mariano Díaz | 1 | 21 | 7
EDGE Federico Valverde | Rodrygo | 4 | 21 | 13
EDGE Federico Valverde | Luka Jović | 3 | 21 | 3
EDGE Federico Valverde | Daniel Carvajal | 3 | 21 | 13
EDGE Federico Valverde | Miguel Gutiérrez | 3 | 21 | 3
EDGE Federico Valverde | Eden Hazard | 2 | 21 | 11
EDGE Federico Valverde | Marvin Park | 1 | 21 | 2
EDGE Federico Valverde | Martin Ødegaard | 1 | 21 | 5
EDGE Vinicius Junior | Marco Asensio | 14 | 31 | 29
EDGE Vinicius Junior | Karim Benzema | 27 | 31 | 43
EDGE Vinicius Junior | Éder Militão | 13 | 31 | 19
EDGE Vinicius Junior | Nacho Fernández | 21 | 31 | 30
EDGE Vinicius Junior | Luka Modrić | 25 | 31 | 43
EDGE Vinicius Junior | Álvaro Odriozola | 8 | 31 | 10
EDGE Vinicius Junior | Daniel Carvajal | 5 | 31 | 13
EDGE Vinicius Junior | Marvin Park | 2 | 31 | 2
EDGE Vinicius Junior | Marcelo | 9 | 31 | 15
EDGE Vinicius Junior | Andriy Lunin | 1 | 31 | 1
EDGE Vinicius Junior | Víctor Chust | 2 | 31 | 2
EDGE Vinicius Junior | Isco | 6 | 31 | 10
EDGE Vinicius Junior | Mariano Díaz | 3 | 31 | 7
EDGE Vinicius Junior | Martin Ødegaard | 1 | 31 | 5
EDGE Vinicius Junior | Rodrygo | 7 | 31 | 13
EDGE Vinicius Junior | Miguel Gutiérrez | 3 | 31 | 3
EDGE Vinicius Junior | Antonio Blanco | 2 | 31 | 2
EDGE Vinicius Junior | Eden Hazard | 2 | 31 | 11
EDGE Marco Asensio | Karim Benzema | 23 | 29 | 43
EDGE Marco Asensio | Nacho Fernández | 16 | 29 | 30
EDGE Marco Asensio | Luka Modrić | 25 | 29 | 43
EDGE Marco Asensio | Martin Ødegaard | 1 | 29 | 5
EDGE Marco Asensio | Rodrygo | 5 | 29 | 13
EDGE Marco Asensio | Éder Militão | 11 | 29 | 19
EDGE Marco Asensio | Daniel Carvajal | 4 | 29 | 13
EDGE Marco Asensio | Isco | 6 | 29 | 10
EDGE Marco Asensio | Álvaro Odriozola | 5 | 29 | 10
EDGE Marco Asensio | Eden Hazard | 8 | 29 | 11
EDGE Marco Asensio | Marvin Park | 1 | 29 | 2
EDGE Marco Asensio | Marcelo | 9 | 29 | 15
EDGE Marco Asensio | Mariano Díaz | 4 | 29 | 7
EDGE Marco Asensio | Luka Jović | 1 | 29 | 3
EDGE Marco Asensio | Antonio Blanco | 1 | 29 | 2
EDGE Marco Asensio | Víctor Chust | 1 | 29 | 2
EDGE Marco Asensio | Miguel Gutiérrez | 1 | 29 | 3
EDGE Karim Benzema | Nacho Fernández | 24 | 43 | 30
EDGE Karim Benzema | Luka Modrić | 35 | 43 | 43
EDGE Karim Benzema | Martin Ødegaard | 3 | 43 | 5
EDGE Karim Benzema | Rodrygo | 11 | 43 | 13
EDGE Karim Benzema | Éder Militão | 16 | 43 | 19
EDGE Karim Benzema | Daniel Carvajal | 11 | 43 | 13
EDGE Karim Benzema | Isco | 6 | 43 | 10
EDGE Karim Benzema | Álvaro Odriozola | 8 | 43 | 10
EDGE Karim Benzema | Eden Hazard | 8 | 43 | 11
EDGE Karim Benzema | Marvin Park | 2 | 43 | 2
EDGE Karim Benzema | Marcelo | 11 | 43 | 15
EDGE Karim Benzema | Miguel Gutiérrez | 3 | 43 | 3
EDGE Karim Benzema | Antonio Blanco | 2 | 43 | 2
EDGE Karim Benzema | Luka Jović | 2 | 43 | 3
EDGE Nacho Fernández | Luka Modrić | 27 | 30 | 43
EDGE Nacho Fernández | Martin Ødegaard | 3 | 30 | 5
EDGE Nacho Fernández | Rodrygo | 7 | 30 | 13
EDGE Nacho Fernández | Éder Militão | 11 | 30 | 19
EDGE Nacho Fernández | Daniel Carvajal | 6 | 30 | 13
EDGE Nacho Fernández | Isco | 6 | 30 | 10
EDGE Nacho Fernández | Álvaro Odriozola | 4 | 30 | 10
EDGE Nacho Fernández | Marvin Park | 2 | 30 | 2
EDGE Nacho Fernández | Marcelo | 7 | 30 | 15
EDGE Nacho Fernández | Eden Hazard | 4 | 30 | 11
EDGE Nacho Fernández | Mariano Díaz | 5 | 30 | 7
EDGE Nacho Fernández | Miguel Gutiérrez | 2 | 30 | 3
EDGE Nacho Fernández | Antonio Blanco | 1 | 30 | 2
EDGE Luka Modrić | Martin Ødegaard | 4 | 43 | 5
EDGE Luka Modrić | Rodrygo | 11 | 43 | 13
EDGE Luka Modrić | Éder Militão | 16 | 43 | 19
EDGE Luka Modrić | Daniel Carvajal | 11 | 43 | 13
EDGE Luka Modrić | Isco | 8 | 43 | 10
EDGE Luka Modrić | Álvaro Odriozola | 7 | 43 | 10
EDGE Luka Modrić | Eden Hazard | 9 | 43 | 11
EDGE Luka Modrić | Marvin Park | 2 | 43 | 2
EDGE Luka Modrić | Marcelo | 12 | 43 | 15
EDGE Luka Modrić | Mariano Díaz | 6 | 43 | 7
EDGE Luka Modrić | Luka Jović | 2 | 43 | 3
EDGE Luka Modrić | Miguel Gutiérrez | 3 | 43 | 3
