# Graph for Java/GraphStream
# Nodes: 27
# Edges: 270

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Paco Alcácer | Carlos Bacca | 1 | 11 | 11
EDGE Soufiane Chakla | Alberto Moreno | 1 | 3 | 18
EDGE Soufiane Chakla | Javi Ontiveros | 2 | 3 | 12
EDGE Soufiane Chakla | Carlos Bacca | 1 | 3 | 11
EDGE Soufiane Chakla | Samuel Chukwueze | 2 | 3 | 22
EDGE Soufiane Chakla | Andrés Fernández | 1 | 3 | 9
EDGE Alberto Moreno | Javi Ontiveros | 6 | 18 | 12
EDGE Alberto Moreno | Carlos Bacca | 6 | 18 | 11
EDGE Alberto Moreno | Samuel Chukwueze | 9 | 18 | 22
EDGE Alberto Moreno | Andrés Fernández | 3 | 18 | 9
EDGE Alberto Moreno | Bruno Soriano | 1 | 18 | 1
EDGE Alberto Moreno | Fer Niño | 1 | 18 | 1
EDGE Javi Ontiveros | Carlos Bacca | 6 | 12 | 11
EDGE Javi Ontiveros | Samuel Chukwueze | 5 | 12 | 22
EDGE Javi Ontiveros | Andrés Fernández | 5 | 12 | 9
EDGE Javi Ontiveros | Miguel Leal | 1 | 12 | 1
EDGE Javi Ontiveros | Sergio Lozano | 1 | 12 | 1
EDGE Javi Ontiveros | Leo Suárez | 1 | 12 | 1
EDGE Javi Ontiveros | Fer Niño | 1 | 12 | 1
EDGE Carlos Bacca | Samuel Chukwueze | 4 | 11 | 22
EDGE Carlos Bacca | Andrés Fernández | 4 | 11 | 9
EDGE Carlos Bacca | Miguel Leal | 1 | 11 | 1
EDGE Carlos Bacca | Sergio Lozano | 1 | 11 | 1
EDGE Carlos Bacca | Leo Suárez | 1 | 11 | 1
EDGE Samuel Chukwueze | Andrés Fernández | 6 | 22 | 9
EDGE Samuel Chukwueze | Bruno Soriano | 1 | 22 | 1
EDGE Andrés Fernández | Bruno Soriano | 1 | 9 | 1
EDGE Andrés Fernández | Miguel Leal | 1 | 9 | 1
EDGE Andrés Fernández | Sergio Lozano | 1 | 9 | 1
EDGE Andrés Fernández | Leo Suárez | 1 | 9 | 1
EDGE Miguel Leal | Sergio Lozano | 1 | 1 | 1
EDGE Miguel Leal | Leo Suárez | 1 | 1 | 1
EDGE Sergio Lozano | Leo Suárez | 1 | 1 | 1
