# Graph for Java/GraphStream
# Nodes: 25
# Edges: 260

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Daniel Carvajal | Martin Ødegaard | 1 | 38 | 1
EDGE Daniel Carvajal | Mariano Díaz | 1 | 38 | 2
EDGE Mateo Kovacic | Luka Modrić | 5 | 23 | 37
EDGE Mateo Kovacic | Isco | 14 | 23 | 27
EDGE Mateo Kovacic | Lucas Vázquez | 11 | 23 | 20
EDGE Mateo Kovacic | Nacho Fernández | 14 | 23 | 33
EDGE Mateo Kovacic | Fábio Coentrão | 3 | 23 | 3
EDGE Mateo Kovacic | Álvaro Morata | 12 | 23 | 19
EDGE Mateo Kovacic | Kiko Casilla | 9 | 23 | 19
EDGE Mateo Kovacic | Casemiro | 6 | 23 | 37
EDGE Luka Modrić | Isco | 13 | 37 | 27
EDGE Luka Modrić | Lucas Vázquez | 11 | 37 | 20
EDGE Luka Modrić | Nacho Fernández | 18 | 37 | 33
EDGE Luka Modrić | Casemiro | 28 | 37 | 37
EDGE Luka Modrić | Álvaro Morata | 5 | 37 | 19
EDGE Luka Modrić | Kiko Casilla | 8 | 37 | 19
EDGE Isco | Lucas Vázquez | 8 | 27 | 20
EDGE Isco | Kiko Casilla | 8 | 27 | 19
EDGE Isco | Nacho Fernández | 15 | 27 | 33
EDGE Isco | Álvaro Morata | 9 | 27 | 19
EDGE Isco | Casemiro | 12 | 27 | 37
EDGE Isco | Álvaro Tejero | 1 | 27 | 1
EDGE Isco | Martin Ødegaard | 1 | 27 | 1
EDGE Isco | Mariano Díaz | 1 | 27 | 2
EDGE Isco | Fábio Coentrão | 1 | 27 | 3
EDGE Lucas Vázquez | Nacho Fernández | 13 | 20 | 33
EDGE Lucas Vázquez | Casemiro | 12 | 20 | 37
EDGE Lucas Vázquez | Kiko Casilla | 9 | 20 | 19
EDGE Lucas Vázquez | Álvaro Morata | 8 | 20 | 19
EDGE Lucas Vázquez | Fábio Coentrão | 2 | 20 | 3
EDGE Lucas Vázquez | Mariano Díaz | 1 | 20 | 2
EDGE Nacho Fernández | Fábio Coentrão | 3 | 33 | 3
EDGE Nacho Fernández | Álvaro Morata | 16 | 33 | 19
EDGE Nacho Fernández | Casemiro | 19 | 33 | 37
EDGE Nacho Fernández | Kiko Casilla | 12 | 33 | 19
EDGE Nacho Fernández | Álvaro Tejero | 1 | 33 | 1
EDGE Nacho Fernández | Martin Ødegaard | 1 | 33 | 1
EDGE Nacho Fernández | Mariano Díaz | 2 | 33 | 2
EDGE Fábio Coentrão | Álvaro Morata | 3 | 3 | 19
EDGE Fábio Coentrão | Kiko Casilla | 2 | 3 | 19
EDGE Fábio Coentrão | Casemiro | 1 | 3 | 37
EDGE Álvaro Morata | Kiko Casilla | 12 | 19 | 19
EDGE Álvaro Morata | Casemiro | 8 | 19 | 37
EDGE Álvaro Morata | Mariano Díaz | 1 | 19 | 2
EDGE Casemiro | Kiko Casilla | 11 | 37 | 19
EDGE Casemiro | Álvaro Tejero | 1 | 37 | 1
EDGE Casemiro | Martin Ødegaard | 1 | 37 | 1
EDGE Casemiro | Mariano Díaz | 2 | 37 | 2
EDGE Kiko Casilla | Álvaro Tejero | 1 | 19 | 1
EDGE Kiko Casilla | Martin Ødegaard | 1 | 19 | 1
EDGE Kiko Casilla | Mariano Díaz | 2 | 19 | 2
EDGE Álvaro Tejero | Martin Ødegaard | 1 | 1 | 1
EDGE Álvaro Tejero | Mariano Díaz | 1 | 1 | 2
EDGE Martin Ødegaard | Mariano Díaz | 1 | 1 | 2
