# Graph for Java/GraphStream
# Nodes: 25
# Edges: 262

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Samuel Lino | Ángel Correa | 13 | 36 | 18
EDGE Samuel Lino | Reinildo Mandava | 6 | 36 | 8
EDGE Samuel Lino | Pablo Barrios | 14 | 36 | 20
EDGE Samuel Lino | Gabriel Paulista | 5 | 36 | 5
EDGE Samuel Lino | Rodrigo Riquelme | 7 | 36 | 20
EDGE Samuel Lino | Memphis Depay | 7 | 36 | 11
EDGE Samuel Lino | Arthur Vermeeren | 1 | 36 | 2
EDGE Samuel Lino | Çağlar Söyüncü | 1 | 36 | 2
EDGE Antoine Griezmann | Álvaro Morata | 29 | 45 | 33
EDGE Antoine Griezmann | César Azpilicueta | 16 | 45 | 18
EDGE Antoine Griezmann | Stefan Savic | 22 | 45 | 26
EDGE Antoine Griezmann | Rodrigo De Paul | 33 | 45 | 38
EDGE Antoine Griezmann | Ángel Correa | 12 | 45 | 18
EDGE Antoine Griezmann | Pablo Barrios | 14 | 45 | 20
EDGE Antoine Griezmann | Reinildo Mandava | 4 | 45 | 8
EDGE Antoine Griezmann | Rodrigo Riquelme | 16 | 45 | 20
EDGE Antoine Griezmann | Gabriel Paulista | 2 | 45 | 5
EDGE Antoine Griezmann | Thomas Lemar | 3 | 45 | 3
EDGE Antoine Griezmann | Yannick Carrasco | 3 | 45 | 3
EDGE Antoine Griezmann | Memphis Depay | 6 | 45 | 11
EDGE Antoine Griezmann | Arthur Vermeeren | 1 | 45 | 2
EDGE Antoine Griezmann | Javi Galán | 1 | 45 | 2
EDGE Antoine Griezmann | Çağlar Söyüncü | 1 | 45 | 2
EDGE Álvaro Morata | César Azpilicueta | 10 | 33 | 18
EDGE Álvaro Morata | Stefan Savic | 14 | 33 | 26
EDGE Álvaro Morata | Rodrigo De Paul | 24 | 33 | 38
EDGE Álvaro Morata | Ángel Correa | 4 | 33 | 18
EDGE Álvaro Morata | Pablo Barrios | 10 | 33 | 20
EDGE Álvaro Morata | Gabriel Paulista | 3 | 33 | 5
EDGE Álvaro Morata | Rodrigo Riquelme | 12 | 33 | 20
EDGE Álvaro Morata | Memphis Depay | 2 | 33 | 11
EDGE Álvaro Morata | Reinildo Mandava | 1 | 33 | 8
EDGE Álvaro Morata | Thomas Lemar | 2 | 33 | 3
EDGE Álvaro Morata | Javi Galán | 1 | 33 | 2
EDGE Álvaro Morata | Yannick Carrasco | 1 | 33 | 3
EDGE Álvaro Morata | Çağlar Söyüncü | 1 | 33 | 2
EDGE César Azpilicueta | Stefan Savic | 7 | 18 | 26
EDGE César Azpilicueta | Rodrigo De Paul | 11 | 18 | 38
EDGE César Azpilicueta | Ángel Correa | 9 | 18 | 18
EDGE César Azpilicueta | Pablo Barrios | 5 | 18 | 20
EDGE César Azpilicueta | Rodrigo Riquelme | 6 | 18 | 20
