# Graph for Java/GraphStream
# Nodes: 27
# Edges: 289

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marco Asensio | Gareth Bale | 7 | 28 | 26
EDGE Marco Asensio | Dani Ceballos | 7 | 28 | 9
EDGE Marco Asensio | Borja Mayoral | 5 | 28 | 9
EDGE Marco Asensio | Jesús Vallejo | 9 | 28 | 12
EDGE Marco Asensio | Álvaro Tejero | 1 | 28 | 2
EDGE Lucas Vázquez | Karim Benzema | 17 | 27 | 39
EDGE Lucas Vázquez | Keylor Navas | 16 | 27 | 44
EDGE Lucas Vázquez | Marcelo | 14 | 27 | 42
EDGE Lucas Vázquez | Cristiano Ronaldo | 15 | 27 | 42
EDGE Lucas Vázquez | Toni Kroos | 12 | 27 | 40
EDGE Lucas Vázquez | Luka Modrić | 8 | 27 | 38
EDGE Lucas Vázquez | Nacho Fernández | 16 | 27 | 34
EDGE Lucas Vázquez | Achraf Hakimi | 5 | 27 | 14
EDGE Lucas Vázquez | Marcos Llorente | 8 | 27 | 11
EDGE Lucas Vázquez | Gareth Bale | 6 | 27 | 26
EDGE Lucas Vázquez | Jesús Vallejo | 9 | 27 | 12
EDGE Lucas Vázquez | Dani Ceballos | 6 | 27 | 9
EDGE Lucas Vázquez | Borja Mayoral | 5 | 27 | 9
EDGE Lucas Vázquez | Álvaro Tejero | 1 | 27 | 2
EDGE Karim Benzema | Keylor Navas | 27 | 39 | 44
EDGE Karim Benzema | Marcelo | 31 | 39 | 42
EDGE Karim Benzema | Cristiano Ronaldo | 26 | 39 | 42
EDGE Karim Benzema | Toni Kroos | 29 | 39 | 40
EDGE Karim Benzema | Luka Modrić | 25 | 39 | 38
EDGE Karim Benzema | Gareth Bale | 12 | 39 | 26
EDGE Karim Benzema | Nacho Fernández | 19 | 39 | 34
EDGE Karim Benzema | Achraf Hakimi | 9 | 39 | 14
EDGE Karim Benzema | Marcos Llorente | 5 | 39 | 11
EDGE Karim Benzema | Jesús Vallejo | 7 | 39 | 12
EDGE Karim Benzema | Dani Ceballos | 2 | 39 | 9
EDGE Karim Benzema | Borja Mayoral | 1 | 39 | 9
EDGE Keylor Navas | Nacho Fernández | 23 | 44 | 34
EDGE Keylor Navas | Marcelo | 33 | 44 | 42
EDGE Keylor Navas | Luka Modrić | 32 | 44 | 38
EDGE Keylor Navas | Gareth Bale | 23 | 44 | 26
EDGE Keylor Navas | Cristiano Ronaldo | 33 | 44 | 42
EDGE Keylor Navas | Toni Kroos | 31 | 44 | 40
EDGE Keylor Navas | Álvaro Tejero | 1 | 44 | 2
EDGE Keylor Navas | Achraf Hakimi | 8 | 44 | 14
EDGE Keylor Navas | Marcos Llorente | 3 | 44 | 11
EDGE Keylor Navas | Dani Ceballos | 2 | 44 | 9
EDGE Keylor Navas | Óscar Rodríguez | 1 | 44 | 1
EDGE Keylor Navas | Franchu | 1 | 44 | 1
EDGE Keylor Navas | Borja Mayoral | 4 | 44 | 9
EDGE Keylor Navas | Jesús Vallejo | 4 | 44 | 12
EDGE Nacho Fernández | Marcelo | 19 | 34 | 42
EDGE Nacho Fernández | Luka Modrić | 18 | 34 | 38
EDGE Nacho Fernández | Gareth Bale | 16 | 34 | 26
EDGE Nacho Fernández | Cristiano Ronaldo | 22 | 34 | 42
EDGE Nacho Fernández | Álvaro Tejero | 2 | 34 | 2
EDGE Nacho Fernández | Achraf Hakimi | 11 | 34 | 14
EDGE Nacho Fernández | Marcos Llorente | 9 | 34 | 11
EDGE Nacho Fernández | Dani Ceballos | 7 | 34 | 9
EDGE Nacho Fernández | Óscar Rodríguez | 1 | 34 | 1
EDGE Nacho Fernández | Franchu | 1 | 34 | 1
EDGE Nacho Fernández | Borja Mayoral | 6 | 34 | 9
EDGE Nacho Fernández | Toni Kroos | 18 | 34 | 40
EDGE Nacho Fernández | Jesús Vallejo | 7 | 34 | 12
EDGE Marcelo | Luka Modrić | 33 | 42 | 38
EDGE Marcelo | Gareth Bale | 18 | 42 | 26
EDGE Marcelo | Cristiano Ronaldo | 35 | 42 | 42
EDGE Marcelo | Toni Kroos | 38 | 42 | 40
EDGE Marcelo | Marcos Llorente | 2 | 42 | 11
EDGE Marcelo | Borja Mayoral | 1 | 42 | 9
EDGE Marcelo | Achraf Hakimi | 8 | 42 | 14
EDGE Marcelo | Jesús Vallejo | 4 | 42 | 12
EDGE Marcelo | Luca Zidane | 1 | 42 | 1
EDGE Luka Modrić | Gareth Bale | 18 | 38 | 26
EDGE Luka Modrić | Cristiano Ronaldo | 31 | 38 | 42
EDGE Luka Modrić | Toni Kroos | 33 | 38 | 40
EDGE Luka Modrić | Dani Ceballos | 1 | 38 | 9
EDGE Luka Modrić | Borja Mayoral | 2 | 38 | 9
EDGE Luka Modrić | Achraf Hakimi | 8 | 38 | 14
EDGE Luka Modrić | Jesús Vallejo | 3 | 38 | 12
EDGE Luka Modrić | Luca Zidane | 1 | 38 | 1
EDGE Gareth Bale | Cristiano Ronaldo | 16 | 26 | 42
EDGE Gareth Bale | Toni Kroos | 17 | 26 | 40
EDGE Gareth Bale | Marcos Llorente | 4 | 26 | 11
EDGE Gareth Bale | Achraf Hakimi | 4 | 26 | 14
EDGE Gareth Bale | Borja Mayoral | 4 | 26 | 9
EDGE Gareth Bale | Jesús Vallejo | 4 | 26 | 12
EDGE Gareth Bale | Dani Ceballos | 2 | 26 | 9
EDGE Gareth Bale | Luca Zidane | 1 | 26 | 1
EDGE Cristiano Ronaldo | Toni Kroos | 33 | 42 | 40
EDGE Cristiano Ronaldo | Marcos Llorente | 2 | 42 | 11
EDGE Cristiano Ronaldo | Dani Ceballos | 2 | 42 | 9
EDGE Cristiano Ronaldo | Borja Mayoral | 2 | 42 | 9
EDGE Cristiano Ronaldo | Jesús Vallejo | 4 | 42 | 12
EDGE Cristiano Ronaldo | Luca Zidane | 1 | 42 | 1
EDGE Cristiano Ronaldo | Achraf Hakimi | 8 | 42 | 14
EDGE Toni Kroos | Marcos Llorente | 2 | 40 | 11
EDGE Toni Kroos | Borja Mayoral | 1 | 40 | 9
EDGE Toni Kroos | Achraf Hakimi | 8 | 40 | 14
EDGE Toni Kroos | Jesús Vallejo | 4 | 40 | 12
EDGE Toni Kroos | Luca Zidane | 1 | 40 | 1
EDGE Álvaro Tejero | Achraf Hakimi | 2 | 2 | 14
EDGE Álvaro Tejero | Marcos Llorente | 2 | 2 | 11
