# Graph for Java/GraphStream
# Nodes: 22
# Edges: 211

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Koke | Thomas Partey | 6 | 53 | 9
EDGE Koke | Nico Gaitán | 14 | 53 | 19
EDGE Koke | José María Giménez | 19 | 53 | 23
EDGE Koke | Fernando Torres | 18 | 53 | 21
EDGE Koke | Kévin Gameiro | 25 | 53 | 27
EDGE Koke | Lucas Hernández | 16 | 53 | 20
EDGE Koke | Tiago Mendes | 6 | 53 | 6
EDGE Koke | Ángel Correa | 13 | 53 | 17
EDGE Koke | Augusto Fernández | 2 | 53 | 2
EDGE Yannick Carrasco | Antoine Griezmann | 39 | 42 | 53
EDGE Yannick Carrasco | Jan Oblak | 32 | 42 | 41
EDGE Yannick Carrasco | Thomas Partey | 6 | 42 | 9
EDGE Yannick Carrasco | Nico Gaitán | 11 | 42 | 19
EDGE Yannick Carrasco | José María Giménez | 14 | 42 | 23
EDGE Yannick Carrasco | Fernando Torres | 15 | 42 | 21
EDGE Yannick Carrasco | Kévin Gameiro | 18 | 42 | 27
EDGE Yannick Carrasco | Lucas Hernández | 12 | 42 | 20
EDGE Yannick Carrasco | Tiago Mendes | 4 | 42 | 6
EDGE Yannick Carrasco | Ángel Correa | 9 | 42 | 17
EDGE Yannick Carrasco | Augusto Fernández | 1 | 42 | 2
EDGE Yannick Carrasco | Caio Henrique | 1 | 42 | 1
EDGE Antoine Griezmann | Jan Oblak | 39 | 53 | 41
EDGE Antoine Griezmann | Thomas Partey | 6 | 53 | 9
EDGE Antoine Griezmann | Nico Gaitán | 15 | 53 | 19
EDGE Antoine Griezmann | José María Giménez | 19 | 53 | 23
EDGE Antoine Griezmann | Fernando Torres | 18 | 53 | 21
EDGE Antoine Griezmann | Kévin Gameiro | 25 | 53 | 27
EDGE Antoine Griezmann | Lucas Hernández | 16 | 53 | 20
EDGE Antoine Griezmann | Tiago Mendes | 5 | 53 | 6
EDGE Antoine Griezmann | Ángel Correa | 13 | 53 | 17
EDGE Antoine Griezmann | Augusto Fernández | 2 | 53 | 2
EDGE Jan Oblak | Thomas Partey | 7 | 41 | 9
EDGE Jan Oblak | Nico Gaitán | 10 | 41 | 19
EDGE Jan Oblak | José María Giménez | 14 | 41 | 23
EDGE Jan Oblak | Fernando Torres | 13 | 41 | 21
EDGE Jan Oblak | Kévin Gameiro | 21 | 41 | 27
EDGE Jan Oblak | Lucas Hernández | 13 | 41 | 20
EDGE Jan Oblak | Tiago Mendes | 6 | 41 | 6
EDGE Jan Oblak | Ángel Correa | 11 | 41 | 17
EDGE Jan Oblak | Augusto Fernández | 2 | 41 | 2
EDGE Thomas Partey | Nico Gaitán | 5 | 9 | 19
EDGE Thomas Partey | Lucas Hernández | 7 | 9 | 20
EDGE Thomas Partey | Tiago Mendes | 1 | 9 | 6
EDGE Thomas Partey | Fernando Torres | 4 | 9 | 21
EDGE Thomas Partey | José María Giménez | 5 | 9 | 23
EDGE Thomas Partey | Ángel Correa | 5 | 9 | 17
EDGE Thomas Partey | Kévin Gameiro | 1 | 9 | 27
EDGE Thomas Partey | Caio Henrique | 1 | 9 | 1
EDGE Nico Gaitán | Fernando Torres | 6 | 19 | 21
