# Graph for Java/GraphStream
# Nodes: 28
# Edges: 287

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Raúl | Álvaro Mejía | 3 | 39 | 7
EDGE Raúl | Marcelo | 1 | 39 | 1
EDGE Ruud van Nistelrooy | Míchel Salgado | 14 | 46 | 16
EDGE Ruud van Nistelrooy | Emerson | 31 | 46 | 33
EDGE Ruud van Nistelrooy | José Antonio Reyes | 17 | 46 | 19
EDGE Ruud van Nistelrooy | Antonio Cassano | 6 | 46 | 8
EDGE Ruud van Nistelrooy | Iván Helguera | 26 | 46 | 28
EDGE Ruud van Nistelrooy | Guti | 24 | 46 | 26
EDGE Ruud van Nistelrooy | Gonzalo Higuaín | 16 | 46 | 17
EDGE Ruud van Nistelrooy | Raúl Bravo | 5 | 46 | 6
EDGE Ruud van Nistelrooy | Cicinho | 6 | 46 | 6
EDGE Ruud van Nistelrooy | Ronaldo | 3 | 46 | 6
EDGE Ruud van Nistelrooy | Álvaro Mejía | 5 | 46 | 7
EDGE Ruud van Nistelrooy | Diego López | 3 | 46 | 5
EDGE Ruud van Nistelrooy | Francisco Pavón | 1 | 46 | 2
EDGE Ruud van Nistelrooy | Javi García | 1 | 46 | 2
EDGE Ruud van Nistelrooy | Marcelo | 1 | 46 | 1
EDGE Míchel Salgado | Emerson | 10 | 16 | 33
EDGE Míchel Salgado | José Antonio Reyes | 6 | 16 | 19
EDGE Míchel Salgado | Antonio Cassano | 4 | 16 | 8
EDGE Míchel Salgado | Diego López | 1 | 16 | 5
EDGE Míchel Salgado | Álvaro Mejía | 2 | 16 | 7
EDGE Míchel Salgado | Rubén de la Red | 1 | 16 | 1
EDGE Míchel Salgado | Miguel Ángel Nieto | 1 | 16 | 1
EDGE Míchel Salgado | Ronaldo | 3 | 16 | 6
EDGE Míchel Salgado | Guti | 9 | 16 | 26
EDGE Míchel Salgado | Raúl Bravo | 1 | 16 | 6
EDGE Míchel Salgado | Iván Helguera | 6 | 16 | 28
