# Graph for Java/GraphStream
# Nodes: 25
# Edges: 273

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Royston Drenthe | Ruud van Nistelrooy | 4 | 10 | 30
EDGE Royston Drenthe | Gabriel Heinze | 3 | 10 | 23
EDGE Royston Drenthe | Fernando Gago | 5 | 10 | 32
EDGE Royston Drenthe | Arjen Robben | 4 | 10 | 16
EDGE Royston Drenthe | Júlio Baptista | 3 | 10 | 16
EDGE Royston Drenthe | Marcelo | 4 | 10 | 32
EDGE Royston Drenthe | Míchel Salgado | 4 | 10 | 12
EDGE Royston Drenthe | Guti | 7 | 10 | 38
EDGE Royston Drenthe | Jerzy Dudek | 2 | 10 | 5
EDGE Royston Drenthe | Christoph Metzelder | 2 | 10 | 11
EDGE Royston Drenthe | Javier Saviola | 2 | 10 | 7
EDGE Royston Drenthe | Gonzalo Higuaín | 2 | 10 | 12
EDGE Royston Drenthe | Roberto Soldado | 1 | 10 | 2
EDGE Wesley Sneijder | Raúl | 33 | 34 | 47
EDGE Wesley Sneijder | Robinho | 24 | 34 | 35
EDGE Wesley Sneijder | Ruud van Nistelrooy | 21 | 34 | 30
EDGE Wesley Sneijder | Míchel Salgado | 3 | 34 | 12
EDGE Wesley Sneijder | Guti | 21 | 34 | 38
EDGE Wesley Sneijder | Gabriel Heinze | 16 | 34 | 23
EDGE Wesley Sneijder | Fernando Gago | 16 | 34 | 32
EDGE Wesley Sneijder | Arjen Robben | 9 | 34 | 16
EDGE Wesley Sneijder | Marcelo | 21 | 34 | 32
EDGE Wesley Sneijder | Javier Saviola | 4 | 34 | 7
EDGE Wesley Sneijder | Júlio Baptista | 8 | 34 | 16
EDGE Wesley Sneijder | Christoph Metzelder | 6 | 34 | 11
EDGE Wesley Sneijder | Jerzy Dudek | 2 | 34 | 5
EDGE Wesley Sneijder | Gonzalo Higuaín | 7 | 34 | 12
EDGE Wesley Sneijder | Jordi Codina | 1 | 34 | 1
EDGE Wesley Sneijder | Roberto Soldado | 1 | 34 | 2
EDGE Raúl | Robinho | 33 | 47 | 35
EDGE Raúl | Ruud van Nistelrooy | 28 | 47 | 30
EDGE Raúl | Míchel Salgado | 8 | 47 | 12
EDGE Raúl | Guti | 33 | 47 | 38
EDGE Raúl | Marcelo | 28 | 47 | 32
EDGE Raúl | Fernando Gago | 28 | 47 | 32
EDGE Raúl | Júlio Baptista | 15 | 47 | 16
EDGE Raúl | Arjen Robben | 14 | 47 | 16
EDGE Raúl | Gabriel Heinze | 21 | 47 | 23
EDGE Raúl | Javier Saviola | 4 | 47 | 7
EDGE Raúl | Christoph Metzelder | 8 | 47 | 11
EDGE Raúl | Jerzy Dudek | 1 | 47 | 5
EDGE Raúl | Gonzalo Higuaín | 7 | 47 | 12
EDGE Raúl | Jordi Codina | 1 | 47 | 1
EDGE Raúl | Javier Balboa | 1 | 47 | 2
EDGE Raúl | Roberto Soldado | 1 | 47 | 2
EDGE Robinho | Ruud van Nistelrooy | 24 | 35 | 30
EDGE Robinho | Míchel Salgado | 8 | 35 | 12
EDGE Robinho | Guti | 23 | 35 | 38
EDGE Robinho | Marcelo | 22 | 35 | 32
EDGE Robinho | Fernando Gago | 20 | 35 | 32
EDGE Robinho | Júlio Baptista | 12 | 35 | 16
EDGE Robinho | Arjen Robben | 4 | 35 | 16
EDGE Robinho | Gabriel Heinze | 10 | 35 | 23
EDGE Robinho | Javier Saviola | 3 | 35 | 7
EDGE Robinho | Christoph Metzelder | 8 | 35 | 11
EDGE Robinho | Jerzy Dudek | 2 | 35 | 5
EDGE Robinho | Gonzalo Higuaín | 4 | 35 | 12
EDGE Robinho | Jordi Codina | 1 | 35 | 1
EDGE Robinho | Javier Balboa | 1 | 35 | 2
EDGE Ruud van Nistelrooy | Míchel Salgado | 5 | 30 | 12
EDGE Ruud van Nistelrooy | Guti | 20 | 30 | 38
EDGE Ruud van Nistelrooy | Marcelo | 20 | 30 | 32
EDGE Ruud van Nistelrooy | Júlio Baptista | 9 | 30 | 16
EDGE Ruud van Nistelrooy | Christoph Metzelder | 9 | 30 | 11
EDGE Ruud van Nistelrooy | Fernando Gago | 14 | 30 | 32
EDGE Ruud van Nistelrooy | Gabriel Heinze | 8 | 30 | 23
EDGE Ruud van Nistelrooy | Gonzalo Higuaín | 4 | 30 | 12
EDGE Ruud van Nistelrooy | Javier Saviola | 1 | 30 | 7
EDGE Ruud van Nistelrooy | Arjen Robben | 4 | 30 | 16
EDGE Ruud van Nistelrooy | Jerzy Dudek | 1 | 30 | 5
EDGE Ruud van Nistelrooy | Jordi Codina | 1 | 30 | 1
EDGE Míchel Salgado | Guti | 12 | 12 | 38
EDGE Míchel Salgado | Marcelo | 7 | 12 | 32
EDGE Míchel Salgado | Fernando Gago | 10 | 12 | 32
EDGE Míchel Salgado | Júlio Baptista | 5 | 12 | 16
