# Graph for Java/GraphStream
# Nodes: 28
# Edges: 307

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE David Villa | Jonathan dos Santos | 1 | 17 | 3
EDGE David Villa | Cristian Tello | 1 | 17 | 4
EDGE Andreu Fontàs | Martín Montoya | 2 | 5 | 6
EDGE Andreu Fontàs | Sergi Roberto | 2 | 5 | 3
EDGE Andreu Fontàs | Marc Bartra | 1 | 5 | 1
EDGE Andreu Fontàs | Maxwell | 2 | 5 | 6
EDGE Andreu Fontàs | Jonathan dos Santos | 2 | 5 | 3
EDGE Andreu Fontàs | Rafinha | 1 | 5 | 1
EDGE Andreu Fontàs | Cristian Tello | 1 | 5 | 4
EDGE Martín Montoya | Sergi Roberto | 2 | 6 | 3
EDGE Martín Montoya | Marc Bartra | 1 | 6 | 1
EDGE Martín Montoya | Maxwell | 1 | 6 | 6
EDGE Martín Montoya | Jonathan dos Santos | 1 | 6 | 3
EDGE Martín Montoya | Rafinha | 1 | 6 | 1
EDGE Sergi Roberto | Marc Bartra | 1 | 3 | 1
EDGE Sergi Roberto | Maxwell | 1 | 3 | 6
EDGE Sergi Roberto | Jonathan dos Santos | 1 | 3 | 3
EDGE Sergi Roberto | Rafinha | 1 | 3 | 1
EDGE Maxwell | Marc Bartra | 1 | 6 | 1
EDGE Maxwell | Jonathan dos Santos | 2 | 6 | 3
EDGE Maxwell | Rafinha | 1 | 6 | 1
EDGE Maxwell | Cristian Tello | 1 | 6 | 4
EDGE Cristian Tello | Jonathan dos Santos | 2 | 4 | 3
EDGE Marc Bartra | Jonathan dos Santos | 1 | 1 | 3
EDGE Marc Bartra | Rafinha | 1 | 1 | 1
EDGE Jonathan dos Santos | Rafinha | 1 | 3 | 1
