# Graph for Java/GraphStream
# Nodes: 28
# Edges: 302

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Dani Parejo | Ramón Terrats | 2 | 28 | 2
EDGE Dani Parejo | Pau Cabanes | 2 | 28 | 2
EDGE Dani Parejo | Alassane Diatta | 1 | 28 | 1
EDGE Dani Parejo | Denis Suárez | 4 | 28 | 8
EDGE Dani Parejo | Gerard Moreno | 5 | 28 | 7
EDGE Dani Parejo | Thierno Barry | 18 | 28 | 26
EDGE Dani Parejo | Kiko Femenía | 20 | 28 | 27
EDGE Dani Parejo | Raúl Albiol | 12 | 28 | 14
EDGE Dani Parejo | Ilias Akhomach | 5 | 28 | 7
EDGE Dani Parejo | Alfonso Pedraza | 2 | 28 | 4
EDGE Dani Parejo | Eric Bailly | 6 | 28 | 8
EDGE Dani Parejo | Arnaut Danjuma | 2 | 28 | 3
EDGE Yéremy Pino | Luiz Júnior | 13 | 26 | 18
EDGE Yéremy Pino | Juan Bernat | 2 | 26 | 3
EDGE Yéremy Pino | Ramón Terrats | 2 | 26 | 2
EDGE Yéremy Pino | Pau Cabanes | 1 | 26 | 2
EDGE Yéremy Pino | Kiko Femenía | 16 | 26 | 27
EDGE Yéremy Pino | Denis Suárez | 5 | 26 | 8
EDGE Yéremy Pino | Thierno Barry | 15 | 26 | 26
EDGE Yéremy Pino | Raúl Albiol | 8 | 26 | 14
EDGE Yéremy Pino | Gerard Moreno | 6 | 26 | 7
EDGE Yéremy Pino | Eric Bailly | 5 | 26 | 8
EDGE Yéremy Pino | Alfonso Pedraza | 4 | 26 | 4
EDGE Yéremy Pino | Arnaut Danjuma | 2 | 26 | 3
EDGE Luiz Júnior | Juan Bernat | 2 | 18 | 3
EDGE Luiz Júnior | Ramón Terrats | 1 | 18 | 2
EDGE Luiz Júnior | Pau Cabanes | 2 | 18 | 2
EDGE Luiz Júnior | Alassane Diatta | 1 | 18 | 1
EDGE Luiz Júnior | Denis Suárez | 6 | 18 | 8
EDGE Luiz Júnior | Gerard Moreno | 4 | 18 | 7
EDGE Luiz Júnior | Thierno Barry | 13 | 18 | 26
EDGE Luiz Júnior | Kiko Femenía | 11 | 18 | 27
EDGE Luiz Júnior | Eric Bailly | 2 | 18 | 8
EDGE Luiz Júnior | Alfonso Pedraza | 3 | 18 | 4
EDGE Luiz Júnior | Raúl Albiol | 2 | 18 | 14
EDGE Juan Bernat | Ramón Terrats | 1 | 3 | 2
EDGE Juan Bernat | Pau Cabanes | 2 | 3 | 2
EDGE Juan Bernat | Alassane Diatta | 1 | 3 | 1
EDGE Juan Bernat | Denis Suárez | 1 | 3 | 8
EDGE Juan Bernat | Gerard Moreno | 1 | 3 | 7
EDGE Juan Bernat | Thierno Barry | 2 | 3 | 26
EDGE Juan Bernat | Raúl Albiol | 1 | 3 | 14
EDGE Juan Bernat | Kiko Femenía | 1 | 3 | 27
EDGE Ramón Terrats | Pau Cabanes | 1 | 2 | 2
EDGE Ramón Terrats | Raúl Albiol | 1 | 2 | 14
EDGE Ramón Terrats | Thierno Barry | 1 | 2 | 26
EDGE Pau Cabanes | Alassane Diatta | 1 | 2 | 1
EDGE Pau Cabanes | Denis Suárez | 1 | 2 | 8
EDGE Pau Cabanes | Gerard Moreno | 1 | 2 | 7
EDGE Pau Cabanes | Thierno Barry | 1 | 2 | 26
EDGE Alassane Diatta | Denis Suárez | 1 | 1 | 8
EDGE Alassane Diatta | Gerard Moreno | 1 | 1 | 7
EDGE Alassane Diatta | Thierno Barry | 1 | 1 | 26
EDGE Denis Suárez | Gerard Moreno | 1 | 8 | 7
EDGE Denis Suárez | Thierno Barry | 8 | 8 | 26
EDGE Denis Suárez | Kiko Femenía | 5 | 8 | 27
EDGE Denis Suárez | Eric Bailly | 2 | 8 | 8
EDGE Denis Suárez | Alfonso Pedraza | 2 | 8 | 4
EDGE Denis Suárez | Raúl Albiol | 1 | 8 | 14
