# Graph for Java/GraphStream
# Nodes: 23
# Edges: 201

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Tiago Mendes | Raúl García | 7 | 15 | 9
EDGE Tiago Mendes | Saúl Ñíguez | 6 | 15 | 8
EDGE Tiago Mendes | José María Giménez | 8 | 15 | 9
EDGE Tiago Mendes | Jesús Gámez | 3 | 15 | 4
EDGE Tiago Mendes | Mario Mandžukić | 10 | 15 | 14
EDGE Tiago Mendes | Cristian Ansaldi | 2 | 15 | 3
EDGE Raúl García | Saúl Ñíguez | 2 | 9 | 8
EDGE Raúl García | José María Giménez | 3 | 9 | 9
EDGE Raúl García | Jesús Gámez | 2 | 9 | 4
EDGE Raúl García | Mario Mandžukić | 4 | 9 | 14
EDGE Raúl García | Cristian Ansaldi | 1 | 9 | 3
EDGE José María Giménez | Lucas Hernández | 1 | 9 | 1
EDGE José María Giménez | Jesús Gámez | 3 | 9 | 4
EDGE José María Giménez | Saúl Ñíguez | 3 | 9 | 8
EDGE José María Giménez | Cristian Rodríguez | 1 | 9 | 1
EDGE José María Giménez | Alessio Cerci | 1 | 9 | 1
EDGE José María Giménez | Raúl Jiménez | 1 | 9 | 1
EDGE José María Giménez | Mario Mandžukić | 6 | 9 | 14
EDGE José María Giménez | Cristian Ansaldi | 1 | 9 | 3
EDGE Lucas Hernández | Jesús Gámez | 1 | 1 | 4
EDGE Lucas Hernández | Saúl Ñíguez | 1 | 1 | 8
EDGE Lucas Hernández | Cristian Rodríguez | 1 | 1 | 1
EDGE Lucas Hernández | Alessio Cerci | 1 | 1 | 1
EDGE Lucas Hernández | Raúl Jiménez | 1 | 1 | 1
EDGE Jesús Gámez | Saúl Ñíguez | 1 | 4 | 8
EDGE Jesús Gámez | Cristian Rodríguez | 1 | 4 | 1
EDGE Jesús Gámez | Alessio Cerci | 1 | 4 | 1
EDGE Jesús Gámez | Raúl Jiménez | 1 | 4 | 1
EDGE Jesús Gámez | Mario Mandžukić | 1 | 4 | 14
EDGE Saúl Ñíguez | Cristian Rodríguez | 1 | 8 | 1
EDGE Saúl Ñíguez | Alessio Cerci | 1 | 8 | 1
EDGE Saúl Ñíguez | Raúl Jiménez | 1 | 8 | 1
EDGE Saúl Ñíguez | Cristian Ansaldi | 2 | 8 | 3
EDGE Saúl Ñíguez | Mario Mandžukić | 5 | 8 | 14
EDGE Cristian Rodríguez | Alessio Cerci | 1 | 1 | 1
EDGE Cristian Rodríguez | Raúl Jiménez | 1 | 1 | 1
EDGE Alessio Cerci | Raúl Jiménez | 1 | 1 | 1
EDGE Mario Mandžukić | Cristian Ansaldi | 3 | 14 | 3
