# Graph for Java/GraphStream
# Nodes: 27
# Edges: 284

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Simão | Ignacio Camacho | 1 | 23 | 3
EDGE Simão | Fran Mérida | 3 | 23 | 10
EDGE Simão | Joel Robles | 1 | 23 | 2
EDGE José Antonio Reyes | Diego Forlán | 28 | 42 | 32
EDGE José Antonio Reyes | Sergio Agüero | 34 | 42 | 39
EDGE José Antonio Reyes | Álvaro Domínguez | 21 | 42 | 26
EDGE José Antonio Reyes | Paulo Assunção | 21 | 42 | 26
EDGE José Antonio Reyes | Raúl García | 19 | 42 | 27
EDGE José Antonio Reyes | Diego Costa | 13 | 42 | 19
EDGE José Antonio Reyes | Antonio López | 14 | 42 | 20
EDGE José Antonio Reyes | Juan Valera | 12 | 42 | 15
EDGE José Antonio Reyes | Fran Mérida | 5 | 42 | 10
EDGE José Antonio Reyes | Elias | 9 | 42 | 11
EDGE José Antonio Reyes | Koke | 8 | 42 | 9
EDGE José Antonio Reyes | Juanfran Torres | 4 | 42 | 6
EDGE José Antonio Reyes | Jorge Pulido | 2 | 42 | 3
EDGE José Antonio Reyes | Joel Robles | 1 | 42 | 2
EDGE José Antonio Reyes | José Manuel Jurado | 1 | 42 | 1
EDGE Diego Forlán | Sergio Agüero | 23 | 32 | 39
EDGE Diego Forlán | Álvaro Domínguez | 19 | 32 | 26
EDGE Diego Forlán | Paulo Assunção | 18 | 32 | 26
EDGE Diego Forlán | Raúl García | 16 | 32 | 27
EDGE Diego Forlán | Diego Costa | 5 | 32 | 19
EDGE Diego Forlán | Antonio López | 14 | 32 | 20
EDGE Diego Forlán | Juan Valera | 10 | 32 | 15
EDGE Diego Forlán | Fran Mérida | 5 | 32 | 10
EDGE Diego Forlán | Elias | 7 | 32 | 11
EDGE Diego Forlán | Koke | 3 | 32 | 9
EDGE Diego Forlán | Ignacio Camacho | 1 | 32 | 3
EDGE Diego Forlán | Juanfran Torres | 2 | 32 | 6
EDGE Diego Forlán | Joel Robles | 1 | 32 | 2
EDGE Diego Forlán | José Manuel Jurado | 1 | 32 | 1
EDGE Sergio Agüero | Álvaro Domínguez | 21 | 39 | 26
EDGE Sergio Agüero | Paulo Assunção | 17 | 39 | 26
EDGE Sergio Agüero | Antonio López | 13 | 39 | 20
EDGE Sergio Agüero | Raúl García | 21 | 39 | 27
EDGE Sergio Agüero | Juan Valera | 9 | 39 | 15
EDGE Sergio Agüero | Fran Mérida | 4 | 39 | 10
EDGE Sergio Agüero | Koke | 8 | 39 | 9
EDGE Sergio Agüero | Diego Costa | 11 | 39 | 19
EDGE Sergio Agüero | Elias | 8 | 39 | 11
EDGE Sergio Agüero | Ignacio Camacho | 1 | 39 | 3
EDGE Sergio Agüero | Juanfran Torres | 4 | 39 | 6
EDGE Sergio Agüero | Jorge Pulido | 2 | 39 | 3
