# Graph for Java/GraphStream
# Nodes: 28
# Edges: 293

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Muniain | Aitor Ocio | 3 | 8 | 10
EDGE Iker Muniain | Fran Yeste | 5 | 8 | 24
EDGE Iker Muniain | Joseba Etxeberria | 3 | 8 | 7
EDGE Iker Muniain | Markel Susaeta | 5 | 8 | 33
EDGE Iker Muniain | Ander Iturraspe | 3 | 8 | 12
EDGE Iker Muniain | Igor Gabilondo | 1 | 8 | 21
EDGE Iker Muniain | Óscar de Marcos | 2 | 8 | 15
EDGE Iker Muniain | Armando Ribeiro | 1 | 8 | 3
EDGE Iker Muniain | Ustaritz | 2 | 8 | 21
EDGE Iker Muniain | Koikili | 1 | 8 | 24
EDGE Iker Muniain | Jon Aurtenetxe | 1 | 8 | 1
EDGE Iker Muniain | Xabi Etxeita | 1 | 8 | 3
EDGE Iker Muniain | Iñigo Díaz de Cerio | 1 | 8 | 2
EDGE Gaizka Toquero | Fernando Llorente | 31 | 33 | 49
EDGE Gaizka Toquero | Aitor Ocio | 6 | 33 | 10
EDGE Gaizka Toquero | Óscar de Marcos | 8 | 33 | 15
EDGE Gaizka Toquero | Markel Susaeta | 19 | 33 | 33
EDGE Gaizka Toquero | Fran Yeste | 14 | 33 | 24
EDGE Gaizka Toquero | Ustaritz | 11 | 33 | 21
EDGE Gaizka Toquero | Koikili | 15 | 33 | 24
EDGE Gaizka Toquero | Ander Iturraspe | 8 | 33 | 12
EDGE Gaizka Toquero | David López | 4 | 33 | 10
EDGE Gaizka Toquero | Igor Gabilondo | 11 | 33 | 21
EDGE Gaizka Toquero | Xabi Etxeita | 2 | 33 | 3
EDGE Gaizka Toquero | Armando Ribeiro | 1 | 33 | 3
EDGE Gaizka Toquero | Jon Aurtenetxe | 1 | 33 | 1
EDGE Gaizka Toquero | Iñigo Díaz de Cerio | 1 | 33 | 2
EDGE Fernando Llorente | Ustaritz | 19 | 49 | 21
EDGE Fernando Llorente | Igor Gabilondo | 19 | 49 | 21
EDGE Fernando Llorente | David López | 9 | 49 | 10
EDGE Fernando Llorente | Joseba Etxeberria | 5 | 49 | 7
EDGE Fernando Llorente | Aitor Ocio | 9 | 49 | 10
EDGE Fernando Llorente | Fran Yeste | 21 | 49 | 24
EDGE Fernando Llorente | Markel Susaeta | 30 | 49 | 33
EDGE Fernando Llorente | Koikili | 22 | 49 | 24
EDGE Fernando Llorente | Óscar de Marcos | 13 | 49 | 15
EDGE Fernando Llorente | Ander Iturraspe | 10 | 49 | 12
EDGE Fernando Llorente | Armando Ribeiro | 3 | 49 | 3
EDGE Fernando Llorente | Xabi Etxeita | 2 | 49 | 3
EDGE Fernando Llorente | Iñigo Pérez | 1 | 49 | 1
EDGE Ustaritz | Igor Gabilondo | 8 | 21 | 21
EDGE Ustaritz | David López | 5 | 21 | 10
EDGE Ustaritz | Joseba Etxeberria | 4 | 21 | 7
EDGE Ustaritz | Koikili | 13 | 21 | 24
EDGE Ustaritz | Markel Susaeta | 12 | 21 | 33
EDGE Ustaritz | Fran Yeste | 8 | 21 | 24
EDGE Ustaritz | Xabier Etxebarria | 1 | 21 | 1
EDGE Ustaritz | Iñigo Díaz de Cerio | 1 | 21 | 2
EDGE Ustaritz | Aitor Ocio | 2 | 21 | 10
EDGE Ustaritz | Óscar de Marcos | 6 | 21 | 15
EDGE Ustaritz | Ander Iturraspe | 4 | 21 | 12
EDGE Ustaritz | Ion Vélez | 1 | 21 | 1
EDGE Ustaritz | Armando Ribeiro | 2 | 21 | 3
