# Graph for Java/GraphStream
# Nodes: 22
# Edges: 226

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Juliano Belletti | Santiago Ezquerro | 3 | 15 | 6
EDGE Juliano Belletti | Javier Saviola | 4 | 15 | 12
EDGE Thiago Motta | Ronaldinho | 16 | 19 | 49
EDGE Thiago Motta | Rafa Márquez | 14 | 19 | 36
EDGE Thiago Motta | Ludovic Giuly | 12 | 19 | 27
EDGE Thiago Motta | Sylvinho | 7 | 19 | 19
EDGE Thiago Motta | Albert Jorquera | 4 | 19 | 9
EDGE Thiago Motta | Santiago Ezquerro | 3 | 19 | 6
EDGE Thiago Motta | Javier Saviola | 5 | 19 | 12
EDGE Ronaldinho | Sylvinho | 15 | 49 | 19
EDGE Ronaldinho | Edmílson | 22 | 49 | 26
EDGE Ronaldinho | Ludovic Giuly | 19 | 49 | 27
EDGE Ronaldinho | Rafa Márquez | 30 | 49 | 36
EDGE Ronaldinho | Javier Saviola | 8 | 49 | 12
EDGE Ronaldinho | Albert Jorquera | 5 | 49 | 9
EDGE Ronaldinho | Santiago Ezquerro | 1 | 49 | 6
EDGE Sylvinho | Edmílson | 9 | 19 | 26
EDGE Sylvinho | Ludovic Giuly | 10 | 19 | 27
EDGE Sylvinho | Albert Jorquera | 4 | 19 | 9
EDGE Sylvinho | Rafa Márquez | 11 | 19 | 36
EDGE Sylvinho | Santiago Ezquerro | 4 | 19 | 6
EDGE Sylvinho | Javier Saviola | 3 | 19 | 12
EDGE Edmílson | Ludovic Giuly | 11 | 26 | 27
EDGE Edmílson | Albert Jorquera | 3 | 26 | 9
EDGE Edmílson | Rafa Márquez | 15 | 26 | 36
EDGE Edmílson | Santiago Ezquerro | 3 | 26 | 6
EDGE Edmílson | Javier Saviola | 7 | 26 | 12
EDGE Ludovic Giuly | Rafa Márquez | 17 | 27 | 36
EDGE Ludovic Giuly | Albert Jorquera | 5 | 27 | 9
EDGE Ludovic Giuly | Santiago Ezquerro | 5 | 27 | 6
EDGE Ludovic Giuly | Javier Saviola | 6 | 27 | 12
EDGE Rafa Márquez | Albert Jorquera | 6 | 36 | 9
EDGE Rafa Márquez | Santiago Ezquerro | 4 | 36 | 6
EDGE Rafa Márquez | Javier Saviola | 8 | 36 | 12
EDGE Albert Jorquera | Santiago Ezquerro | 4 | 9 | 6
EDGE Albert Jorquera | Javier Saviola | 5 | 9 | 12
EDGE Santiago Ezquerro | Javier Saviola | 5 | 6 | 12
