# Graph for Java/GraphStream
# Nodes: 25
# Edges: 279

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Lamine Yamal | Frenkie de Jong | 15 | 30 | 30
EDGE Lamine Yamal | Iñaki Peña | 7 | 30 | 17
EDGE Lamine Yamal | Alejandro Balde | 9 | 30 | 22
EDGE Lamine Yamal | Oriol Romeu | 8 | 30 | 17
EDGE Lamine Yamal | Ferran Torres | 8 | 30 | 20
EDGE Lamine Yamal | Gavi | 6 | 30 | 13
EDGE Lamine Yamal | Fermín López | 11 | 30 | 19
EDGE Lamine Yamal | João Félix | 7 | 30 | 24
EDGE Lamine Yamal | Sergi Roberto | 8 | 30 | 15
EDGE Lamine Yamal | Héctor Fort | 3 | 30 | 6
EDGE Lamine Yamal | Vitor Roque | 1 | 30 | 2
EDGE Lamine Yamal | Marcos Alonso | 2 | 30 | 5
EDGE Lamine Yamal | Marc Guiu | 1 | 30 | 2
EDGE Robert Lewandowski | Ronald Araujo | 29 | 44 | 33
EDGE Robert Lewandowski | Frenkie de Jong | 28 | 44 | 30
EDGE Robert Lewandowski | Iñaki Peña | 15 | 44 | 17
EDGE Robert Lewandowski | Alejandro Balde | 17 | 44 | 22
EDGE Robert Lewandowski | Oriol Romeu | 11 | 44 | 17
EDGE Robert Lewandowski | Ferran Torres | 12 | 44 | 20
EDGE Robert Lewandowski | Gavi | 9 | 44 | 13
EDGE Robert Lewandowski | Fermín López | 12 | 44 | 19
EDGE Robert Lewandowski | João Félix | 15 | 44 | 24
EDGE Robert Lewandowski | Sergi Roberto | 13 | 44 | 15
EDGE Robert Lewandowski | Héctor Fort | 4 | 44 | 6
EDGE Robert Lewandowski | Vitor Roque | 1 | 44 | 2
EDGE Robert Lewandowski | Marcos Alonso | 3 | 44 | 5
EDGE Ronald Araujo | Frenkie de Jong | 21 | 33 | 30
EDGE Ronald Araujo | Fermín López | 10 | 33 | 19
EDGE Ronald Araujo | João Félix | 15 | 33 | 24
EDGE Ronald Araujo | Iñaki Peña | 14 | 33 | 17
EDGE Ronald Araujo | Héctor Fort | 3 | 33 | 6
EDGE Ronald Araujo | Oriol Romeu | 7 | 33 | 17
EDGE Ronald Araujo | Sergi Roberto | 7 | 33 | 15
EDGE Ronald Araujo | Vitor Roque | 1 | 33 | 2
EDGE Ronald Araujo | Alejandro Balde | 12 | 33 | 22
EDGE Ronald Araujo | Ferran Torres | 11 | 33 | 20
EDGE Ronald Araujo | Gavi | 5 | 33 | 13
EDGE Ronald Araujo | Marcos Alonso | 2 | 33 | 5
EDGE Frenkie de Jong | Iñaki Peña | 15 | 30 | 17
EDGE Frenkie de Jong | Alejandro Balde | 13 | 30 | 22
EDGE Frenkie de Jong | Oriol Romeu | 10 | 30 | 17
EDGE Frenkie de Jong | Ferran Torres | 11 | 30 | 20
EDGE Frenkie de Jong | Gavi | 5 | 30 | 13
EDGE Frenkie de Jong | João Félix | 11 | 30 | 24
EDGE Frenkie de Jong | Héctor Fort | 2 | 30 | 6
EDGE Frenkie de Jong | Vitor Roque | 1 | 30 | 2
EDGE Frenkie de Jong | Sergi Roberto | 7 | 30 | 15
EDGE Frenkie de Jong | Fermín López | 2 | 30 | 19
EDGE Frenkie de Jong | Marc Guiu | 1 | 30 | 2
EDGE Frenkie de Jong | Marcos Alonso | 2 | 30 | 5
EDGE Iñaki Peña | Alejandro Balde | 10 | 17 | 22
EDGE Iñaki Peña | Oriol Romeu | 5 | 17 | 17
EDGE Iñaki Peña | Ferran Torres | 10 | 17 | 20
EDGE Iñaki Peña | Héctor Fort | 3 | 17 | 6
EDGE Iñaki Peña | João Félix | 8 | 17 | 24
EDGE Iñaki Peña | Sergi Roberto | 6 | 17 | 15
