# Graph for Java/GraphStream
# Nodes: 30
# Edges: 316

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Markel Susaeta | Ion Vélez | 1 | 27 | 2
EDGE Markel Susaeta | Ander Murillo | 1 | 27 | 2
EDGE Markel Susaeta | David López | 8 | 27 | 23
EDGE Markel Susaeta | Fernando Llorente | 17 | 27 | 29
EDGE Markel Susaeta | Tiko | 3 | 27 | 4
EDGE Markel Susaeta | Iñaki Muñoz | 6 | 27 | 8
EDGE Markel Susaeta | Daniel Aranzubia | 7 | 27 | 14
EDGE Markel Susaeta | Fran Yeste | 15 | 27 | 25
EDGE Markel Susaeta | Armando Ribeiro | 11 | 27 | 16
EDGE Markel Susaeta | Joseba Garmendia | 4 | 27 | 9
EDGE Markel Susaeta | Carlos Gurpegui | 3 | 27 | 5
EDGE Markel Susaeta | Unai Expósito | 1 | 27 | 3
EDGE Markel Susaeta | Aitor Ramos | 2 | 27 | 3
EDGE Markel Susaeta | Iban Zubiaurre | 1 | 27 | 1
EDGE Aritz Aduriz | Fernando Amorebieta | 20 | 23 | 40
EDGE Aritz Aduriz | Asier del Horno | 9 | 23 | 18
EDGE Aritz Aduriz | Ion Vélez | 2 | 23 | 2
EDGE Aritz Aduriz | David López | 13 | 23 | 23
EDGE Aritz Aduriz | Ander Murillo | 2 | 23 | 2
EDGE Aritz Aduriz | Fernando Llorente | 8 | 23 | 29
EDGE Aritz Aduriz | Tiko | 3 | 23 | 4
EDGE Aritz Aduriz | Iñaki Muñoz | 4 | 23 | 8
EDGE Aritz Aduriz | Armando Ribeiro | 5 | 23 | 16
EDGE Aritz Aduriz | Joseba Garmendia | 3 | 23 | 9
EDGE Aritz Aduriz | Fran Yeste | 6 | 23 | 25
EDGE Aritz Aduriz | Unai Expósito | 1 | 23 | 3
EDGE Aritz Aduriz | Daniel Aranzubia | 5 | 23 | 14
EDGE Aritz Aduriz | Luis Prieto | 1 | 23 | 1
EDGE Aritz Aduriz | Carlos Gurpegui | 2 | 23 | 5
EDGE Aritz Aduriz | David Cuéllar | 1 | 23 | 1
EDGE Aritz Aduriz | Iban Zubiaurre | 1 | 23 | 1
EDGE Aritz Aduriz | Urko Arroyo | 1 | 23 | 1
EDGE Daniel Aranzubia | Fernando Amorebieta | 13 | 14 | 40
EDGE Daniel Aranzubia | Unai Expósito | 2 | 14 | 3
EDGE Daniel Aranzubia | David López | 10 | 14 | 23
EDGE Daniel Aranzubia | Fran Yeste | 12 | 14 | 25
EDGE Daniel Aranzubia | Fernando Llorente | 10 | 14 | 29
EDGE Daniel Aranzubia | Joseba Garmendia | 2 | 14 | 9
EDGE Daniel Aranzubia | Asier del Horno | 5 | 14 | 18
EDGE Daniel Aranzubia | Iñaki Muñoz | 4 | 14 | 8
EDGE Daniel Aranzubia | Aitor Ramos | 1 | 14 | 3
EDGE Daniel Aranzubia | Ander Murillo | 1 | 14 | 2
EDGE Daniel Aranzubia | Tiko | 2 | 14 | 4
EDGE Fernando Amorebieta | Unai Expósito | 3 | 40 | 3
EDGE Fernando Amorebieta | David López | 21 | 40 | 23
EDGE Fernando Amorebieta | Fran Yeste | 23 | 40 | 25
EDGE Fernando Amorebieta | Fernando Llorente | 28 | 40 | 29
EDGE Fernando Amorebieta | Asier del Horno | 16 | 40 | 18
EDGE Fernando Amorebieta | Iñaki Muñoz | 7 | 40 | 8
EDGE Fernando Amorebieta | Ion Vélez | 2 | 40 | 2
EDGE Fernando Amorebieta | Armando Ribeiro | 15 | 40 | 16
EDGE Fernando Amorebieta | Joseba Garmendia | 9 | 40 | 9
EDGE Fernando Amorebieta | Ander Murillo | 2 | 40 | 2
EDGE Fernando Amorebieta | Tiko | 4 | 40 | 4
EDGE Fernando Amorebieta | Carlos Gurpegui | 5 | 40 | 5
EDGE Fernando Amorebieta | Aitor Ramos | 3 | 40 | 3
EDGE Fernando Amorebieta | Luis Prieto | 1 | 40 | 1
EDGE Fernando Amorebieta | David Cuéllar | 1 | 40 | 1
EDGE Fernando Amorebieta | Iban Zubiaurre | 1 | 40 | 1
EDGE Fernando Amorebieta | Urko Arroyo | 1 | 40 | 1
EDGE Unai Expósito | David López | 2 | 3 | 23
EDGE Unai Expósito | Fran Yeste | 2 | 3 | 25
EDGE Unai Expósito | Fernando Llorente | 3 | 3 | 29
EDGE Unai Expósito | Iñaki Muñoz | 1 | 3 | 8
EDGE Unai Expósito | Aitor Ramos | 1 | 3 | 3
EDGE Unai Expósito | Tiko | 1 | 3 | 4
EDGE David López | Fran Yeste | 14 | 23 | 25
EDGE David López | Fernando Llorente | 14 | 23 | 29
EDGE David López | Asier del Horno | 9 | 23 | 18
EDGE David López | Iñaki Muñoz | 4 | 23 | 8
EDGE David López | Ion Vélez | 1 | 23 | 2
EDGE David López | Armando Ribeiro | 4 | 23 | 16
EDGE David López | Joseba Garmendia | 4 | 23 | 9
EDGE David López | Ander Murillo | 2 | 23 | 2
EDGE David López | Tiko | 3 | 23 | 4
EDGE David López | Luis Prieto | 1 | 23 | 1
EDGE David López | Carlos Gurpegui | 1 | 23 | 5
EDGE David López | David Cuéllar | 1 | 23 | 1
EDGE David López | Aitor Ramos | 1 | 23 | 3
EDGE Fran Yeste | Fernando Llorente | 20 | 25 | 29
EDGE Fran Yeste | Asier del Horno | 9 | 25 | 18
EDGE Fran Yeste | Iñaki Muñoz | 6 | 25 | 8
EDGE Fran Yeste | Armando Ribeiro | 11 | 25 | 16
EDGE Fran Yeste | Joseba Garmendia | 5 | 25 | 9
EDGE Fran Yeste | Aitor Ramos | 3 | 25 | 3
EDGE Fran Yeste | Carlos Gurpegui | 1 | 25 | 5
EDGE Fran Yeste | Tiko | 2 | 25 | 4
EDGE Fernando Llorente | Asier del Horno | 13 | 29 | 18
EDGE Fernando Llorente | Iñaki Muñoz | 5 | 29 | 8
EDGE Fernando Llorente | Armando Ribeiro | 15 | 29 | 16
EDGE Fernando Llorente | Joseba Garmendia | 7 | 29 | 9
EDGE Fernando Llorente | Ander Murillo | 1 | 29 | 2
EDGE Fernando Llorente | Carlos Gurpegui | 5 | 29 | 5
EDGE Fernando Llorente | Aitor Ramos | 3 | 29 | 3
EDGE Fernando Llorente | Tiko | 2 | 29 | 4
EDGE Fernando Llorente | Luis Prieto | 1 | 29 | 1
EDGE Fernando Llorente | David Cuéllar | 1 | 29 | 1
EDGE Fernando Llorente | Urko Arroyo | 1 | 29 | 1
EDGE Asier del Horno | Iñaki Muñoz | 5 | 18 | 8
EDGE Asier del Horno | Ion Vélez | 2 | 18 | 2
EDGE Asier del Horno | Ander Murillo | 2 | 18 | 2
EDGE Asier del Horno | Armando Ribeiro | 7 | 18 | 16
EDGE Asier del Horno | Joseba Garmendia | 4 | 18 | 9
EDGE Asier del Horno | Carlos Gurpegui | 3 | 18 | 5
EDGE Asier del Horno | Luis Prieto | 1 | 18 | 1
EDGE Asier del Horno | David Cuéllar | 1 | 18 | 1
EDGE Asier del Horno | Aitor Ramos | 1 | 18 | 3
EDGE Asier del Horno | Tiko | 2 | 18 | 4
EDGE Iñaki Muñoz | Armando Ribeiro | 2 | 8 | 16
EDGE Iñaki Muñoz | Joseba Garmendia | 1 | 8 | 9
EDGE Iñaki Muñoz | Aitor Ramos | 2 | 8 | 3
EDGE Iñaki Muñoz | Tiko | 2 | 8 | 4
EDGE Armando Ribeiro | Joseba Garmendia | 7 | 16 | 9
EDGE Armando Ribeiro | Carlos Gurpegui | 5 | 16 | 5
EDGE Armando Ribeiro | Luis Prieto | 1 | 16 | 1
EDGE Armando Ribeiro | David Cuéllar | 1 | 16 | 1
EDGE Armando Ribeiro | Aitor Ramos | 2 | 16 | 3
EDGE Armando Ribeiro | Urko Arroyo | 1 | 16 | 1
EDGE Joseba Garmendia | Carlos Gurpegui | 4 | 9 | 5
EDGE Joseba Garmendia | Ander Murillo | 1 | 9 | 2
EDGE Joseba Garmendia | Urko Arroyo | 1 | 9 | 1
EDGE Carlos Gurpegui | Luis Prieto | 1 | 5 | 1
EDGE Carlos Gurpegui | David Cuéllar | 1 | 5 | 1
EDGE Carlos Gurpegui | Urko Arroyo | 1 | 5 | 1
EDGE Luis Prieto | David Cuéllar | 1 | 1 | 1
