# Graph for Java/GraphStream
# Nodes: 25
# Edges: 264

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mario Suárez | Saúl Ñíguez | 2 | 36 | 2
EDGE Gabi | Radamel Falcao | 37 | 44 | 41
EDGE Gabi | Cata Díaz | 10 | 44 | 18
EDGE Gabi | Arda Turan | 30 | 44 | 35
EDGE Gabi | Emre Belözoğlu | 5 | 44 | 11
EDGE Gabi | Javier Manquillo | 3 | 44 | 6
EDGE Gabi | Sílvio | 3 | 44 | 7
EDGE Gabi | Sergio Asenjo | 3 | 44 | 10
EDGE Gabi | Domingo Cisma | 4 | 44 | 10
EDGE Gabi | Abdelkader Oueslati | 1 | 44 | 1
EDGE Radamel Falcao | Arda Turan | 30 | 41 | 35
EDGE Radamel Falcao | Sergio Asenjo | 3 | 41 | 10
EDGE Radamel Falcao | Cata Díaz | 9 | 41 | 18
EDGE Radamel Falcao | Domingo Cisma | 4 | 41 | 10
EDGE Radamel Falcao | Javier Manquillo | 3 | 41 | 6
EDGE Radamel Falcao | Saúl Ñíguez | 1 | 41 | 2
EDGE Radamel Falcao | Emre Belözoğlu | 4 | 41 | 11
EDGE Radamel Falcao | Sílvio | 1 | 41 | 7
EDGE Cata Díaz | Sergio Asenjo | 8 | 18 | 10
EDGE Cata Díaz | Domingo Cisma | 7 | 18 | 10
EDGE Cata Díaz | Sílvio | 7 | 18 | 7
EDGE Cata Díaz | Javier Manquillo | 2 | 18 | 6
EDGE Cata Díaz | Emre Belözoğlu | 7 | 18 | 11
EDGE Cata Díaz | Saúl Ñíguez | 2 | 18 | 2
EDGE Cata Díaz | Arda Turan | 8 | 18 | 35
EDGE Cata Díaz | Abdelkader Oueslati | 1 | 18 | 1
EDGE Arda Turan | Emre Belözoğlu | 4 | 35 | 11
EDGE Arda Turan | Javier Manquillo | 2 | 35 | 6
EDGE Arda Turan | Sílvio | 1 | 35 | 7
EDGE Arda Turan | Domingo Cisma | 3 | 35 | 10
EDGE Arda Turan | Sergio Asenjo | 2 | 35 | 10
EDGE Sergio Asenjo | Domingo Cisma | 6 | 10 | 10
EDGE Sergio Asenjo | Sílvio | 5 | 10 | 7
EDGE Sergio Asenjo | Javier Manquillo | 3 | 10 | 6
EDGE Sergio Asenjo | Emre Belözoğlu | 6 | 10 | 11
EDGE Sergio Asenjo | Saúl Ñíguez | 2 | 10 | 2
EDGE Sergio Asenjo | Abdelkader Oueslati | 1 | 10 | 1
EDGE Domingo Cisma | Sílvio | 4 | 10 | 7
EDGE Domingo Cisma | Javier Manquillo | 3 | 10 | 6
EDGE Domingo Cisma | Emre Belözoğlu | 6 | 10 | 11
EDGE Domingo Cisma | Saúl Ñíguez | 1 | 10 | 2
EDGE Domingo Cisma | Abdelkader Oueslati | 1 | 10 | 1
EDGE Sílvio | Javier Manquillo | 1 | 7 | 6
EDGE Sílvio | Emre Belözoğlu | 4 | 7 | 11
EDGE Sílvio | Saúl Ñíguez | 1 | 7 | 2
EDGE Javier Manquillo | Emre Belözoğlu | 2 | 6 | 11
EDGE Javier Manquillo | Saúl Ñíguez | 1 | 6 | 2
EDGE Emre Belözoğlu | Abdelkader Oueslati | 1 | 11 | 1
