# Graph for Java/GraphStream
# Nodes: 27
# Edges: 272

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE André Gomes | Sergio Busquets | 20 | 27 | 47
EDGE André Gomes | Rafinha | 7 | 27 | 18
EDGE André Gomes | Arda Turan | 11 | 27 | 20
EDGE André Gomes | Claudio Bravo | 1 | 27 | 3
EDGE André Gomes | Lucas Digne | 10 | 27 | 20
EDGE André Gomes | Denis Suárez | 8 | 27 | 18
EDGE André Gomes | Munir El Haddadi | 1 | 27 | 1
EDGE André Gomes | Paco Alcácer | 5 | 27 | 11
EDGE André Gomes | Jérémy Mathieu | 7 | 27 | 14
EDGE André Gomes | Andrés Iniesta | 5 | 27 | 25
EDGE Neymar | Lionel Messi | 38 | 45 | 50
EDGE Neymar | Luis Suárez | 41 | 45 | 50
EDGE Neymar | Marc-André ter Stegen | 39 | 45 | 46
EDGE Neymar | Sergio Busquets | 37 | 45 | 47
EDGE Neymar | Andrés Iniesta | 21 | 45 | 25
EDGE Neymar | Jérémy Mathieu | 13 | 45 | 14
EDGE Neymar | Denis Suárez | 9 | 45 | 18
EDGE Neymar | Marlon | 2 | 45 | 2
EDGE Neymar | Lucas Digne | 15 | 45 | 20
EDGE Neymar | Rafinha | 15 | 45 | 18
EDGE Neymar | Arda Turan | 8 | 45 | 20
EDGE Neymar | Paco Alcácer | 5 | 45 | 11
EDGE Neymar | Aleix Vidal | 4 | 45 | 9
EDGE Lionel Messi | Luis Suárez | 45 | 50 | 50
EDGE Lionel Messi | Marc-André ter Stegen | 40 | 50 | 46
EDGE Lionel Messi | Aleix Vidal | 6 | 50 | 9
EDGE Lionel Messi | Sergio Busquets | 40 | 50 | 47
EDGE Lionel Messi | Rafinha | 11 | 50 | 18
EDGE Lionel Messi | Arda Turan | 13 | 50 | 20
EDGE Lionel Messi | Andrés Iniesta | 24 | 50 | 25
EDGE Lionel Messi | Claudio Bravo | 3 | 50 | 3
EDGE Lionel Messi | Lucas Digne | 14 | 50 | 20
EDGE Lionel Messi | Denis Suárez | 14 | 50 | 18
EDGE Lionel Messi | Munir El Haddadi | 1 | 50 | 1
EDGE Lionel Messi | Paco Alcácer | 6 | 50 | 11
EDGE Lionel Messi | Jérémy Mathieu | 9 | 50 | 14
EDGE Lionel Messi | Marlon | 2 | 50 | 2
EDGE Luis Suárez | Marc-André ter Stegen | 43 | 50 | 46
EDGE Luis Suárez | Aleix Vidal | 3 | 50 | 9
EDGE Luis Suárez | Sergio Busquets | 42 | 50 | 47
EDGE Luis Suárez | Rafinha | 14 | 50 | 18
EDGE Luis Suárez | Arda Turan | 12 | 50 | 20
EDGE Luis Suárez | Andrés Iniesta | 23 | 50 | 25
EDGE Luis Suárez | Jérémy Mathieu | 12 | 50 | 14
EDGE Luis Suárez | Denis Suárez | 11 | 50 | 18
EDGE Luis Suárez | Marlon | 2 | 50 | 2
EDGE Luis Suárez | Lucas Digne | 13 | 50 | 20
EDGE Luis Suárez | Claudio Bravo | 2 | 50 | 3
EDGE Luis Suárez | Paco Alcácer | 3 | 50 | 11
EDGE Marc-André ter Stegen | Aleix Vidal | 4 | 46 | 9
EDGE Marc-André ter Stegen | Sergio Busquets | 40 | 46 | 47
EDGE Marc-André ter Stegen | Rafinha | 15 | 46 | 18
EDGE Marc-André ter Stegen | Arda Turan | 12 | 46 | 20
EDGE Marc-André ter Stegen | Andrés Iniesta | 20 | 46 | 25
EDGE Marc-André ter Stegen | Lucas Digne | 14 | 46 | 20
EDGE Marc-André ter Stegen | Denis Suárez | 10 | 46 | 18
EDGE Marc-André ter Stegen | Paco Alcácer | 6 | 46 | 11
EDGE Marc-André ter Stegen | Jérémy Mathieu | 12 | 46 | 14
EDGE Marc-André ter Stegen | Marlon | 2 | 46 | 2
EDGE Aleix Vidal | Sergio Busquets | 4 | 9 | 47
EDGE Aleix Vidal | Rafinha | 4 | 9 | 18
EDGE Aleix Vidal | Arda Turan | 8 | 9 | 20
EDGE Aleix Vidal | Claudio Bravo | 1 | 9 | 3
EDGE Aleix Vidal | Lucas Digne | 7 | 9 | 20
EDGE Aleix Vidal | Denis Suárez | 6 | 9 | 18
EDGE Aleix Vidal | Munir El Haddadi | 1 | 9 | 1
EDGE Aleix Vidal | Andrés Iniesta | 1 | 9 | 25
EDGE Aleix Vidal | Paco Alcácer | 5 | 9 | 11
EDGE Aleix Vidal | Jérémy Mathieu | 4 | 9 | 14
EDGE Aleix Vidal | Borja López | 1 | 9 | 1
EDGE Aleix Vidal | Àlex Carbonell | 1 | 9 | 1
EDGE Aleix Vidal | Carles Aleñá | 1 | 9 | 1
EDGE Sergio Busquets | Rafinha | 12 | 47 | 18
EDGE Sergio Busquets | Arda Turan | 14 | 47 | 20
EDGE Sergio Busquets | Andrés Iniesta | 22 | 47 | 25
