# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Yuri Berchiche | Iker Muniain | 5 | 27 | 9
EDGE Yuri Berchiche | Adu Ares | 2 | 27 | 5
EDGE Yuri Berchiche | Asier Villalibre | 4 | 27 | 7
EDGE Yuri Berchiche | Iñigo Lekue | 11 | 27 | 27
EDGE Yuri Berchiche | Mikel Jauregizar | 1 | 27 | 1
EDGE Mikel Vesga | Ander Herrera | 4 | 21 | 12
EDGE Mikel Vesga | Álex Berenguer | 10 | 21 | 19
EDGE Mikel Vesga | Iñigo Lekue | 13 | 21 | 27
EDGE Mikel Vesga | Yeray Álvarez | 4 | 21 | 14
EDGE Mikel Vesga | Unai Gómez | 5 | 21 | 11
EDGE Mikel Vesga | Adu Ares | 3 | 21 | 5
EDGE Mikel Vesga | Asier Villalibre | 3 | 21 | 7
EDGE Mikel Vesga | Julen Agirrezabala | 4 | 21 | 10
EDGE Mikel Vesga | Beñat Prados | 5 | 21 | 23
EDGE Mikel Vesga | Iker Muniain | 5 | 21 | 9
EDGE Mikel Vesga | Unai Egiluz | 1 | 21 | 1
EDGE Mikel Vesga | Peru Nolaskoain | 1 | 21 | 2
EDGE Mikel Vesga | Raúl García | 1 | 21 | 3
EDGE Ander Herrera | Álex Berenguer | 5 | 12 | 19
EDGE Ander Herrera | Yeray Álvarez | 4 | 12 | 14
EDGE Ander Herrera | Iñigo Lekue | 8 | 12 | 27
EDGE Ander Herrera | Unai Gómez | 2 | 12 | 11
EDGE Ander Herrera | Adu Ares | 1 | 12 | 5
EDGE Ander Herrera | Asier Villalibre | 3 | 12 | 7
EDGE Ander Herrera | Beñat Prados | 5 | 12 | 23
EDGE Ander Herrera | Julen Agirrezabala | 2 | 12 | 10
EDGE Ander Herrera | Iker Muniain | 4 | 12 | 9
EDGE Álex Berenguer | Yeray Álvarez | 7 | 19 | 14
EDGE Álex Berenguer | Iñigo Lekue | 12 | 19 | 27
EDGE Álex Berenguer | Beñat Prados | 11 | 19 | 23
EDGE Álex Berenguer | Adu Ares | 3 | 19 | 5
EDGE Álex Berenguer | Unai Gómez | 7 | 19 | 11
EDGE Álex Berenguer | Asier Villalibre | 5 | 19 | 7
EDGE Álex Berenguer | Julen Agirrezabala | 5 | 19 | 10
EDGE Álex Berenguer | Peru Nolaskoain | 2 | 19 | 2
EDGE Álex Berenguer | Raúl García | 2 | 19 | 3
EDGE Álex Berenguer | Iker Muniain | 4 | 19 | 9
EDGE Álex Berenguer | Unai Egiluz | 1 | 19 | 1
EDGE Álex Berenguer | Mikel Jauregizar | 1 | 19 | 1
EDGE Yeray Álvarez | Beñat Prados | 9 | 14 | 23
EDGE Yeray Álvarez | Iñigo Lekue | 8 | 14 | 27
EDGE Yeray Álvarez | Adu Ares | 2 | 14 | 5
EDGE Yeray Álvarez | Unai Gómez | 7 | 14 | 11
EDGE Yeray Álvarez | Asier Villalibre | 4 | 14 | 7
EDGE Yeray Álvarez | Julen Agirrezabala | 2 | 14 | 10
EDGE Yeray Álvarez | Iker Muniain | 2 | 14 | 9
EDGE Yeray Álvarez | Raúl García | 1 | 14 | 3
EDGE Yeray Álvarez | Mikel Jauregizar | 1 | 14 | 1
EDGE Iñigo Lekue | Beñat Prados | 15 | 27 | 23
EDGE Iñigo Lekue | Adu Ares | 4 | 27 | 5
EDGE Iñigo Lekue | Unai Gómez | 7 | 27 | 11
EDGE Iñigo Lekue | Asier Villalibre | 4 | 27 | 7
EDGE Iñigo Lekue | Julen Agirrezabala | 6 | 27 | 10
EDGE Iñigo Lekue | Iker Muniain | 5 | 27 | 9
EDGE Iñigo Lekue | Unai Egiluz | 1 | 27 | 1
EDGE Iñigo Lekue | Peru Nolaskoain | 1 | 27 | 2
EDGE Iñigo Lekue | Raúl García | 1 | 27 | 3
EDGE Iñigo Lekue | Mikel Jauregizar | 1 | 27 | 1
