# Graph for Java/GraphStream
# Nodes: 24
# Edges: 245

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Xavi | Jonathan dos Santos | 1 | 48 | 2
EDGE Thierry Henry | Lionel Messi | 16 | 23 | 46
EDGE Thierry Henry | Zlatan Ibrahimović | 15 | 23 | 37
EDGE Thierry Henry | Dmytro Chygrynskyi | 5 | 23 | 12
EDGE Thierry Henry | Maxwell | 9 | 23 | 33
EDGE Thierry Henry | Sergio Busquets | 14 | 23 | 39
EDGE Thierry Henry | Andrés Iniesta | 11 | 23 | 31
EDGE Thierry Henry | Rafa Márquez | 4 | 23 | 14
EDGE Thierry Henry | Bojan Krkic | 4 | 23 | 16
EDGE Thierry Henry | Pedro | 8 | 23 | 34
EDGE Thierry Henry | Gabriel Milito | 1 | 23 | 12
EDGE Thierry Henry | Jeffrén | 1 | 23 | 8
EDGE Thierry Henry | José Manuel Pinto | 1 | 23 | 4
EDGE Thierry Henry | Jonathan dos Santos | 1 | 23 | 2
EDGE Lionel Messi | Zlatan Ibrahimović | 29 | 46 | 37
EDGE Lionel Messi | Gabriel Milito | 11 | 46 | 12
EDGE Lionel Messi | Maxwell | 26 | 46 | 33
EDGE Lionel Messi | Sergio Busquets | 32 | 46 | 39
EDGE Lionel Messi | Pedro | 22 | 46 | 34
EDGE Lionel Messi | Andrés Iniesta | 26 | 46 | 31
EDGE Lionel Messi | Dmytro Chygrynskyi | 7 | 46 | 12
EDGE Lionel Messi | Jeffrén | 3 | 46 | 8
EDGE Lionel Messi | Bojan Krkic | 11 | 46 | 16
EDGE Lionel Messi | Rafa Márquez | 9 | 46 | 14
EDGE Lionel Messi | José Manuel Pinto | 2 | 46 | 4
EDGE Lionel Messi | Thiago Alcántara | 1 | 46 | 1
EDGE Zlatan Ibrahimović | Gabriel Milito | 7 | 37 | 12
EDGE Zlatan Ibrahimović | Maxwell | 18 | 37 | 33
EDGE Zlatan Ibrahimović | Sergio Busquets | 23 | 37 | 39
EDGE Zlatan Ibrahimović | Pedro | 16 | 37 | 34
EDGE Zlatan Ibrahimović | Andrés Iniesta | 21 | 37 | 31
EDGE Zlatan Ibrahimović | Dmytro Chygrynskyi | 6 | 37 | 12
EDGE Zlatan Ibrahimović | Rafa Márquez | 6 | 37 | 14
EDGE Zlatan Ibrahimović | Jeffrén | 4 | 37 | 8
EDGE Zlatan Ibrahimović | José Manuel Pinto | 1 | 37 | 4
EDGE Zlatan Ibrahimović | Bojan Krkic | 2 | 37 | 16
EDGE Zlatan Ibrahimović | Jonathan dos Santos | 1 | 37 | 2
EDGE Gabriel Milito | Maxwell | 10 | 12 | 33
EDGE Gabriel Milito | Sergio Busquets | 8 | 12 | 39
EDGE Gabriel Milito | Pedro | 9 | 12 | 34
EDGE Gabriel Milito | Andrés Iniesta | 7 | 12 | 31
EDGE Gabriel Milito | Bojan Krkic | 3 | 12 | 16
EDGE Gabriel Milito | Rafa Márquez | 2 | 12 | 14
EDGE Gabriel Milito | José Manuel Pinto | 1 | 12 | 4
EDGE Gabriel Milito | Dmytro Chygrynskyi | 1 | 12 | 12
EDGE Gabriel Milito | Thiago Alcántara | 1 | 12 | 1
EDGE Gabriel Milito | Jeffrén | 2 | 12 | 8
EDGE Maxwell | Sergio Busquets | 23 | 33 | 39
EDGE Maxwell | Pedro | 21 | 33 | 34
EDGE Maxwell | Andrés Iniesta | 17 | 33 | 31
EDGE Maxwell | Dmytro Chygrynskyi | 8 | 33 | 12
EDGE Maxwell | Jeffrén | 7 | 33 | 8
EDGE Maxwell | Bojan Krkic | 13 | 33 | 16
EDGE Maxwell | Rafa Márquez | 10 | 33 | 14
EDGE Maxwell | José Manuel Pinto | 3 | 33 | 4
EDGE Maxwell | Gai Assulin | 1 | 33 | 1
EDGE Maxwell | Thiago Alcántara | 1 | 33 | 1
EDGE Maxwell | Jonathan dos Santos | 1 | 33 | 2
EDGE Sergio Busquets | Pedro | 23 | 39 | 34
EDGE Sergio Busquets | Andrés Iniesta | 21 | 39 | 31
EDGE Sergio Busquets | Dmytro Chygrynskyi | 7 | 39 | 12
EDGE Sergio Busquets | Jeffrén | 4 | 39 | 8
EDGE Sergio Busquets | Bojan Krkic | 11 | 39 | 16
EDGE Sergio Busquets | Rafa Márquez | 9 | 39 | 14
EDGE Sergio Busquets | José Manuel Pinto | 3 | 39 | 4
EDGE Sergio Busquets | Gai Assulin | 1 | 39 | 1
EDGE Sergio Busquets | Jonathan dos Santos | 2 | 39 | 2
EDGE Pedro | Andrés Iniesta | 15 | 34 | 31
EDGE Pedro | Bojan Krkic | 12 | 34 | 16
EDGE Pedro | Dmytro Chygrynskyi | 7 | 34 | 12
EDGE Pedro | Rafa Márquez | 10 | 34 | 14
EDGE Pedro | José Manuel Pinto | 3 | 34 | 4
EDGE Pedro | Jeffrén | 5 | 34 | 8
EDGE Pedro | Gai Assulin | 1 | 34 | 1
EDGE Pedro | Thiago Alcántara | 1 | 34 | 1
EDGE Pedro | Jonathan dos Santos | 2 | 34 | 2
EDGE Andrés Iniesta | Dmytro Chygrynskyi | 4 | 31 | 12
EDGE Andrés Iniesta | Bojan Krkic | 5 | 31 | 16
EDGE Andrés Iniesta | Rafa Márquez | 9 | 31 | 14
EDGE Andrés Iniesta | José Manuel Pinto | 3 | 31 | 4
EDGE Andrés Iniesta | Thiago Alcántara | 1 | 31 | 1
EDGE Andrés Iniesta | Jonathan dos Santos | 1 | 31 | 2
EDGE Andrés Iniesta | Jeffrén | 3 | 31 | 8
EDGE Dmytro Chygrynskyi | Jeffrén | 4 | 12 | 8
EDGE Dmytro Chygrynskyi | Bojan Krkic | 4 | 12 | 16
EDGE Dmytro Chygrynskyi | Rafa Márquez | 4 | 12 | 14
EDGE Dmytro Chygrynskyi | José Manuel Pinto | 2 | 12 | 4
EDGE Dmytro Chygrynskyi | Gai Assulin | 1 | 12 | 1
EDGE Dmytro Chygrynskyi | Thiago Alcántara | 1 | 12 | 1
EDGE Jeffrén | Bojan Krkic | 4 | 8 | 16
EDGE Jeffrén | José Manuel Pinto | 2 | 8 | 4
EDGE Jeffrén | Rafa Márquez | 4 | 8 | 14
EDGE Jeffrén | Gai Assulin | 1 | 8 | 1
EDGE Jeffrén | Jonathan dos Santos | 1 | 8 | 2
EDGE Bojan Krkic | Rafa Márquez | 8 | 16 | 14
EDGE Bojan Krkic | José Manuel Pinto | 3 | 16 | 4
EDGE Bojan Krkic | Gai Assulin | 1 | 16 | 1
EDGE Bojan Krkic | Thiago Alcántara | 1 | 16 | 1
EDGE Bojan Krkic | Jonathan dos Santos | 1 | 16 | 2
EDGE Rafa Márquez | José Manuel Pinto | 3 | 14 | 4
EDGE Rafa Márquez | Gai Assulin | 1 | 14 | 1
EDGE Rafa Márquez | Thiago Alcántara | 1 | 14 | 1
EDGE Rafa Márquez | Jonathan dos Santos | 1 | 14 | 2
EDGE José Manuel Pinto | Gai Assulin | 1 | 4 | 1
EDGE José Manuel Pinto | Thiago Alcántara | 1 | 4 | 1
EDGE José Manuel Pinto | Jonathan dos Santos | 1 | 4 | 2
