# Graph for Java/GraphStream
# Nodes: 27
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Raúl | Ruud van Nistelrooy | 10 | 45 | 12
EDGE Raúl | Fabio Cannavaro | 34 | 45 | 37
EDGE Raúl | Fernando Gago | 29 | 45 | 31
EDGE Raúl | Wesley Sneijder | 22 | 45 | 23
EDGE Raúl | Gonzalo Higuaín | 32 | 45 | 37
EDGE Raúl | Lassana Diarra | 21 | 45 | 21
EDGE Raúl | Klaas-Jan Huntelaar | 13 | 45 | 13
EDGE Raúl | Miguel Torres | 12 | 45 | 12
EDGE Raúl | Christoph Metzelder | 8 | 45 | 11
EDGE Raúl | Guti | 15 | 45 | 19
EDGE Raúl | Royston Drenthe | 6 | 45 | 9
EDGE Raúl | Javier Saviola | 3 | 45 | 4
EDGE Raúl | Javi García | 4 | 45 | 4
EDGE Raúl | Míchel Salgado | 7 | 45 | 10
EDGE Raúl | Gary Kagelmacher | 1 | 45 | 1
EDGE Raúl | Jerzy Dudek | 2 | 45 | 3
EDGE Raúl | Robinho | 1 | 45 | 1
EDGE Arjen Robben | Ruud van Nistelrooy | 6 | 31 | 12
EDGE Arjen Robben | Fabio Cannavaro | 24 | 31 | 37
EDGE Arjen Robben | Fernando Gago | 17 | 31 | 31
EDGE Arjen Robben | Wesley Sneijder | 13 | 31 | 23
EDGE Arjen Robben | Gonzalo Higuaín | 23 | 31 | 37
EDGE Arjen Robben | Lassana Diarra | 18 | 31 | 21
EDGE Arjen Robben | Klaas-Jan Huntelaar | 9 | 31 | 13
EDGE Arjen Robben | Miguel Torres | 6 | 31 | 12
EDGE Arjen Robben | Guti | 8 | 31 | 19
EDGE Arjen Robben | Christoph Metzelder | 6 | 31 | 11
EDGE Arjen Robben | Míchel Salgado | 6 | 31 | 10
EDGE Arjen Robben | Gary Kagelmacher | 1 | 31 | 1
EDGE Arjen Robben | Royston Drenthe | 1 | 31 | 9
EDGE Arjen Robben | Javi García | 2 | 31 | 4
EDGE Arjen Robben | Jerzy Dudek | 1 | 31 | 3
EDGE Ruud van Nistelrooy | Fabio Cannavaro | 7 | 12 | 37
EDGE Ruud van Nistelrooy | Gonzalo Higuaín | 7 | 12 | 37
EDGE Ruud van Nistelrooy | Miguel Torres | 2 | 12 | 12
EDGE Ruud van Nistelrooy | Guti | 6 | 12 | 19
EDGE Ruud van Nistelrooy | Fernando Gago | 3 | 12 | 31
EDGE Ruud van Nistelrooy | Wesley Sneijder | 3 | 12 | 23
EDGE Ruud van Nistelrooy | Javi García | 1 | 12 | 4
EDGE Ruud van Nistelrooy | Míchel Salgado | 2 | 12 | 10
EDGE Ruud van Nistelrooy | Robinho | 1 | 12 | 1
EDGE Ruud van Nistelrooy | Royston Drenthe | 1 | 12 | 9
EDGE Ruud van Nistelrooy | Christoph Metzelder | 1 | 12 | 11
EDGE Fabio Cannavaro | Fernando Gago | 26 | 37 | 31
EDGE Fabio Cannavaro | Wesley Sneijder | 17 | 37 | 23
EDGE Fabio Cannavaro | Gonzalo Higuaín | 30 | 37 | 37
EDGE Fabio Cannavaro | Lassana Diarra | 19 | 37 | 21
EDGE Fabio Cannavaro | Klaas-Jan Huntelaar | 11 | 37 | 13
EDGE Fabio Cannavaro | Miguel Torres | 5 | 37 | 12
EDGE Fabio Cannavaro | Javi García | 3 | 37 | 4
EDGE Fabio Cannavaro | Guti | 12 | 37 | 19
EDGE Fabio Cannavaro | Christoph Metzelder | 6 | 37 | 11
EDGE Fabio Cannavaro | Míchel Salgado | 5 | 37 | 10
EDGE Fabio Cannavaro | Royston Drenthe | 5 | 37 | 9
EDGE Fabio Cannavaro | Jerzy Dudek | 2 | 37 | 3
EDGE Fabio Cannavaro | Javier Saviola | 1 | 37 | 4
EDGE Fernando Gago | Wesley Sneijder | 17 | 31 | 23
EDGE Fernando Gago | Gonzalo Higuaín | 25 | 31 | 37
EDGE Fernando Gago | Lassana Diarra | 13 | 31 | 21
EDGE Fernando Gago | Klaas-Jan Huntelaar | 7 | 31 | 13
EDGE Fernando Gago | Christoph Metzelder | 7 | 31 | 11
EDGE Fernando Gago | Miguel Torres | 5 | 31 | 12
EDGE Fernando Gago | Guti | 13 | 31 | 19
EDGE Fernando Gago | Royston Drenthe | 7 | 31 | 9
EDGE Fernando Gago | Javier Saviola | 3 | 31 | 4
EDGE Fernando Gago | Javi García | 2 | 31 | 4
EDGE Fernando Gago | Míchel Salgado | 6 | 31 | 10
EDGE Fernando Gago | Jerzy Dudek | 2 | 31 | 3
EDGE Wesley Sneijder | Gonzalo Higuaín | 16 | 23 | 37
EDGE Wesley Sneijder | Christoph Metzelder | 4 | 23 | 11
