# Graph for Java/GraphStream
# Nodes: 23
# Edges: 223

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Oihan Sancet | Ander Herrera | 6 | 36 | 11
EDGE Oihan Sancet | Ander Capa | 1 | 36 | 1
EDGE Oihan Sancet | Asier Villalibre | 1 | 36 | 2
EDGE Iker Muniain | Nico Williams | 18 | 23 | 38
EDGE Iker Muniain | Iñaki Williams | 19 | 23 | 37
EDGE Iker Muniain | Gorka Guruzeta | 5 | 23 | 20
EDGE Iker Muniain | Dani Vivian | 17 | 23 | 32
EDGE Iker Muniain | Iñigo Lekue | 11 | 23 | 15
EDGE Iker Muniain | Oier Zarraga | 3 | 23 | 9
EDGE Iker Muniain | Álex Berenguer | 20 | 23 | 31
EDGE Iker Muniain | Raúl García | 3 | 23 | 9
EDGE Iker Muniain | Unai Simón | 16 | 23 | 31
EDGE Iker Muniain | Dani García | 9 | 23 | 19
EDGE Iker Muniain | Ander Herrera | 3 | 23 | 11
EDGE Iker Muniain | Aitor Paredes | 4 | 23 | 9
EDGE Iker Muniain | Asier Villalibre | 1 | 23 | 2
EDGE Nico Williams | Iñaki Williams | 30 | 38 | 37
EDGE Nico Williams | Gorka Guruzeta | 15 | 38 | 20
EDGE Nico Williams | Dani Vivian | 26 | 38 | 32
EDGE Nico Williams | Iñigo Lekue | 15 | 38 | 15
EDGE Nico Williams | Oier Zarraga | 8 | 38 | 9
EDGE Nico Williams | Álex Berenguer | 24 | 38 | 31
EDGE Nico Williams | Raúl García | 8 | 38 | 9
EDGE Nico Williams | Unai Simón | 27 | 38 | 31
EDGE Nico Williams | Dani García | 16 | 38 | 19
EDGE Nico Williams | Ander Herrera | 10 | 38 | 11
EDGE Nico Williams | Mikel Balenziaga | 1 | 38 | 1
EDGE Nico Williams | Aitor Paredes | 6 | 38 | 9
EDGE Nico Williams | Ander Capa | 1 | 38 | 1
EDGE Nico Williams | Asier Villalibre | 1 | 38 | 2
EDGE Iñaki Williams | Gorka Guruzeta | 16 | 37 | 20
EDGE Iñaki Williams | Unai Simón | 28 | 37 | 31
EDGE Iñaki Williams | Dani Vivian | 24 | 37 | 32
EDGE Iñaki Williams | Dani García | 17 | 37 | 19
EDGE Iñaki Williams | Álex Berenguer | 24 | 37 | 31
EDGE Iñaki Williams | Ander Herrera | 9 | 37 | 11
EDGE Iñaki Williams | Oier Zarraga | 5 | 37 | 9
EDGE Iñaki Williams | Mikel Balenziaga | 1 | 37 | 1
EDGE Iñaki Williams | Raúl García | 4 | 37 | 9
EDGE Iñaki Williams | Aitor Paredes | 9 | 37 | 9
EDGE Iñaki Williams | Iñigo Lekue | 11 | 37 | 15
EDGE Iñaki Williams | Ander Capa | 1 | 37 | 1
EDGE Iñaki Williams | Asier Villalibre | 1 | 37 | 2
EDGE Gorka Guruzeta | Unai Simón | 13 | 20 | 31
EDGE Gorka Guruzeta | Dani Vivian | 15 | 20 | 32
EDGE Gorka Guruzeta | Dani García | 10 | 20 | 19
EDGE Gorka Guruzeta | Iñigo Lekue | 3 | 20 | 15
EDGE Gorka Guruzeta | Ander Herrera | 6 | 20 | 11
EDGE Gorka Guruzeta | Álex Berenguer | 8 | 20 | 31
EDGE Gorka Guruzeta | Oier Zarraga | 5 | 20 | 9
EDGE Gorka Guruzeta | Raúl García | 2 | 20 | 9
EDGE Gorka Guruzeta | Ander Capa | 1 | 20 | 1
EDGE Gorka Guruzeta | Aitor Paredes | 5 | 20 | 9
EDGE Dani Vivian | Iñigo Lekue | 9 | 32 | 15
EDGE Dani Vivian | Oier Zarraga | 8 | 32 | 9
EDGE Dani Vivian | Álex Berenguer | 22 | 32 | 31
EDGE Dani Vivian | Raúl García | 7 | 32 | 9
EDGE Dani Vivian | Unai Simón | 20 | 32 | 31
EDGE Dani Vivian | Dani García | 13 | 32 | 19
EDGE Dani Vivian | Ander Herrera | 8 | 32 | 11
EDGE Dani Vivian | Mikel Balenziaga | 1 | 32 | 1
EDGE Dani Vivian | Aitor Paredes | 7 | 32 | 9
EDGE Dani Vivian | Asier Villalibre | 2 | 32 | 2
EDGE Iñigo Lekue | Oier Zarraga | 2 | 15 | 9
EDGE Iñigo Lekue | Álex Berenguer | 13 | 15 | 31
EDGE Iñigo Lekue | Raúl García | 3 | 15 | 9
EDGE Iñigo Lekue | Unai Simón | 13 | 15 | 31
EDGE Iñigo Lekue | Dani García | 7 | 15 | 19
EDGE Iñigo Lekue | Ander Herrera | 4 | 15 | 11
EDGE Iñigo Lekue | Aitor Paredes | 1 | 15 | 9
EDGE Oier Zarraga | Álex Berenguer | 7 | 9 | 31
EDGE Oier Zarraga | Raúl García | 2 | 9 | 9
EDGE Oier Zarraga | Unai Simón | 3 | 9 | 31
EDGE Oier Zarraga | Ander Herrera | 1 | 9 | 11
EDGE Oier Zarraga | Aitor Paredes | 2 | 9 | 9
EDGE Oier Zarraga | Dani García | 2 | 9 | 19
EDGE Álex Berenguer | Raúl García | 8 | 31 | 9
EDGE Álex Berenguer | Unai Simón | 21 | 31 | 31
EDGE Álex Berenguer | Ander Herrera | 6 | 31 | 11
EDGE Álex Berenguer | Dani García | 12 | 31 | 19
EDGE Álex Berenguer | Mikel Balenziaga | 1 | 31 | 1
EDGE Álex Berenguer | Aitor Paredes | 7 | 31 | 9
EDGE Álex Berenguer | Asier Villalibre | 2 | 31 | 2
EDGE Raúl García | Mikel Balenziaga | 1 | 9 | 1
EDGE Raúl García | Dani García | 1 | 9 | 19
EDGE Raúl García | Unai Simón | 4 | 9 | 31
EDGE Raúl García | Ander Herrera | 2 | 9 | 11
EDGE Raúl García | Asier Villalibre | 1 | 9 | 2
EDGE Raúl García | Aitor Paredes | 1 | 9 | 9
EDGE Unai Simón | Dani García | 13 | 31 | 19
EDGE Unai Simón | Ander Herrera | 8 | 31 | 11
EDGE Unai Simón | Aitor Paredes | 7 | 31 | 9
EDGE Unai Simón | Ander Capa | 1 | 31 | 1
EDGE Unai Simón | Asier Villalibre | 1 | 31 | 2
EDGE Dani García | Ander Herrera | 3 | 19 | 11
EDGE Dani García | Mikel Balenziaga | 1 | 19 | 1
EDGE Dani García | Aitor Paredes | 3 | 19 | 9
EDGE Dani García | Ander Capa | 1 | 19 | 1
EDGE Ander Herrera | Aitor Paredes | 3 | 11 | 9
EDGE Ander Herrera | Asier Villalibre | 1 | 11 | 2
