# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Agüero | Mista | 1 | 45 | 10
EDGE Maxi Rodríguez | Diego Forlán | 36 | 42 | 49
EDGE Maxi Rodríguez | Christian Abbiati | 20 | 42 | 29
EDGE Maxi Rodríguez | Fabiano Eller | 16 | 42 | 24
EDGE Maxi Rodríguez | Mariano Pernía | 31 | 42 | 40
EDGE Maxi Rodríguez | Thiago Motta | 4 | 42 | 7
EDGE Maxi Rodríguez | Cléber Santana | 15 | 42 | 25
EDGE Maxi Rodríguez | Georgios Seitaridis | 11 | 42 | 15
EDGE Maxi Rodríguez | Simão | 22 | 42 | 30
EDGE Maxi Rodríguez | José Antonio Reyes | 9 | 42 | 17
EDGE Maxi Rodríguez | Mista | 3 | 42 | 10
EDGE Maxi Rodríguez | José Manuel Jurado | 6 | 42 | 9
EDGE Maxi Rodríguez | Juan Valera | 5 | 42 | 11
EDGE Maxi Rodríguez | Peter Luccin | 2 | 42 | 2
EDGE Maxi Rodríguez | Ignacio Camacho | 9 | 42 | 9
EDGE Maxi Rodríguez | Ismael Falcón | 2 | 42 | 6
EDGE Maxi Rodríguez | Martin Petrov | 1 | 42 | 1
EDGE Diego Forlán | Christian Abbiati | 28 | 49 | 29
EDGE Diego Forlán | Fabiano Eller | 22 | 49 | 24
EDGE Diego Forlán | Mariano Pernía | 35 | 49 | 40
EDGE Diego Forlán | Thiago Motta | 6 | 49 | 7
EDGE Diego Forlán | Cléber Santana | 21 | 49 | 25
EDGE Diego Forlán | Simão | 27 | 49 | 30
EDGE Diego Forlán | José Antonio Reyes | 13 | 49 | 17
EDGE Diego Forlán | Mista | 7 | 49 | 10
EDGE Diego Forlán | José Manuel Jurado | 7 | 49 | 9
EDGE Diego Forlán | Ismael Falcón | 4 | 49 | 6
EDGE Diego Forlán | Juan Valera | 8 | 49 | 11
EDGE Diego Forlán | Georgios Seitaridis | 12 | 49 | 15
