# Graph for Java/GraphStream
# Nodes: 25
# Edges: 252

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Giovani dos Santos | Aleksandar Pantic | 3 | 28 | 10
EDGE Giovani dos Santos | Matías Nahuel | 2 | 28 | 2
EDGE Giovani dos Santos | Edu Ramos | 2 | 28 | 2
EDGE Giovani dos Santos | Pablo Iñiguez | 3 | 28 | 3
EDGE Javier Aquino | Hernán Pérez | 2 | 21 | 10
EDGE Javier Aquino | Ikechukwu Uche | 8 | 21 | 19
EDGE Javier Aquino | Chechu Dorado | 15 | 21 | 19
EDGE Javier Aquino | Cani | 11 | 21 | 25
EDGE Javier Aquino | Jonathan Pereira | 11 | 21 | 18
EDGE Javier Aquino | Juan Carlos | 4 | 21 | 7
EDGE Javier Aquino | Bojan Jokic | 6 | 21 | 18
EDGE Javier Aquino | Aleksandar Pantic | 4 | 21 | 10
EDGE Javier Aquino | Tomás Pina | 10 | 21 | 25
EDGE Javier Aquino | Moi Gómez | 7 | 21 | 17
EDGE Javier Aquino | Jérémy Perbet | 5 | 21 | 16
EDGE Javier Aquino | Edu Ramos | 2 | 21 | 2
EDGE Javier Aquino | Pablo Iñiguez | 1 | 21 | 3
EDGE Hernán Pérez | Ikechukwu Uche | 7 | 10 | 19
EDGE Hernán Pérez | Chechu Dorado | 3 | 10 | 19
EDGE Hernán Pérez | Cani | 6 | 10 | 25
EDGE Hernán Pérez | Bojan Jokic | 2 | 10 | 18
EDGE Hernán Pérez | Jonathan Pereira | 3 | 10 | 18
EDGE Hernán Pérez | Tomás Pina | 6 | 10 | 25
EDGE Hernán Pérez | Edu Ramos | 1 | 10 | 2
EDGE Hernán Pérez | Pablo Iñiguez | 2 | 10 | 3
EDGE Hernán Pérez | Moi Gómez | 2 | 10 | 17
EDGE Hernán Pérez | Jérémy Perbet | 3 | 10 | 16
EDGE Hernán Pérez | Juan Carlos | 1 | 10 | 7
EDGE Hernán Pérez | Aleksandar Pantic | 1 | 10 | 10
EDGE Ikechukwu Uche | Bojan Jokic | 7 | 19 | 18
EDGE Ikechukwu Uche | Tomás Pina | 8 | 19 | 25
EDGE Ikechukwu Uche | Cani | 10 | 19 | 25
EDGE Ikechukwu Uche | Óliver Torres | 4 | 19 | 6
EDGE Ikechukwu Uche | Chechu Dorado | 8 | 19 | 19
EDGE Ikechukwu Uche | Moi Gómez | 9 | 19 | 17
EDGE Ikechukwu Uche | Jonathan Pereira | 5 | 19 | 18
EDGE Ikechukwu Uche | Juan Carlos | 2 | 19 | 7
EDGE Ikechukwu Uche | Aleksandar Pantic | 1 | 19 | 10
EDGE Ikechukwu Uche | Jérémy Perbet | 2 | 19 | 16
EDGE Ikechukwu Uche | Pablo Iñiguez | 1 | 19 | 3
EDGE Bojan Jokic | Tomás Pina | 12 | 18 | 25
EDGE Bojan Jokic | Cani | 10 | 18 | 25
EDGE Bojan Jokic | Óliver Torres | 4 | 18 | 6
EDGE Bojan Jokic | Juan Carlos | 7 | 18 | 7
EDGE Bojan Jokic | Chechu Dorado | 6 | 18 | 19
EDGE Bojan Jokic | Aleksandar Pantic | 7 | 18 | 10
EDGE Bojan Jokic | Moi Gómez | 9 | 18 | 17
EDGE Bojan Jokic | Jérémy Perbet | 9 | 18 | 16
EDGE Bojan Jokic | Jonathan Pereira | 7 | 18 | 18
EDGE Bojan Jokic | Matías Nahuel | 2 | 18 | 2
EDGE Bojan Jokic | Joan Román | 1 | 18 | 1
EDGE Tomás Pina | Cani | 14 | 25 | 25
EDGE Tomás Pina | Óliver Torres | 4 | 25 | 6
EDGE Tomás Pina | Juan Carlos | 5 | 25 | 7
EDGE Tomás Pina | Chechu Dorado | 10 | 25 | 19
EDGE Tomás Pina | Aleksandar Pantic | 9 | 25 | 10
EDGE Tomás Pina | Moi Gómez | 10 | 25 | 17
EDGE Tomás Pina | Jérémy Perbet | 14 | 25 | 16
EDGE Tomás Pina | Jonathan Pereira | 9 | 25 | 18
EDGE Tomás Pina | Matías Nahuel | 2 | 25 | 2
EDGE Tomás Pina | Joan Román | 1 | 25 | 1
EDGE Tomás Pina | Edu Ramos | 1 | 25 | 2
EDGE Tomás Pina | Pablo Iñiguez | 3 | 25 | 3
EDGE Cani | Óliver Torres | 4 | 25 | 6
EDGE Cani | Chechu Dorado | 10 | 25 | 19
EDGE Cani | Jonathan Pereira | 13 | 25 | 18
EDGE Cani | Jérémy Perbet | 9 | 25 | 16
EDGE Cani | Aleksandar Pantic | 5 | 25 | 10
EDGE Cani | Joan Román | 1 | 25 | 1
EDGE Cani | Pablo Iñiguez | 3 | 25 | 3
EDGE Cani | Juan Carlos | 2 | 25 | 7
EDGE Cani | Moi Gómez | 3 | 25 | 17
EDGE Óliver Torres | Moi Gómez | 3 | 6 | 17
EDGE Óliver Torres | Jonathan Pereira | 3 | 6 | 18
EDGE Óliver Torres | Aleksandar Pantic | 2 | 6 | 10
EDGE Óliver Torres | Jérémy Perbet | 2 | 6 | 16
EDGE Óliver Torres | Chechu Dorado | 1 | 6 | 19
EDGE Chechu Dorado | Jonathan Pereira | 9 | 19 | 18
EDGE Chechu Dorado | Juan Carlos | 3 | 19 | 7
EDGE Chechu Dorado | Aleksandar Pantic | 2 | 19 | 10
EDGE Chechu Dorado | Moi Gómez | 8 | 19 | 17
EDGE Chechu Dorado | Jérémy Perbet | 5 | 19 | 16
EDGE Chechu Dorado | Edu Ramos | 2 | 19 | 2
EDGE Jonathan Pereira | Juan Carlos | 3 | 18 | 7
EDGE Jonathan Pereira | Aleksandar Pantic | 5 | 18 | 10
EDGE Jonathan Pereira | Moi Gómez | 6 | 18 | 17
EDGE Jonathan Pereira | Jérémy Perbet | 5 | 18 | 16
EDGE Jonathan Pereira | Edu Ramos | 1 | 18 | 2
EDGE Juan Carlos | Aleksandar Pantic | 4 | 7 | 10
EDGE Juan Carlos | Moi Gómez | 5 | 7 | 17
