# Graph for Java/GraphStream
# Nodes: 27
# Edges: 283

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc Bartra | Martín Montoya | 5 | 20 | 10
EDGE Marc Bartra | Douglas | 2 | 20 | 2
EDGE Marc Bartra | Sergi Samper | 3 | 20 | 3
EDGE Marc Bartra | Munir El Haddadi | 6 | 20 | 11
EDGE Marc Bartra | Gerard Gumbau | 1 | 20 | 1
EDGE Marc Bartra | Adama Traoré | 1 | 20 | 1
EDGE Adriano | Sergi Roberto | 6 | 14 | 8
EDGE Adriano | Rafinha | 9 | 14 | 19
EDGE Adriano | Pedro | 7 | 14 | 22
EDGE Adriano | Marc-André ter Stegen | 3 | 14 | 21
EDGE Adriano | Douglas | 1 | 14 | 2
EDGE Adriano | Sergi Samper | 3 | 14 | 3
EDGE Adriano | Munir El Haddadi | 6 | 14 | 11
EDGE Adriano | Martín Montoya | 4 | 14 | 10
EDGE Adriano | Gerard Gumbau | 1 | 14 | 1
EDGE Adriano | Adama Traoré | 1 | 14 | 1
EDGE Sergi Roberto | Rafinha | 4 | 8 | 19
EDGE Sergi Roberto | Pedro | 5 | 8 | 22
EDGE Sergi Roberto | Martín Montoya | 3 | 8 | 10
EDGE Sergi Roberto | Marc-André ter Stegen | 3 | 8 | 21
EDGE Sergi Roberto | Gerard Gumbau | 1 | 8 | 1
EDGE Sergi Roberto | Adama Traoré | 1 | 8 | 1
EDGE Sergi Roberto | Munir El Haddadi | 3 | 8 | 11
EDGE Sergi Roberto | Sergi Samper | 2 | 8 | 3
EDGE Rafinha | Pedro | 8 | 19 | 22
EDGE Rafinha | Martín Montoya | 5 | 19 | 10
EDGE Rafinha | Marc-André ter Stegen | 5 | 19 | 21
EDGE Rafinha | Douglas | 1 | 19 | 2
EDGE Rafinha | Sergi Samper | 2 | 19 | 3
EDGE Rafinha | Munir El Haddadi | 6 | 19 | 11
EDGE Rafinha | Gerard Gumbau | 1 | 19 | 1
EDGE Rafinha | Adama Traoré | 1 | 19 | 1
EDGE Pedro | Marc-André ter Stegen | 6 | 22 | 21
EDGE Pedro | Martín Montoya | 7 | 22 | 10
EDGE Pedro | Douglas | 2 | 22 | 2
EDGE Pedro | Sergi Samper | 2 | 22 | 3
EDGE Pedro | Munir El Haddadi | 7 | 22 | 11
EDGE Pedro | Gerard Gumbau | 1 | 22 | 1
EDGE Pedro | Adama Traoré | 1 | 22 | 1
EDGE Marc-André ter Stegen | Douglas | 1 | 21 | 2
EDGE Marc-André ter Stegen | Sergi Samper | 2 | 21 | 3
EDGE Marc-André ter Stegen | Munir El Haddadi | 3 | 21 | 11
EDGE Marc-André ter Stegen | Martín Montoya | 3 | 21 | 10
EDGE Marc-André ter Stegen | Gerard Gumbau | 1 | 21 | 1
EDGE Marc-André ter Stegen | Adama Traoré | 1 | 21 | 1
EDGE Martín Montoya | Munir El Haddadi | 4 | 10 | 11
EDGE Martín Montoya | Gerard Gumbau | 1 | 10 | 1
EDGE Martín Montoya | Adama Traoré | 1 | 10 | 1
EDGE Martín Montoya | Sergi Samper | 1 | 10 | 3
EDGE Douglas | Sergi Samper | 1 | 2 | 3
EDGE Douglas | Munir El Haddadi | 1 | 2 | 11
EDGE Sergi Samper | Munir El Haddadi | 3 | 3 | 11
EDGE Munir El Haddadi | Gerard Gumbau | 1 | 11 | 1
EDGE Munir El Haddadi | Adama Traoré | 1 | 11 | 1
EDGE Gerard Gumbau | Adama Traoré | 1 | 1 | 1
