# Graph for Java/GraphStream
# Nodes: 31
# Edges: 335

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Javier Farinós | Manu Trigueros | 2 | 8 | 21
EDGE Javier Farinós | Gerard Moreno | 2 | 8 | 8
EDGE Cani | Moi Gómez | 10 | 35 | 17
EDGE Cani | Jérémy Perbet | 13 | 35 | 15
EDGE Cani | Jonathan Pereira | 7 | 35 | 11
EDGE Cani | Diego Mariño | 8 | 35 | 10
EDGE Cani | Javi Venta | 12 | 35 | 16
EDGE Cani | Marcos Senna | 21 | 35 | 25
EDGE Cani | Manu Trigueros | 18 | 35 | 21
EDGE Cani | Jaume Costa | 18 | 35 | 25
EDGE Cani | Ikechukwu Uche | 18 | 35 | 23
EDGE Cani | Hernán Pérez | 7 | 35 | 8
EDGE Cani | Olof Mellberg | 24 | 35 | 26
EDGE Cani | Fernando Cavenaghi | 13 | 35 | 16
EDGE Cani | Gerard Bordas | 2 | 35 | 2
EDGE Cani | Walter Pandiani | 2 | 35 | 4
EDGE Cani | Héctor Canteros | 10 | 35 | 10
EDGE Cani | Javier Aquino | 7 | 35 | 10
EDGE Cani | Gerard Moreno | 8 | 35 | 8
EDGE Cani | Florian Lejeune | 2 | 35 | 2
EDGE Cani | Dani Toribio | 2 | 35 | 3
EDGE Cani | Juanma | 1 | 35 | 1
EDGE Cani | Pablo Iñiguez | 4 | 35 | 6
EDGE Cani | Guillem Truyols | 1 | 35 | 2
EDGE Moi Gómez | Jérémy Perbet | 6 | 17 | 15
EDGE Moi Gómez | Jonathan Pereira | 6 | 17 | 11
EDGE Moi Gómez | Diego Mariño | 7 | 17 | 10
EDGE Moi Gómez | Javi Venta | 8 | 17 | 16
EDGE Moi Gómez | Marcos Senna | 10 | 17 | 25
EDGE Moi Gómez | Manu Trigueros | 5 | 17 | 21
EDGE Moi Gómez | Jaume Costa | 11 | 17 | 25
EDGE Moi Gómez | Ikechukwu Uche | 12 | 17 | 23
EDGE Moi Gómez | Javier Aquino | 3 | 17 | 10
EDGE Moi Gómez | Hernán Pérez | 1 | 17 | 8
EDGE Moi Gómez | Olof Mellberg | 5 | 17 | 26
EDGE Moi Gómez | Walter Pandiani | 4 | 17 | 4
EDGE Moi Gómez | Guillem Truyols | 2 | 17 | 2
EDGE Moi Gómez | Dani Toribio | 1 | 17 | 3
EDGE Moi Gómez | Fernando Cavenaghi | 2 | 17 | 16
EDGE Moi Gómez | Pablo Iñiguez | 2 | 17 | 6
