# Graph for Java/GraphStream
# Nodes: 26
# Edges: 279

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Lucas Vázquez | Gareth Bale | 2 | 26 | 4
EDGE Eduardo Camavinga | Federico Valverde | 10 | 16 | 29
EDGE Eduardo Camavinga | Andriy Lunin | 3 | 16 | 4
EDGE Eduardo Camavinga | Marcelo | 5 | 16 | 7
EDGE Eduardo Camavinga | Luka Jović | 2 | 16 | 3
EDGE Eduardo Camavinga | Jesús Vallejo | 3 | 16 | 4
EDGE Eduardo Camavinga | Dani Ceballos | 2 | 16 | 2
EDGE Eduardo Camavinga | Marco Asensio | 7 | 16 | 23
EDGE Eduardo Camavinga | Mariano Díaz | 2 | 16 | 4
EDGE Eduardo Camavinga | Eden Hazard | 3 | 16 | 9
EDGE Eduardo Camavinga | Miguel Gutiérrez | 2 | 16 | 4
EDGE Eduardo Camavinga | Isco | 1 | 16 | 3
EDGE Federico Valverde | Andriy Lunin | 3 | 29 | 4
EDGE Federico Valverde | Marcelo | 4 | 29 | 7
EDGE Federico Valverde | Luka Jović | 1 | 29 | 3
EDGE Federico Valverde | Eden Hazard | 8 | 29 | 9
EDGE Federico Valverde | Jesús Vallejo | 2 | 29 | 4
EDGE Federico Valverde | Marco Asensio | 7 | 29 | 23
EDGE Federico Valverde | Miguel Gutiérrez | 4 | 29 | 4
EDGE Federico Valverde | Isco | 2 | 29 | 3
EDGE Federico Valverde | Gareth Bale | 4 | 29 | 4
EDGE Federico Valverde | Mariano Díaz | 2 | 29 | 4
EDGE Federico Valverde | Dani Ceballos | 1 | 29 | 2
EDGE Andriy Lunin | Marcelo | 2 | 4 | 7
EDGE Andriy Lunin | Luka Jović | 2 | 4 | 3
EDGE Andriy Lunin | Jesús Vallejo | 2 | 4 | 4
EDGE Andriy Lunin | Marco Asensio | 2 | 4 | 23
EDGE Andriy Lunin | Mariano Díaz | 2 | 4 | 4
EDGE Andriy Lunin | Eden Hazard | 1 | 4 | 9
EDGE Marcelo | Luka Jović | 1 | 7 | 3
EDGE Marcelo | Jesús Vallejo | 1 | 7 | 4
EDGE Marcelo | Dani Ceballos | 1 | 7 | 2
EDGE Marcelo | Marco Asensio | 3 | 7 | 23
EDGE Marcelo | Mariano Díaz | 3 | 7 | 4
EDGE Marcelo | Isco | 1 | 7 | 3
EDGE Marcelo | Eden Hazard | 1 | 7 | 9
EDGE Marcelo | Gareth Bale | 1 | 7 | 4
EDGE Luka Jović | Jesús Vallejo | 1 | 3 | 4
EDGE Luka Jović | Marco Asensio | 1 | 3 | 23
EDGE Jesús Vallejo | Dani Ceballos | 1 | 4 | 2
EDGE Jesús Vallejo | Marco Asensio | 3 | 4 | 23
EDGE Jesús Vallejo | Mariano Díaz | 2 | 4 | 4
EDGE Dani Ceballos | Marco Asensio | 2 | 2 | 23
EDGE Dani Ceballos | Mariano Díaz | 1 | 2 | 4
EDGE Marco Asensio | Mariano Díaz | 2 | 23 | 4
EDGE Marco Asensio | Miguel Gutiérrez | 1 | 23 | 4
EDGE Marco Asensio | Isco | 1 | 23 | 3
EDGE Marco Asensio | Gareth Bale | 1 | 23 | 4
EDGE Mariano Díaz | Eden Hazard | 1 | 4 | 9
EDGE Eden Hazard | Isco | 1 | 9 | 3
EDGE Eden Hazard | Gareth Bale | 2 | 9 | 4
EDGE Eden Hazard | Miguel Gutiérrez | 2 | 9 | 4
EDGE Miguel Gutiérrez | Isco | 1 | 4 | 3
EDGE Miguel Gutiérrez | Gareth Bale | 1 | 4 | 4
EDGE Isco | Gareth Bale | 2 | 3 | 4
