# Graph for Java/GraphStream
# Nodes: 27
# Edges: 277

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Borja Valero | Carlos Tomás | 1 | 51 | 1
EDGE Borja Valero | Cristóbal Márquez | 1 | 51 | 3
EDGE Borja Valero | Marcos Gullón | 1 | 51 | 1
EDGE Borja Valero | Juan Carlos | 4 | 51 | 6
EDGE Borja Valero | Javier Matilla | 5 | 51 | 9
EDGE Borja Valero | Kiko Olivas | 2 | 51 | 3
EDGE Borja Valero | Mubarak Wakaso | 2 | 51 | 3
EDGE Borja Valero | Joan Oriol | 2 | 51 | 5
EDGE Borja Valero | Jefferson Montero | 2 | 51 | 5
EDGE Borja Valero | Cicinho | 1 | 51 | 1
EDGE Giuseppe Rossi | Nilmar | 30 | 52 | 35
EDGE Giuseppe Rossi | Gonzalo Rodríguez | 30 | 52 | 35
EDGE Giuseppe Rossi | José Manuel Catalá | 18 | 52 | 22
EDGE Giuseppe Rossi | Cani | 35 | 52 | 40
EDGE Giuseppe Rossi | Marco Ruben | 20 | 52 | 23
EDGE Giuseppe Rossi | Mario Gaspar | 28 | 52 | 34
EDGE Giuseppe Rossi | Carlos Tomás | 1 | 52 | 1
EDGE Giuseppe Rossi | Joan Oriol | 2 | 52 | 5
EDGE Giuseppe Rossi | Cristóbal Márquez | 1 | 52 | 3
EDGE Giuseppe Rossi | Marcos Gullón | 1 | 52 | 1
EDGE Giuseppe Rossi | Juan Carlos | 3 | 52 | 6
EDGE Giuseppe Rossi | Javier Matilla | 4 | 52 | 9
EDGE Giuseppe Rossi | Kiko Olivas | 2 | 52 | 3
EDGE Giuseppe Rossi | Jozy Altidore | 2 | 52 | 7
EDGE Giuseppe Rossi | Mubarak Wakaso | 2 | 52 | 3
EDGE Giuseppe Rossi | Cicinho | 1 | 52 | 1
EDGE Giuseppe Rossi | Jefferson Montero | 1 | 52 | 5
EDGE Nilmar | Gonzalo Rodríguez | 18 | 35 | 35
EDGE Nilmar | Cani | 22 | 35 | 40
EDGE Nilmar | Jozy Altidore | 2 | 35 | 7
EDGE Nilmar | José Manuel Catalá | 7 | 35 | 22
EDGE Nilmar | Mario Gaspar | 18 | 35 | 34
EDGE Nilmar | Javier Matilla | 4 | 35 | 9
EDGE Nilmar | Mubarak Wakaso | 1 | 35 | 3
EDGE Nilmar | Marco Ruben | 3 | 35 | 23
EDGE Nilmar | Joan Oriol | 2 | 35 | 5
EDGE Nilmar | Kiko Olivas | 3 | 35 | 3
EDGE Nilmar | Juan Carlos | 2 | 35 | 6
EDGE Nilmar | Jefferson Montero | 1 | 35 | 5
EDGE Nilmar | Cristóbal Márquez | 1 | 35 | 3
EDGE Gonzalo Rodríguez | Cani | 27 | 35 | 40
EDGE Gonzalo Rodríguez | Jozy Altidore | 6 | 35 | 7
EDGE Gonzalo Rodríguez | José Manuel Catalá | 12 | 35 | 22
EDGE Gonzalo Rodríguez | Marco Ruben | 15 | 35 | 23
EDGE Gonzalo Rodríguez | Mario Gaspar | 20 | 35 | 34
EDGE Gonzalo Rodríguez | Juan Carlos | 4 | 35 | 6
EDGE Gonzalo Rodríguez | Joan Oriol | 4 | 35 | 5
EDGE Gonzalo Rodríguez | Javier Matilla | 4 | 35 | 9
EDGE Gonzalo Rodríguez | Cristóbal Márquez | 1 | 35 | 3
EDGE Gonzalo Rodríguez | Jefferson Montero | 4 | 35 | 5
EDGE Gonzalo Rodríguez | Mubarak Wakaso | 1 | 35 | 3
EDGE Gonzalo Rodríguez | Cicinho | 1 | 35 | 1
EDGE Cani | Jozy Altidore | 5 | 40 | 7
EDGE Cani | José Manuel Catalá | 11 | 40 | 22
EDGE Cani | Marco Ruben | 15 | 40 | 23
EDGE Cani | Joan Oriol | 3 | 40 | 5
EDGE Cani | Mario Gaspar | 20 | 40 | 34
EDGE Cani | Cristóbal Márquez | 1 | 40 | 3
