# Graph for Java/GraphStream
# Nodes: 29
# Edges: 344

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Manu Trigueros | Arnaut Danjuma | 4 | 14 | 10
EDGE Manu Trigueros | José Luis Morales | 6 | 14 | 19
EDGE Manu Trigueros | Nicolas Jackson | 4 | 14 | 20
EDGE Manu Trigueros | Filip Jørgensen | 2 | 14 | 6
EDGE Manu Trigueros | Alberto Moreno | 5 | 14 | 17
EDGE Manu Trigueros | Étienne Capoue | 4 | 14 | 23
EDGE Manu Trigueros | Giovani Lo Celso | 1 | 14 | 16
EDGE Manu Trigueros | Francis Coquelin | 3 | 14 | 17
EDGE Manu Trigueros | Gerónimo Rulli | 2 | 14 | 14
EDGE Manu Trigueros | Adrián Dela | 2 | 14 | 5
EDGE Manu Trigueros | Jorge Pascual | 1 | 14 | 1
EDGE Yéremy Pino | Samuel Chukwueze | 25 | 36 | 39
EDGE Yéremy Pino | Gerard Moreno | 15 | 36 | 18
EDGE Yéremy Pino | Gerónimo Rulli | 9 | 36 | 14
EDGE Yéremy Pino | Kiko Femenía | 10 | 36 | 17
EDGE Yéremy Pino | Manu Morlanes | 6 | 36 | 12
EDGE Yéremy Pino | Álex Baena | 19 | 36 | 32
EDGE Yéremy Pino | Arnaut Danjuma | 5 | 36 | 10
EDGE Yéremy Pino | Nicolas Jackson | 15 | 36 | 20
EDGE Yéremy Pino | Jorge Cuenca | 8 | 36 | 17
EDGE Yéremy Pino | Johan Mojica | 6 | 36 | 14
EDGE Yéremy Pino | Aïssa Mandi | 16 | 36 | 29
EDGE Yéremy Pino | Étienne Capoue | 20 | 36 | 23
EDGE Yéremy Pino | José Luis Morales | 9 | 36 | 19
EDGE Yéremy Pino | Giovani Lo Celso | 10 | 36 | 16
EDGE Yéremy Pino | Francis Coquelin | 6 | 36 | 17
EDGE Yéremy Pino | Filip Jørgensen | 4 | 36 | 6
EDGE Yéremy Pino | Alberto Moreno | 13 | 36 | 17
EDGE Yéremy Pino | Adrián Dela | 2 | 36 | 5
EDGE Samuel Chukwueze | Gerard Moreno | 12 | 39 | 18
EDGE Samuel Chukwueze | Jorge Cuenca | 15 | 39 | 17
EDGE Samuel Chukwueze | Aïssa Mandi | 25 | 39 | 29
EDGE Samuel Chukwueze | Johan Mojica | 12 | 39 | 14
EDGE Samuel Chukwueze | Manu Morlanes | 8 | 39 | 12
EDGE Samuel Chukwueze | Francis Coquelin | 12 | 39 | 17
EDGE Samuel Chukwueze | Álex Baena | 27 | 39 | 32
EDGE Samuel Chukwueze | José Luis Morales | 15 | 39 | 19
EDGE Samuel Chukwueze | Diego Collado | 1 | 39 | 1
EDGE Samuel Chukwueze | Étienne Capoue | 15 | 39 | 23
EDGE Samuel Chukwueze | Nicolas Jackson | 10 | 39 | 20
EDGE Samuel Chukwueze | Filip Jørgensen | 6 | 39 | 6
EDGE Samuel Chukwueze | Alberto Moreno | 15 | 39 | 17
EDGE Samuel Chukwueze | Kiko Femenía | 10 | 39 | 17
EDGE Samuel Chukwueze | Adrián Dela | 4 | 39 | 5
EDGE Samuel Chukwueze | Arnaut Danjuma | 6 | 39 | 10
EDGE Samuel Chukwueze | Giovani Lo Celso | 9 | 39 | 16
EDGE Samuel Chukwueze | Gerónimo Rulli | 5 | 39 | 14
EDGE Samuel Chukwueze | Jorge Pascual | 1 | 39 | 1
EDGE Gerard Moreno | Jorge Cuenca | 5 | 18 | 17
EDGE Gerard Moreno | Johan Mojica | 4 | 18 | 14
EDGE Gerard Moreno | Aïssa Mandi | 6 | 18 | 29
EDGE Gerard Moreno | Étienne Capoue | 10 | 18 | 23
EDGE Gerard Moreno | Álex Baena | 9 | 18 | 32
EDGE Gerard Moreno | Gerónimo Rulli | 5 | 18 | 14
EDGE Gerard Moreno | Giovani Lo Celso | 5 | 18 | 16
EDGE Gerard Moreno | Nicolas Jackson | 5 | 18 | 20
