# Graph for Java/GraphStream
# Nodes: 23
# Edges: 226

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Javi Martínez | Pablo Orbaiz | 9 | 32 | 10
EDGE Javi Martínez | Joseba Etxeberria | 15 | 32 | 19
EDGE Javi Martínez | Fernando Llorente | 2 | 32 | 3
EDGE Javi Martínez | Luis Prieto | 15 | 32 | 18
EDGE Javi Martínez | Igor Gabilondo | 22 | 32 | 28
EDGE Javi Martínez | Mikel Dañobeitia | 1 | 32 | 2
EDGE Javi Martínez | Javier Iturriaga | 1 | 32 | 3
EDGE Pablo Orbaiz | Joseba Etxeberria | 5 | 10 | 19
EDGE Pablo Orbaiz | Fernando Llorente | 2 | 10 | 3
EDGE Pablo Orbaiz | Luis Prieto | 4 | 10 | 18
EDGE Pablo Orbaiz | Javier Iturriaga | 1 | 10 | 3
EDGE Pablo Orbaiz | Mikel Dañobeitia | 1 | 10 | 2
EDGE Pablo Orbaiz | Igor Gabilondo | 6 | 10 | 28
EDGE Joseba Etxeberria | Fernando Llorente | 2 | 19 | 3
EDGE Joseba Etxeberria | Luis Prieto | 9 | 19 | 18
EDGE Joseba Etxeberria | Igor Gabilondo | 15 | 19 | 28
EDGE Joseba Etxeberria | Javier Iturriaga | 2 | 19 | 3
EDGE Joseba Etxeberria | Mikel Dañobeitia | 1 | 19 | 2
EDGE Fernando Llorente | Javier Iturriaga | 1 | 3 | 3
EDGE Fernando Llorente | Mikel Dañobeitia | 1 | 3 | 2
EDGE Fernando Llorente | Luis Prieto | 1 | 3 | 18
EDGE Luis Prieto | Igor Gabilondo | 15 | 18 | 28
EDGE Luis Prieto | Tiko | 1 | 18 | 1
EDGE Igor Gabilondo | Javier Iturriaga | 2 | 28 | 3
EDGE Igor Gabilondo | Tiko | 1 | 28 | 1
EDGE Javier Iturriaga | Mikel Dañobeitia | 1 | 3 | 2
