# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gabi | Joel Robles | 3 | 47 | 3
EDGE Gabi | Diego Forlán | 2 | 47 | 2
EDGE Gabi | Sergio Asenjo | 2 | 47 | 4
EDGE Gabi | Pizzi | 1 | 47 | 2
EDGE Arda Turan | Diego | 26 | 34 | 39
EDGE Arda Turan | Adrián López | 26 | 34 | 46
EDGE Arda Turan | Radamel Falcao | 30 | 34 | 47
EDGE Arda Turan | Diego Godín | 26 | 34 | 40
EDGE Arda Turan | Juanfran Torres | 18 | 34 | 35
EDGE Arda Turan | Tiago Mendes | 13 | 34 | 27
EDGE Arda Turan | Koke | 10 | 34 | 21
EDGE Arda Turan | Sílvio | 6 | 34 | 12
EDGE Arda Turan | Paulo Assunção | 6 | 34 | 11
EDGE Arda Turan | Eduardo Salvio | 9 | 34 | 24
EDGE Arda Turan | Antonio López | 3 | 34 | 6
EDGE Arda Turan | José Antonio Reyes | 3 | 34 | 12
EDGE Arda Turan | Sergio Asenjo | 1 | 34 | 4
EDGE Diego | Adrián López | 27 | 39 | 46
EDGE Diego | Radamel Falcao | 35 | 39 | 47
EDGE Diego | Diego Godín | 30 | 39 | 40
EDGE Diego | Juanfran Torres | 22 | 39 | 35
EDGE Diego | Tiago Mendes | 19 | 39 | 27
EDGE Diego | José Antonio Reyes | 6 | 39 | 12
EDGE Diego | Sílvio | 5 | 39 | 12
EDGE Diego | Antonio López | 4 | 39 | 6
EDGE Diego | Koke | 7 | 39 | 21
EDGE Diego | Paulo Assunção | 6 | 39 | 11
EDGE Diego | Eduardo Salvio | 12 | 39 | 24
EDGE Diego | Sergio Asenjo | 3 | 39 | 4
EDGE Diego | Pizzi | 1 | 39 | 2
EDGE Adrián López | Radamel Falcao | 34 | 46 | 47
EDGE Adrián López | Diego Godín | 32 | 46 | 40
EDGE Adrián López | Juanfran Torres | 30 | 46 | 35
EDGE Adrián López | Koke | 18 | 46 | 21
EDGE Adrián López | Eduardo Salvio | 19 | 46 | 24
EDGE Adrián López | Tiago Mendes | 21 | 46 | 27
EDGE Adrián López | Sílvio | 9 | 46 | 12
EDGE Adrián López | Paulo Assunção | 8 | 46 | 11
EDGE Adrián López | Antonio López | 4 | 46 | 6
EDGE Adrián López | Sergio Asenjo | 3 | 46 | 4
EDGE Adrián López | Jorge Pulido | 1 | 46 | 1
EDGE Adrián López | Javier Manquillo | 1 | 46 | 1
EDGE Adrián López | Pizzi | 1 | 46 | 2
