# Graph for Java/GraphStream
# Nodes: 23
# Edges: 218

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iago Herrerín | Kike Sola | 2 | 11 | 4
EDGE Iago Herrerín | Gaizka Toquero | 2 | 11 | 6
EDGE Aymeric Laporte | Carlos Gurpegui | 24 | 36 | 31
EDGE Aymeric Laporte | Enric Saborit | 2 | 36 | 2
EDGE Aymeric Laporte | Andoni Iraola | 28 | 36 | 34
EDGE Aymeric Laporte | Beñat Etxebarria | 11 | 36 | 13
EDGE Aymeric Laporte | Erik Morán | 4 | 36 | 5
EDGE Aymeric Laporte | Guillermo Fernández | 4 | 36 | 4
EDGE Aymeric Laporte | Ibai Gómez | 8 | 36 | 10
EDGE Aymeric Laporte | Gaizka Toquero | 4 | 36 | 6
EDGE Aymeric Laporte | Kike Sola | 1 | 36 | 4
EDGE Carlos Gurpegui | Enric Saborit | 2 | 31 | 2
EDGE Carlos Gurpegui | Andoni Iraola | 24 | 31 | 34
EDGE Carlos Gurpegui | Beñat Etxebarria | 12 | 31 | 13
EDGE Carlos Gurpegui | Ibai Gómez | 8 | 31 | 10
EDGE Carlos Gurpegui | Gaizka Toquero | 5 | 31 | 6
EDGE Carlos Gurpegui | Guillermo Fernández | 2 | 31 | 4
EDGE Carlos Gurpegui | Erik Morán | 2 | 31 | 5
EDGE Carlos Gurpegui | Kike Sola | 4 | 31 | 4
EDGE Carlos Gurpegui | Borja Ekiza | 1 | 31 | 1
EDGE Enric Saborit | Andoni Iraola | 2 | 2 | 34
EDGE Enric Saborit | Beñat Etxebarria | 2 | 2 | 13
EDGE Andoni Iraola | Beñat Etxebarria | 12 | 34 | 13
EDGE Andoni Iraola | Ibai Gómez | 10 | 34 | 10
EDGE Andoni Iraola | Gaizka Toquero | 5 | 34 | 6
EDGE Andoni Iraola | Erik Morán | 3 | 34 | 5
EDGE Andoni Iraola | Guillermo Fernández | 3 | 34 | 4
EDGE Andoni Iraola | Kike Sola | 4 | 34 | 4
EDGE Andoni Iraola | Borja Ekiza | 1 | 34 | 1
EDGE Beñat Etxebarria | Erik Morán | 3 | 13 | 5
EDGE Beñat Etxebarria | Guillermo Fernández | 2 | 13 | 4
EDGE Beñat Etxebarria | Ibai Gómez | 5 | 13 | 10
EDGE Beñat Etxebarria | Borja Ekiza | 1 | 13 | 1
EDGE Beñat Etxebarria | Kike Sola | 2 | 13 | 4
EDGE Erik Morán | Guillermo Fernández | 1 | 5 | 4
EDGE Erik Morán | Ibai Gómez | 1 | 5 | 10
EDGE Erik Morán | Kike Sola | 1 | 5 | 4
EDGE Guillermo Fernández | Ibai Gómez | 2 | 4 | 10
EDGE Ibai Gómez | Kike Sola | 2 | 10 | 4
EDGE Kike Sola | Borja Ekiza | 1 | 4 | 1
