# Graph for Java/GraphStream
# Nodes: 32
# Edges: 337

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Samuel Umtiti | Jasper Cillessen | 2 | 14 | 11
EDGE Samuel Umtiti | Jean-Clair Todibo | 2 | 14 | 2
EDGE Samuel Umtiti | Thomas Vermaelen | 2 | 14 | 9
EDGE Samuel Umtiti | Moussa Wagué | 2 | 14 | 2
EDGE Samuel Umtiti | Carles Aleñá | 3 | 14 | 10
EDGE Samuel Umtiti | Riqui Puig | 2 | 14 | 2
EDGE Samuel Umtiti | Malcom | 4 | 14 | 11
EDGE Samuel Umtiti | Kevin-Prince Boateng | 2 | 14 | 4
EDGE Samuel Umtiti | Munir El Haddadi | 1 | 14 | 4
EDGE Samuel Umtiti | Rafinha | 1 | 14 | 5
EDGE Samuel Umtiti | Jeison Murillo | 1 | 14 | 3
EDGE Jasper Cillessen | Jean-Clair Todibo | 1 | 11 | 2
EDGE Jasper Cillessen | Thomas Vermaelen | 3 | 11 | 9
EDGE Jasper Cillessen | Moussa Wagué | 1 | 11 | 2
EDGE Jasper Cillessen | Carles Aleñá | 5 | 11 | 10
EDGE Jasper Cillessen | Riqui Puig | 1 | 11 | 2
EDGE Jasper Cillessen | Malcom | 7 | 11 | 11
EDGE Jasper Cillessen | Kevin-Prince Boateng | 2 | 11 | 4
EDGE Jasper Cillessen | Jeison Murillo | 2 | 11 | 3
EDGE Jasper Cillessen | Chumi | 3 | 11 | 3
EDGE Jasper Cillessen | Juan Miranda | 4 | 11 | 4
EDGE Jasper Cillessen | Munir El Haddadi | 3 | 11 | 4
EDGE Jasper Cillessen | Jorge Cuenca | 1 | 11 | 1
EDGE Jasper Cillessen | Sergi Samper | 1 | 11 | 1
EDGE Jasper Cillessen | Denis Suárez | 2 | 11 | 2
EDGE Jasper Cillessen | Uri Busquets | 1 | 11 | 1
EDGE Jean-Clair Todibo | Thomas Vermaelen | 1 | 2 | 9
EDGE Jean-Clair Todibo | Moussa Wagué | 2 | 2 | 2
EDGE Jean-Clair Todibo | Carles Aleñá | 2 | 2 | 10
EDGE Jean-Clair Todibo | Riqui Puig | 2 | 2 | 2
EDGE Jean-Clair Todibo | Malcom | 2 | 2 | 11
EDGE Jean-Clair Todibo | Kevin-Prince Boateng | 2 | 2 | 4
EDGE Jean-Clair Todibo | Jeison Murillo | 1 | 2 | 3
EDGE Thomas Vermaelen | Moussa Wagué | 1 | 9 | 2
EDGE Thomas Vermaelen | Carles Aleñá | 6 | 9 | 10
EDGE Thomas Vermaelen | Riqui Puig | 1 | 9 | 2
EDGE Thomas Vermaelen | Malcom | 2 | 9 | 11
EDGE Thomas Vermaelen | Kevin-Prince Boateng | 2 | 9 | 4
EDGE Thomas Vermaelen | Munir El Haddadi | 3 | 9 | 4
EDGE Thomas Vermaelen | Juan Miranda | 2 | 9 | 4
EDGE Thomas Vermaelen | Chumi | 1 | 9 | 3
EDGE Thomas Vermaelen | Uri Busquets | 1 | 9 | 1
EDGE Thomas Vermaelen | Denis Suárez | 1 | 9 | 2
EDGE Moussa Wagué | Carles Aleñá | 2 | 2 | 10
EDGE Moussa Wagué | Riqui Puig | 2 | 2 | 2
EDGE Moussa Wagué | Malcom | 2 | 2 | 11
EDGE Moussa Wagué | Kevin-Prince Boateng | 2 | 2 | 4
EDGE Moussa Wagué | Jeison Murillo | 1 | 2 | 3
EDGE Carles Aleñá | Riqui Puig | 2 | 10 | 2
EDGE Carles Aleñá | Malcom | 5 | 10 | 11
EDGE Carles Aleñá | Kevin-Prince Boateng | 4 | 10 | 4
EDGE Carles Aleñá | Jeison Murillo | 2 | 10 | 3
EDGE Carles Aleñá | Chumi | 2 | 10 | 3
EDGE Carles Aleñá | Juan Miranda | 3 | 10 | 4
EDGE Carles Aleñá | Munir El Haddadi | 2 | 10 | 4
EDGE Carles Aleñá | Uri Busquets | 1 | 10 | 1
EDGE Carles Aleñá | Denis Suárez | 1 | 10 | 2
EDGE Riqui Puig | Malcom | 2 | 2 | 11
EDGE Riqui Puig | Kevin-Prince Boateng | 2 | 2 | 4
EDGE Riqui Puig | Jeison Murillo | 1 | 2 | 3
EDGE Malcom | Kevin-Prince Boateng | 3 | 11 | 4
EDGE Malcom | Jeison Murillo | 2 | 11 | 3
EDGE Malcom | Chumi | 3 | 11 | 3
EDGE Malcom | Juan Miranda | 3 | 11 | 4
EDGE Malcom | Jorge Cuenca | 1 | 11 | 1
EDGE Malcom | Sergi Samper | 1 | 11 | 1
EDGE Malcom | Denis Suárez | 2 | 11 | 2
EDGE Malcom | Munir El Haddadi | 2 | 11 | 4
EDGE Malcom | Uri Busquets | 1 | 11 | 1
EDGE Kevin-Prince Boateng | Jeison Murillo | 1 | 4 | 3
EDGE Jeison Murillo | Chumi | 1 | 3 | 3
EDGE Jeison Murillo | Juan Miranda | 1 | 3 | 4
EDGE Chumi | Juan Miranda | 3 | 3 | 4
EDGE Chumi | Jorge Cuenca | 1 | 3 | 1
EDGE Chumi | Sergi Samper | 1 | 3 | 1
EDGE Chumi | Denis Suárez | 2 | 3 | 2
EDGE Chumi | Munir El Haddadi | 2 | 3 | 4
EDGE Chumi | Uri Busquets | 1 | 3 | 1
EDGE Juan Miranda | Munir El Haddadi | 3 | 4 | 4
EDGE Juan Miranda | Jorge Cuenca | 1 | 4 | 1
EDGE Juan Miranda | Sergi Samper | 1 | 4 | 1
EDGE Juan Miranda | Denis Suárez | 2 | 4 | 2
EDGE Juan Miranda | Uri Busquets | 1 | 4 | 1
EDGE Munir El Haddadi | Jorge Cuenca | 1 | 4 | 1
EDGE Munir El Haddadi | Sergi Samper | 1 | 4 | 1
EDGE Munir El Haddadi | Denis Suárez | 2 | 4 | 2
EDGE Munir El Haddadi | Uri Busquets | 1 | 4 | 1
EDGE Jorge Cuenca | Sergi Samper | 1 | 1 | 1
EDGE Jorge Cuenca | Denis Suárez | 1 | 1 | 2
EDGE Sergi Samper | Denis Suárez | 1 | 1 | 2
EDGE Denis Suárez | Uri Busquets | 1 | 2 | 1
