# Graph for Java/GraphStream
# Nodes: 31
# Edges: 386

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Pepe Reina | Santi Comesaña | 9 | 12 | 28
EDGE Pepe Reina | Manu Trigueros | 8 | 12 | 9
EDGE Pepe Reina | Bertrand Traoré | 2 | 12 | 6
EDGE Pepe Reina | Alberto Moreno | 6 | 12 | 22
EDGE Pepe Reina | Yéremy Pino | 1 | 12 | 8
EDGE Pepe Reina | Denis Suárez | 1 | 12 | 2
EDGE Pepe Reina | Ben Brereton Díaz | 4 | 12 | 6
EDGE Pepe Reina | Carlos Romero | 1 | 12 | 3
EDGE Pepe Reina | Ilias Akhomach | 7 | 12 | 24
EDGE Pepe Reina | Jorge Pascual | 1 | 12 | 1
EDGE Pepe Reina | Eric Bailly | 3 | 12 | 12
EDGE Pepe Reina | Francis Coquelin | 1 | 12 | 12
EDGE Pepe Reina | Gonçalo Guedes | 1 | 12 | 11
EDGE Yerson Mosquera | Aïssa Mandi | 5 | 15 | 18
EDGE Yerson Mosquera | Kiko Femenía | 11 | 15 | 21
EDGE Yerson Mosquera | Santi Comesaña | 11 | 15 | 28
EDGE Yerson Mosquera | Manu Trigueros | 1 | 15 | 9
EDGE Yerson Mosquera | Bertrand Traoré | 5 | 15 | 6
EDGE Yerson Mosquera | Eric Bailly | 6 | 15 | 12
EDGE Yerson Mosquera | Francis Coquelin | 8 | 15 | 12
EDGE Yerson Mosquera | Ilias Akhomach | 9 | 15 | 24
EDGE Yerson Mosquera | Gonçalo Guedes | 10 | 15 | 11
EDGE Yerson Mosquera | Alberto Moreno | 7 | 15 | 22
EDGE Aïssa Mandi | Kiko Femenía | 9 | 18 | 21
EDGE Aïssa Mandi | Santi Comesaña | 11 | 18 | 28
EDGE Aïssa Mandi | Manu Trigueros | 6 | 18 | 9
EDGE Aïssa Mandi | Bertrand Traoré | 3 | 18 | 6
EDGE Aïssa Mandi | Alberto Moreno | 6 | 18 | 22
EDGE Aïssa Mandi | Yéremy Pino | 4 | 18 | 8
EDGE Aïssa Mandi | Eric Bailly | 3 | 18 | 12
EDGE Aïssa Mandi | Francis Coquelin | 5 | 18 | 12
EDGE Aïssa Mandi | Ilias Akhomach | 6 | 18 | 24
