# Graph for Java/GraphStream
# Nodes: 27
# Edges: 304

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Andrés Iniesta | Thomas Vermaelen | 7 | 39 | 17
EDGE Andrés Iniesta | Javier Mascherano | 5 | 39 | 10
EDGE Andrés Iniesta | Paulinho | 17 | 39 | 27
EDGE Andrés Iniesta | Lucas Digne | 8 | 39 | 15
EDGE Andrés Iniesta | Aleix Vidal | 6 | 39 | 11
EDGE Andrés Iniesta | Nélson Semedo | 17 | 39 | 28
EDGE Andrés Iniesta | Yerry Mina | 2 | 39 | 4
EDGE Andrés Iniesta | Philippe Coutinho | 10 | 39 | 17
EDGE Andrés Iniesta | Paco Alcácer | 4 | 39 | 11
EDGE Andrés Iniesta | Jasper Cillessen | 6 | 39 | 11
EDGE Andrés Iniesta | André Gomes | 3 | 39 | 12
EDGE Andrés Iniesta | Gerard Deulofeu | 7 | 39 | 10
EDGE Andrés Iniesta | Denis Suárez | 1 | 39 | 10
EDGE Ivan Rakitic | Ousmane Dembélé | 12 | 46 | 14
EDGE Ivan Rakitic | Lionel Messi | 40 | 46 | 48
EDGE Ivan Rakitic | Luis Suárez | 43 | 46 | 49
EDGE Ivan Rakitic | Thomas Vermaelen | 10 | 46 | 17
EDGE Ivan Rakitic | Paulinho | 16 | 46 | 27
EDGE Ivan Rakitic | André Gomes | 9 | 46 | 12
EDGE Ivan Rakitic | Javier Mascherano | 6 | 46 | 10
EDGE Ivan Rakitic | Nélson Semedo | 20 | 46 | 28
EDGE Ivan Rakitic | Philippe Coutinho | 13 | 46 | 17
EDGE Ivan Rakitic | Yerry Mina | 3 | 46 | 4
EDGE Ivan Rakitic | Paco Alcácer | 7 | 46 | 11
EDGE Ivan Rakitic | Denis Suárez | 2 | 46 | 10
EDGE Ivan Rakitic | Jasper Cillessen | 6 | 46 | 11
EDGE Ivan Rakitic | Gerard Deulofeu | 6 | 46 | 10
EDGE Ivan Rakitic | Aleix Vidal | 6 | 46 | 11
EDGE Ivan Rakitic | Lucas Digne | 5 | 46 | 15
EDGE Ousmane Dembélé | Lionel Messi | 9 | 14 | 48
EDGE Ousmane Dembélé | Luis Suárez | 11 | 14 | 49
EDGE Ousmane Dembélé | Thomas Vermaelen | 5 | 14 | 17
EDGE Ousmane Dembélé | Javier Mascherano | 1 | 14 | 10
EDGE Ousmane Dembélé | Paulinho | 6 | 14 | 27
EDGE Ousmane Dembélé | Nélson Semedo | 8 | 14 | 28
EDGE Ousmane Dembélé | Philippe Coutinho | 10 | 14 | 17
EDGE Ousmane Dembélé | Yerry Mina | 3 | 14 | 4
EDGE Ousmane Dembélé | Jasper Cillessen | 1 | 14 | 11
EDGE Ousmane Dembélé | Lucas Digne | 2 | 14 | 15
EDGE Ousmane Dembélé | André Gomes | 2 | 14 | 12
EDGE Ousmane Dembélé | Denis Suárez | 1 | 14 | 10
EDGE Ousmane Dembélé | Paco Alcácer | 2 | 14 | 11
EDGE Lionel Messi | Luis Suárez | 42 | 48 | 49
EDGE Lionel Messi | Thomas Vermaelen | 11 | 48 | 17
EDGE Lionel Messi | Paulinho | 21 | 48 | 27
EDGE Lionel Messi | André Gomes | 8 | 48 | 12
EDGE Lionel Messi | Javier Mascherano | 9 | 48 | 10
EDGE Lionel Messi | Lucas Digne | 8 | 48 | 15
EDGE Lionel Messi | Aleix Vidal | 8 | 48 | 11
EDGE Lionel Messi | Nélson Semedo | 19 | 48 | 28
EDGE Lionel Messi | Philippe Coutinho | 11 | 48 | 17
EDGE Lionel Messi | Paco Alcácer | 6 | 48 | 11
EDGE Lionel Messi | Denis Suárez | 5 | 48 | 10
EDGE Lionel Messi | Jasper Cillessen | 7 | 48 | 11
EDGE Lionel Messi | Gerard Deulofeu | 7 | 48 | 10
EDGE Lionel Messi | Yerry Mina | 1 | 48 | 4
EDGE Lionel Messi | Carles Aleñá | 1 | 48 | 3
EDGE Luis Suárez | Thomas Vermaelen | 11 | 49 | 17
EDGE Luis Suárez | Paulinho | 21 | 49 | 27
EDGE Luis Suárez | André Gomes | 9 | 49 | 12
EDGE Luis Suárez | Javier Mascherano | 7 | 49 | 10
EDGE Luis Suárez | Lucas Digne | 8 | 49 | 15
EDGE Luis Suárez | Aleix Vidal | 7 | 49 | 11
EDGE Luis Suárez | Nélson Semedo | 21 | 49 | 28
EDGE Luis Suárez | Philippe Coutinho | 14 | 49 | 17
EDGE Luis Suárez | Yerry Mina | 3 | 49 | 4
EDGE Luis Suárez | Paco Alcácer | 6 | 49 | 11
EDGE Luis Suárez | Denis Suárez | 4 | 49 | 10
EDGE Luis Suárez | Jasper Cillessen | 6 | 49 | 11
EDGE Luis Suárez | Gerard Deulofeu | 5 | 49 | 10
EDGE Thomas Vermaelen | Paulinho | 11 | 17 | 27
EDGE Thomas Vermaelen | André Gomes | 7 | 17 | 12
EDGE Thomas Vermaelen | Javier Mascherano | 2 | 17 | 10
EDGE Thomas Vermaelen | Lucas Digne | 8 | 17 | 15
EDGE Thomas Vermaelen | Aleix Vidal | 5 | 17 | 11
EDGE Thomas Vermaelen | Nélson Semedo | 10 | 17 | 28
EDGE Thomas Vermaelen | Yerry Mina | 2 | 17 | 4
EDGE Thomas Vermaelen | Philippe Coutinho | 4 | 17 | 17
EDGE Thomas Vermaelen | Denis Suárez | 7 | 17 | 10
EDGE Thomas Vermaelen | Jasper Cillessen | 6 | 17 | 11
EDGE Thomas Vermaelen | Carles Aleñá | 3 | 17 | 3
EDGE Thomas Vermaelen | José Manuel Arnáiz | 2 | 17 | 2
EDGE Thomas Vermaelen | Gerard Deulofeu | 2 | 17 | 10
EDGE Thomas Vermaelen | Paco Alcácer | 5 | 17 | 11
EDGE Thomas Vermaelen | Uri Busquets | 1 | 17 | 1
EDGE Paulinho | André Gomes | 4 | 27 | 12
EDGE Paulinho | Javier Mascherano | 5 | 27 | 10
EDGE Paulinho | Lucas Digne | 10 | 27 | 15
EDGE Paulinho | Aleix Vidal | 5 | 27 | 11
EDGE Paulinho | Nélson Semedo | 9 | 27 | 28
EDGE Paulinho | Denis Suárez | 7 | 27 | 10
EDGE Paulinho | Jasper Cillessen | 3 | 27 | 11
EDGE Paulinho | Philippe Coutinho | 8 | 27 | 17
EDGE Paulinho | Paco Alcácer | 4 | 27 | 11
EDGE Paulinho | Gerard Deulofeu | 3 | 27 | 10
EDGE Paulinho | Yerry Mina | 1 | 27 | 4
EDGE Paulinho | José Manuel Arnáiz | 1 | 27 | 2
EDGE Paulinho | Carles Aleñá | 1 | 27 | 3
EDGE André Gomes | Jasper Cillessen | 5 | 12 | 11
EDGE André Gomes | Javier Mascherano | 3 | 12 | 10
EDGE André Gomes | Nélson Semedo | 8 | 12 | 28
EDGE André Gomes | Philippe Coutinho | 2 | 12 | 17
EDGE André Gomes | Lucas Digne | 4 | 12 | 15
EDGE André Gomes | Carles Aleñá | 1 | 12 | 3
EDGE André Gomes | Denis Suárez | 4 | 12 | 10
EDGE André Gomes | José Manuel Arnáiz | 2 | 12 | 2
EDGE André Gomes | Gerard Deulofeu | 1 | 12 | 10
EDGE André Gomes | Paco Alcácer | 3 | 12 | 11
EDGE André Gomes | Yerry Mina | 1 | 12 | 4
EDGE André Gomes | Aleix Vidal | 2 | 12 | 11
EDGE Javier Mascherano | Aleix Vidal | 2 | 10 | 11
EDGE Javier Mascherano | Denis Suárez | 4 | 10 | 10
EDGE Javier Mascherano | Nélson Semedo | 5 | 10 | 28
EDGE Javier Mascherano | Gerard Deulofeu | 4 | 10 | 10
EDGE Javier Mascherano | Paco Alcácer | 2 | 10 | 11
EDGE Javier Mascherano | Jasper Cillessen | 2 | 10 | 11
EDGE Javier Mascherano | Lucas Digne | 3 | 10 | 15
EDGE Javier Mascherano | Carles Aleñá | 1 | 10 | 3
EDGE Javier Mascherano | José Manuel Arnáiz | 1 | 10 | 2
EDGE Lucas Digne | Aleix Vidal | 5 | 15 | 11
EDGE Lucas Digne | Jasper Cillessen | 6 | 15 | 11
EDGE Lucas Digne | Nélson Semedo | 10 | 15 | 28
EDGE Lucas Digne | Philippe Coutinho | 5 | 15 | 17
EDGE Lucas Digne | Paco Alcácer | 6 | 15 | 11
EDGE Lucas Digne | Carles Aleñá | 3 | 15 | 3
EDGE Lucas Digne | Denis Suárez | 7 | 15 | 10
EDGE Lucas Digne | José Manuel Arnáiz | 2 | 15 | 2
EDGE Lucas Digne | Gerard Deulofeu | 6 | 15 | 10
EDGE Lucas Digne | Yerry Mina | 2 | 15 | 4
EDGE Lucas Digne | Uri Busquets | 1 | 15 | 1
EDGE Aleix Vidal | Denis Suárez | 5 | 11 | 10
EDGE Aleix Vidal | Jasper Cillessen | 6 | 11 | 11
EDGE Aleix Vidal | Gerard Deulofeu | 3 | 11 | 10
EDGE Aleix Vidal | Nélson Semedo | 3 | 11 | 28
EDGE Aleix Vidal | José Manuel Arnáiz | 1 | 11 | 2
EDGE Aleix Vidal | Paco Alcácer | 2 | 11 | 11
EDGE Aleix Vidal | Carles Aleñá | 2 | 11 | 3
EDGE Aleix Vidal | Uri Busquets | 1 | 11 | 1
EDGE Nélson Semedo | Philippe Coutinho | 9 | 28 | 17
EDGE Nélson Semedo | Yerry Mina | 3 | 28 | 4
EDGE Nélson Semedo | Paco Alcácer | 8 | 28 | 11
EDGE Nélson Semedo | Gerard Deulofeu | 6 | 28 | 10
EDGE Nélson Semedo | Denis Suárez | 7 | 28 | 10
EDGE Nélson Semedo | Jasper Cillessen | 6 | 28 | 11
EDGE Nélson Semedo | Carles Aleñá | 2 | 28 | 3
EDGE Nélson Semedo | José Manuel Arnáiz | 2 | 28 | 2
EDGE Nélson Semedo | Uri Busquets | 1 | 28 | 1
EDGE Philippe Coutinho | Yerry Mina | 4 | 17 | 4
EDGE Philippe Coutinho | Jasper Cillessen | 2 | 17 | 11
EDGE Philippe Coutinho | Paco Alcácer | 4 | 17 | 11
EDGE Philippe Coutinho | Denis Suárez | 1 | 17 | 10
EDGE Yerry Mina | Denis Suárez | 1 | 4 | 10
EDGE Yerry Mina | Paco Alcácer | 2 | 4 | 11
