# Graph for Java/GraphStream
# Nodes: 21
# Edges: 208

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Alex Song | Gerard Piqué | 8 | 18 | 39
EDGE Alex Song | Martín Montoya | 10 | 18 | 17
EDGE Alexis Sánchez | Pedro | 25 | 38 | 38
EDGE Alexis Sánchez | Gerard Piqué | 26 | 38 | 39
EDGE Alexis Sánchez | Martín Montoya | 10 | 38 | 17
EDGE Alexis Sánchez | Carles Puyol | 6 | 38 | 12
EDGE Alexis Sánchez | Sergi Roberto | 5 | 38 | 8
EDGE Alexis Sánchez | Cristian Tello | 2 | 38 | 6
EDGE Gerard Piqué | Martín Montoya | 11 | 39 | 17
EDGE Gerard Piqué | Pedro | 24 | 39 | 38
EDGE Gerard Piqué | Sergi Roberto | 2 | 39 | 8
EDGE Gerard Piqué | Carles Puyol | 2 | 39 | 12
EDGE Gerard Piqué | Cristian Tello | 2 | 39 | 6
EDGE Carles Puyol | Sergi Roberto | 6 | 12 | 8
EDGE Carles Puyol | Cristian Tello | 4 | 12 | 6
EDGE Carles Puyol | Pedro | 9 | 12 | 38
EDGE Carles Puyol | Martín Montoya | 6 | 12 | 17
EDGE Sergi Roberto | Cristian Tello | 4 | 8 | 6
EDGE Sergi Roberto | Martín Montoya | 4 | 8 | 17
EDGE Sergi Roberto | Pedro | 6 | 8 | 38
EDGE Cristian Tello | Martín Montoya | 2 | 6 | 17
EDGE Cristian Tello | Pedro | 2 | 6 | 38
EDGE Pedro | Martín Montoya | 13 | 38 | 17
