# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Toni Kroos | Jude Bellingham | 27 | 33 | 39
EDGE Toni Kroos | Rodrygo | 31 | 33 | 41
EDGE Toni Kroos | Nacho Fernández | 18 | 33 | 31
EDGE Toni Kroos | Daniel Carvajal | 26 | 33 | 36
EDGE Toni Kroos | Aurélien Tchouaméni | 18 | 33 | 29
EDGE Toni Kroos | Vinicius Junior | 23 | 33 | 33
EDGE Toni Kroos | Joselu | 4 | 33 | 18
EDGE Toni Kroos | Andriy Lunin | 22 | 33 | 29
EDGE Toni Kroos | Thibaut Courtois | 3 | 33 | 5
EDGE Toni Kroos | Éder Militão | 1 | 33 | 6
EDGE Toni Kroos | Ferland Mendy | 24 | 33 | 31
EDGE Toni Kroos | Dani Ceballos | 2 | 33 | 8
EDGE Toni Kroos | Brahim Díaz | 13 | 33 | 22
EDGE Federico Valverde | Luka Modrić | 18 | 46 | 23
EDGE Federico Valverde | Jude Bellingham | 37 | 46 | 39
EDGE Federico Valverde | Rodrygo | 38 | 46 | 41
EDGE Federico Valverde | Nacho Fernández | 26 | 46 | 31
EDGE Federico Valverde | Daniel Carvajal | 32 | 46 | 36
EDGE Federico Valverde | Aurélien Tchouaméni | 26 | 46 | 29
EDGE Federico Valverde | Vinicius Junior | 32 | 46 | 33
EDGE Federico Valverde | Joselu | 12 | 46 | 18
EDGE Federico Valverde | Andriy Lunin | 28 | 46 | 29
EDGE Federico Valverde | Thibaut Courtois | 3 | 46 | 5
EDGE Federico Valverde | Éder Militão | 3 | 46 | 6
EDGE Federico Valverde | Ferland Mendy | 31 | 46 | 31
EDGE Federico Valverde | Brahim Díaz | 17 | 46 | 22
EDGE Federico Valverde | Dani Ceballos | 3 | 46 | 8
EDGE Federico Valverde | Arda Güler | 1 | 46 | 5
EDGE Luka Modrić | Jude Bellingham | 17 | 23 | 39
EDGE Luka Modrić | Rodrygo | 14 | 23 | 41
EDGE Luka Modrić | Andriy Lunin | 11 | 23 | 29
EDGE Luka Modrić | Aurélien Tchouaméni | 10 | 23 | 29
EDGE Luka Modrić | Vinicius Junior | 10 | 23 | 33
EDGE Luka Modrić | Ferland Mendy | 9 | 23 | 31
EDGE Luka Modrić | Brahim Díaz | 10 | 23 | 22
EDGE Luka Modrić | Daniel Carvajal | 10 | 23 | 36
EDGE Luka Modrić | Joselu | 13 | 23 | 18
EDGE Luka Modrić | Nacho Fernández | 13 | 23 | 31
EDGE Luka Modrić | Éder Militão | 4 | 23 | 6
EDGE Luka Modrić | Dani Ceballos | 5 | 23 | 8
EDGE Luka Modrić | Arda Güler | 4 | 23 | 5
EDGE Luka Modrić | Thibaut Courtois | 2 | 23 | 5
EDGE Jude Bellingham | Rodrygo | 33 | 39 | 41
EDGE Jude Bellingham | Nacho Fernández | 20 | 39 | 31
EDGE Jude Bellingham | Daniel Carvajal | 30 | 39 | 36
EDGE Jude Bellingham | Aurélien Tchouaméni | 23 | 39 | 29
EDGE Jude Bellingham | Vinicius Junior | 25 | 39 | 33
EDGE Jude Bellingham | Joselu | 11 | 39 | 18
EDGE Jude Bellingham | Andriy Lunin | 20 | 39 | 29
EDGE Jude Bellingham | Thibaut Courtois | 3 | 39 | 5
EDGE Jude Bellingham | Éder Militão | 2 | 39 | 6
EDGE Jude Bellingham | Ferland Mendy | 24 | 39 | 31
EDGE Jude Bellingham | Brahim Díaz | 8 | 39 | 22
EDGE Jude Bellingham | Dani Ceballos | 2 | 39 | 8
EDGE Rodrygo | Andriy Lunin | 24 | 41 | 29
EDGE Rodrygo | Aurélien Tchouaméni | 22 | 41 | 29
EDGE Rodrygo | Vinicius Junior | 27 | 41 | 33
EDGE Rodrygo | Thibaut Courtois | 3 | 41 | 5
EDGE Rodrygo | Éder Militão | 2 | 41 | 6
EDGE Rodrygo | Nacho Fernández | 23 | 41 | 31
EDGE Rodrygo | Ferland Mendy | 27 | 41 | 31
EDGE Rodrygo | Daniel Carvajal | 30 | 41 | 36
