# Graph for Java/GraphStream
# Nodes: 28
# Edges: 317

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Cédric Bakambu | Rodri | 1 | 34 | 4
EDGE Cédric Bakambu | Manu Trigueros | 20 | 34 | 32
EDGE Cédric Bakambu | Samu García | 5 | 34 | 15
EDGE Cédric Bakambu | Sergio Asenjo | 6 | 34 | 7
EDGE Cédric Bakambu | Eric Bailly | 20 | 34 | 35
EDGE Cédric Bakambu | Tomás Pina | 15 | 34 | 27
EDGE Cédric Bakambu | Roberto Soldado | 27 | 34 | 39
EDGE Cédric Bakambu | Léo Baptistão | 1 | 34 | 17
EDGE Cédric Bakambu | Adrián López | 2 | 34 | 11
EDGE Cédric Bakambu | Bojan Jokic | 4 | 34 | 7
EDGE Cédric Bakambu | Miguel Llambrich | 1 | 34 | 1
EDGE Mariano Barbosa | Mateo Musacchio | 4 | 12 | 19
EDGE Mariano Barbosa | Pablo Iñiguez | 1 | 12 | 1
EDGE Mariano Barbosa | Adrián Marín | 3 | 12 | 13
EDGE Mariano Barbosa | Antonio Rukavina | 11 | 12 | 27
EDGE Mariano Barbosa | Rodri | 3 | 12 | 4
EDGE Mariano Barbosa | Manu Trigueros | 6 | 12 | 32
EDGE Mariano Barbosa | Samu García | 10 | 12 | 15
EDGE Mariano Barbosa | Eric Bailly | 6 | 12 | 35
EDGE Mariano Barbosa | Roberto Soldado | 4 | 12 | 39
EDGE Mariano Barbosa | Léo Baptistão | 6 | 12 | 17
EDGE Mariano Barbosa | Bojan Jokic | 5 | 12 | 7
EDGE Mariano Barbosa | Tomás Pina | 4 | 12 | 27
EDGE Mariano Barbosa | Adrián López | 2 | 12 | 11
EDGE Mariano Barbosa | Miguel Llambrich | 1 | 12 | 1
EDGE Mateo Musacchio | Pablo Iñiguez | 1 | 19 | 1
EDGE Mateo Musacchio | Adrián Marín | 7 | 19 | 13
EDGE Mateo Musacchio | Antonio Rukavina | 7 | 19 | 27
EDGE Mateo Musacchio | Rodri | 3 | 19 | 4
EDGE Mateo Musacchio | Manu Trigueros | 14 | 19 | 32
EDGE Mateo Musacchio | Samu García | 5 | 19 | 15
EDGE Mateo Musacchio | Eric Bailly | 5 | 19 | 35
EDGE Mateo Musacchio | Léo Baptistão | 4 | 19 | 17
EDGE Mateo Musacchio | Adrián López | 2 | 19 | 11
EDGE Mateo Musacchio | Roberto Soldado | 15 | 19 | 39
EDGE Mateo Musacchio | Tomás Pina | 5 | 19 | 27
EDGE Mateo Musacchio | Bojan Jokic | 2 | 19 | 7
EDGE Mateo Musacchio | Miguel Llambrich | 1 | 19 | 1
EDGE Pablo Iñiguez | Adrián Marín | 1 | 1 | 13
EDGE Pablo Iñiguez | Antonio Rukavina | 1 | 1 | 27
EDGE Pablo Iñiguez | Rodri | 1 | 1 | 4
EDGE Pablo Iñiguez | Manu Trigueros | 1 | 1 | 32
EDGE Pablo Iñiguez | Samu García | 1 | 1 | 15
EDGE Adrián Marín | Antonio Rukavina | 5 | 13 | 27
EDGE Adrián Marín | Rodri | 4 | 13 | 4
EDGE Adrián Marín | Manu Trigueros | 8 | 13 | 32
EDGE Adrián Marín | Samu García | 5 | 13 | 15
EDGE Adrián Marín | Eric Bailly | 7 | 13 | 35
EDGE Adrián Marín | Léo Baptistão | 4 | 13 | 17
EDGE Adrián Marín | Adrián López | 5 | 13 | 11
EDGE Adrián Marín | Tomás Pina | 6 | 13 | 27
EDGE Adrián Marín | Roberto Soldado | 7 | 13 | 39
EDGE Adrián Marín | Alfonso Pedraza | 1 | 13 | 2
EDGE Antonio Rukavina | Rodri | 4 | 27 | 4
EDGE Antonio Rukavina | Manu Trigueros | 11 | 27 | 32
EDGE Antonio Rukavina | Samu García | 11 | 27 | 15
EDGE Antonio Rukavina | Eric Bailly | 17 | 27 | 35
EDGE Antonio Rukavina | Roberto Soldado | 15 | 27 | 39
EDGE Antonio Rukavina | Léo Baptistão | 9 | 27 | 17
EDGE Antonio Rukavina | Sergio Asenjo | 5 | 27 | 7
EDGE Antonio Rukavina | Tomás Pina | 15 | 27 | 27
EDGE Antonio Rukavina | Adrián López | 8 | 27 | 11
EDGE Antonio Rukavina | Bojan Jokic | 5 | 27 | 7
