# Graph for Java/GraphStream
# Nodes: 30
# Edges: 311

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Brahim Díaz | Lorenzo Aguado | 1 | 22 | 1
EDGE Brahim Díaz | Fran González | 1 | 22 | 1
EDGE Brahim Díaz | Éder Militão | 1 | 22 | 14
EDGE Kylian Mbappé | Ferland Mendy | 23 | 52 | 27
EDGE Kylian Mbappé | Luka Modrić | 21 | 52 | 26
EDGE Kylian Mbappé | Vinicius Junior | 37 | 52 | 49
EDGE Kylian Mbappé | Daniel Carvajal | 7 | 52 | 9
EDGE Kylian Mbappé | Lucas Vázquez | 33 | 52 | 37
EDGE Kylian Mbappé | Arda Güler | 13 | 52 | 22
EDGE Kylian Mbappé | Andriy Lunin | 9 | 52 | 14
EDGE Kylian Mbappé | Eduardo Camavinga | 17 | 52 | 22
EDGE Kylian Mbappé | David Alaba | 5 | 52 | 7
EDGE Kylian Mbappé | Éder Militão | 12 | 52 | 14
EDGE Kylian Mbappé | Jesús Vallejo | 1 | 52 | 1
EDGE Kylian Mbappé | Jacobo Ramón | 2 | 52 | 3
EDGE Kylian Mbappé | Endrick | 2 | 52 | 8
EDGE Kylian Mbappé | Fran González | 1 | 52 | 1
EDGE Kylian Mbappé | Gonzalo García | 1 | 52 | 6
EDGE Dean Huijsen | Arda Güler | 4 | 5 | 22
EDGE Dean Huijsen | Trent Alexander-Arnold | 5 | 5 | 5
EDGE Dean Huijsen | Gonzalo García | 5 | 5 | 6
EDGE Dean Huijsen | Vinicius Junior | 5 | 5 | 49
EDGE Arda Güler | Trent Alexander-Arnold | 4 | 22 | 5
EDGE Arda Güler | Gonzalo García | 5 | 22 | 6
EDGE Arda Güler | Vinicius Junior | 11 | 22 | 49
EDGE Arda Güler | Andriy Lunin | 6 | 22 | 14
EDGE Arda Güler | Jacobo Ramón | 3 | 22 | 3
EDGE Arda Güler | Ferland Mendy | 3 | 22 | 27
EDGE Arda Güler | Luka Modrić | 10 | 22 | 26
EDGE Arda Güler | Endrick | 6 | 22 | 8
EDGE Arda Güler | Lucas Vázquez | 8 | 22 | 37
EDGE Arda Güler | Eduardo Camavinga | 6 | 22 | 22
EDGE Arda Güler | Jesús Vallejo | 1 | 22 | 1
EDGE Arda Güler | Diego Aguado | 1 | 22 | 1
EDGE Arda Güler | Lorenzo Aguado | 1 | 22 | 1
EDGE Arda Güler | Éder Militão | 2 | 22 | 14
EDGE Arda Güler | Daniel Carvajal | 2 | 22 | 9
EDGE Arda Güler | David Alaba | 1 | 22 | 7
EDGE Trent Alexander-Arnold | Gonzalo García | 5 | 5 | 6
EDGE Trent Alexander-Arnold | Vinicius Junior | 5 | 5 | 49
EDGE Gonzalo García | Vinicius Junior | 6 | 6 | 49
EDGE Vinicius Junior | Ferland Mendy | 23 | 49 | 27
EDGE Vinicius Junior | Luka Modrić | 15 | 49 | 26
EDGE Vinicius Junior | Daniel Carvajal | 8 | 49 | 9
EDGE Vinicius Junior | Lucas Vázquez | 26 | 49 | 37
EDGE Vinicius Junior | Andriy Lunin | 9 | 49 | 14
EDGE Vinicius Junior | Eduardo Camavinga | 16 | 49 | 22
EDGE Vinicius Junior | Endrick | 4 | 49 | 8
EDGE Vinicius Junior | David Alaba | 7 | 49 | 7
EDGE Vinicius Junior | Éder Militão | 13 | 49 | 14
EDGE Vinicius Junior | Fran González | 1 | 49 | 1
EDGE Ferland Mendy | Luka Modrić | 13 | 27 | 26
EDGE Ferland Mendy | Andriy Lunin | 5 | 27 | 14
EDGE Ferland Mendy | Jacobo Ramón | 1 | 27 | 3
EDGE Ferland Mendy | Endrick | 2 | 27 | 8
EDGE Ferland Mendy | Daniel Carvajal | 7 | 27 | 9
EDGE Ferland Mendy | Lucas Vázquez | 14 | 27 | 37
EDGE Ferland Mendy | David Alaba | 2 | 27 | 7
EDGE Ferland Mendy | Éder Militão | 10 | 27 | 14
EDGE Ferland Mendy | Eduardo Camavinga | 8 | 27 | 22
EDGE Luka Modrić | Andriy Lunin | 9 | 26 | 14
EDGE Luka Modrić | Jacobo Ramón | 3 | 26 | 3
EDGE Luka Modrić | Endrick | 4 | 26 | 8
EDGE Luka Modrić | Lucas Vázquez | 13 | 26 | 37
EDGE Luka Modrić | Eduardo Camavinga | 7 | 26 | 22
EDGE Luka Modrić | David Alaba | 4 | 26 | 7
EDGE Luka Modrić | Daniel Carvajal | 3 | 26 | 9
EDGE Luka Modrić | Jesús Vallejo | 1 | 26 | 1
EDGE Luka Modrić | Diego Aguado | 1 | 26 | 1
EDGE Luka Modrić | Lorenzo Aguado | 1 | 26 | 1
EDGE Luka Modrić | Éder Militão | 5 | 26 | 14
EDGE Luka Modrić | Fran González | 1 | 26 | 1
EDGE Andriy Lunin | Jacobo Ramón | 2 | 14 | 3
EDGE Andriy Lunin | Endrick | 6 | 14 | 8
EDGE Andriy Lunin | Eduardo Camavinga | 8 | 14 | 22
EDGE Andriy Lunin | Lucas Vázquez | 8 | 14 | 37
EDGE Andriy Lunin | Daniel Carvajal | 2 | 14 | 9
EDGE Andriy Lunin | Jesús Vallejo | 1 | 14 | 1
EDGE Andriy Lunin | Diego Aguado | 1 | 14 | 1
EDGE Andriy Lunin | Lorenzo Aguado | 1 | 14 | 1
EDGE Andriy Lunin | Éder Militão | 4 | 14 | 14
EDGE Andriy Lunin | David Alaba | 2 | 14 | 7
EDGE Jacobo Ramón | Endrick | 3 | 3 | 8
EDGE Jacobo Ramón | Jesús Vallejo | 1 | 3 | 1
EDGE Endrick | Eduardo Camavinga | 4 | 8 | 22
EDGE Endrick | Jesús Vallejo | 1 | 8 | 1
EDGE Endrick | Diego Aguado | 1 | 8 | 1
EDGE Endrick | Lorenzo Aguado | 1 | 8 | 1
EDGE Endrick | David Alaba | 2 | 8 | 7
EDGE Endrick | Lucas Vázquez | 2 | 8 | 37
EDGE Endrick | Éder Militão | 1 | 8 | 14
EDGE Endrick | Daniel Carvajal | 1 | 8 | 9
EDGE Daniel Carvajal | Lucas Vázquez | 1 | 9 | 37
EDGE Daniel Carvajal | Eduardo Camavinga | 2 | 9 | 22
EDGE Daniel Carvajal | Éder Militão | 7 | 9 | 14
EDGE Lucas Vázquez | Eduardo Camavinga | 11 | 37 | 22
EDGE Lucas Vázquez | David Alaba | 6 | 37 | 7
EDGE Lucas Vázquez | Éder Militão | 7 | 37 | 14
EDGE Lucas Vázquez | Fran González | 1 | 37 | 1
EDGE Eduardo Camavinga | Diego Aguado | 1 | 22 | 1
EDGE Eduardo Camavinga | Lorenzo Aguado | 1 | 22 | 1
EDGE Eduardo Camavinga | David Alaba | 2 | 22 | 7
EDGE Eduardo Camavinga | Éder Militão | 4 | 22 | 14
EDGE Diego Aguado | Lorenzo Aguado | 1 | 1 | 1
