# Graph for Java/GraphStream
# Nodes: 26
# Edges: 290

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Josuha Guilavogui | Léo Baptistão | 1 | 4 | 3
EDGE Emiliano Insúa | Cristian Rodríguez | 4 | 11 | 7
EDGE Emiliano Insúa | Daniel Aranzubia | 3 | 11 | 5
EDGE Emiliano Insúa | Javier Manquillo | 3 | 11 | 7
EDGE Emiliano Insúa | José María Giménez | 1 | 11 | 2
EDGE Emiliano Insúa | Carlos Ramos | 1 | 11 | 1
EDGE Emiliano Insúa | Léo Baptistão | 2 | 11 | 3
EDGE Cristian Rodríguez | Daniel Aranzubia | 2 | 7 | 5
EDGE Cristian Rodríguez | Javier Manquillo | 2 | 7 | 7
EDGE Cristian Rodríguez | José María Giménez | 1 | 7 | 2
EDGE Cristian Rodríguez | Carlos Ramos | 1 | 7 | 1
EDGE Cristian Rodríguez | Léo Baptistão | 1 | 7 | 3
EDGE Daniel Aranzubia | Javier Manquillo | 5 | 5 | 7
EDGE Daniel Aranzubia | José María Giménez | 1 | 5 | 2
EDGE Daniel Aranzubia | Carlos Ramos | 1 | 5 | 1
EDGE Daniel Aranzubia | Léo Baptistão | 1 | 5 | 3
EDGE Javier Manquillo | José María Giménez | 1 | 7 | 2
EDGE Javier Manquillo | Carlos Ramos | 1 | 7 | 1
EDGE Javier Manquillo | Léo Baptistão | 1 | 7 | 3
EDGE José María Giménez | Carlos Ramos | 1 | 2 | 1
EDGE José María Giménez | Léo Baptistão | 1 | 2 | 3
EDGE Carlos Ramos | Léo Baptistão | 1 | 1 | 3
