# Graph for Java/GraphStream
# Nodes: 26
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Dani Ceballos | Brahim Díaz | 1 | 19 | 5
EDGE Marco Asensio | Vinicius Junior | 3 | 24 | 20
EDGE Marco Asensio | Lucas Vázquez | 7 | 24 | 29
EDGE Marco Asensio | Karim Benzema | 22 | 24 | 52
EDGE Marco Asensio | Thibaut Courtois | 13 | 24 | 35
EDGE Marco Asensio | Nacho Fernández | 11 | 24 | 27
EDGE Marco Asensio | Casemiro | 15 | 24 | 38
EDGE Marco Asensio | Toni Kroos | 17 | 24 | 39
EDGE Marco Asensio | Luka Modrić | 15 | 24 | 41
EDGE Marco Asensio | Gareth Bale | 11 | 24 | 29
EDGE Marco Asensio | Raphaël Varane | 17 | 24 | 42
EDGE Marco Asensio | Marcelo | 16 | 24 | 32
EDGE Marco Asensio | Isco | 11 | 24 | 17
EDGE Marco Asensio | Mariano Díaz | 2 | 24 | 4
EDGE Marco Asensio | Daniel Carvajal | 12 | 24 | 35
EDGE Marco Asensio | Federico Valverde | 4 | 24 | 10
EDGE Marco Asensio | Jesús Vallejo | 4 | 24 | 6
EDGE Marco Asensio | Brahim Díaz | 1 | 24 | 5
EDGE Vinicius Junior | Lucas Vázquez | 13 | 20 | 29
EDGE Vinicius Junior | Karim Benzema | 18 | 20 | 52
EDGE Vinicius Junior | Thibaut Courtois | 11 | 20 | 35
EDGE Vinicius Junior | Raphaël Varane | 13 | 20 | 42
EDGE Vinicius Junior | Marcelo | 7 | 20 | 32
EDGE Vinicius Junior | Daniel Carvajal | 14 | 20 | 35
EDGE Vinicius Junior | Casemiro | 14 | 20 | 38
EDGE Vinicius Junior | Toni Kroos | 10 | 20 | 39
EDGE Vinicius Junior | Luka Modrić | 14 | 20 | 41
EDGE Vinicius Junior | Nacho Fernández | 9 | 20 | 27
EDGE Vinicius Junior | Federico Valverde | 6 | 20 | 10
EDGE Vinicius Junior | Gareth Bale | 3 | 20 | 29
EDGE Vinicius Junior | Jesús Vallejo | 2 | 20 | 6
EDGE Vinicius Junior | Isco | 3 | 20 | 17
EDGE Vinicius Junior | Mariano Díaz | 1 | 20 | 4
EDGE Vinicius Junior | Brahim Díaz | 1 | 20 | 5
EDGE Lucas Vázquez | Karim Benzema | 26 | 29 | 52
EDGE Lucas Vázquez | Thibaut Courtois | 19 | 29 | 35
EDGE Lucas Vázquez | Raphaël Varane | 23 | 29 | 42
EDGE Lucas Vázquez | Marcelo | 16 | 29 | 32
EDGE Lucas Vázquez | Daniel Carvajal | 19 | 29 | 35
EDGE Lucas Vázquez | Casemiro | 20 | 29 | 38
EDGE Lucas Vázquez | Toni Kroos | 21 | 29 | 39
EDGE Lucas Vázquez | Luka Modrić | 21 | 29 | 41
EDGE Lucas Vázquez | Isco | 3 | 29 | 17
EDGE Lucas Vázquez | Mariano Díaz | 2 | 29 | 4
EDGE Lucas Vázquez | Nacho Fernández | 9 | 29 | 27
EDGE Lucas Vázquez | Gareth Bale | 9 | 29 | 29
EDGE Lucas Vázquez | Jesús Vallejo | 2 | 29 | 6
EDGE Lucas Vázquez | Federico Valverde | 3 | 29 | 10
EDGE Lucas Vázquez | Brahim Díaz | 1 | 29 | 5
EDGE Karim Benzema | Thibaut Courtois | 32 | 52 | 35
EDGE Karim Benzema | Nacho Fernández | 26 | 52 | 27
EDGE Karim Benzema | Casemiro | 35 | 52 | 38
EDGE Karim Benzema | Toni Kroos | 37 | 52 | 39
EDGE Karim Benzema | Luka Modrić | 39 | 52 | 41
EDGE Karim Benzema | Gareth Bale | 28 | 52 | 29
EDGE Karim Benzema | Raphaël Varane | 38 | 52 | 42
EDGE Karim Benzema | Marcelo | 28 | 52 | 32
EDGE Karim Benzema | Daniel Carvajal | 32 | 52 | 35
EDGE Karim Benzema | Federico Valverde | 7 | 52 | 10
EDGE Karim Benzema | Isco | 14 | 52 | 17
EDGE Karim Benzema | Brahim Díaz | 4 | 52 | 5
EDGE Karim Benzema | Jesús Vallejo | 3 | 52 | 6
EDGE Karim Benzema | Luca Zidane | 1 | 52 | 1
EDGE Thibaut Courtois | Nacho Fernández | 15 | 35 | 27
EDGE Thibaut Courtois | Casemiro | 25 | 35 | 38
EDGE Thibaut Courtois | Toni Kroos | 27 | 35 | 39
EDGE Thibaut Courtois | Luka Modrić | 30 | 35 | 41
EDGE Thibaut Courtois | Gareth Bale | 20 | 35 | 29
EDGE Thibaut Courtois | Raphaël Varane | 27 | 35 | 42
EDGE Thibaut Courtois | Marcelo | 18 | 35 | 32
EDGE Thibaut Courtois | Daniel Carvajal | 21 | 35 | 35
EDGE Thibaut Courtois | Isco | 5 | 35 | 17
EDGE Thibaut Courtois | Mariano Díaz | 3 | 35 | 4
EDGE Thibaut Courtois | Jesús Vallejo | 4 | 35 | 6
EDGE Thibaut Courtois | Federico Valverde | 2 | 35 | 10
EDGE Thibaut Courtois | Brahim Díaz | 2 | 35 | 5
EDGE Nacho Fernández | Casemiro | 23 | 27 | 38
EDGE Nacho Fernández | Toni Kroos | 16 | 27 | 39
EDGE Nacho Fernández | Luka Modrić | 18 | 27 | 41
EDGE Nacho Fernández | Gareth Bale | 15 | 27 | 29
EDGE Nacho Fernández | Raphaël Varane | 15 | 27 | 42
EDGE Nacho Fernández | Daniel Carvajal | 12 | 27 | 35
EDGE Nacho Fernández | Federico Valverde | 7 | 27 | 10
EDGE Nacho Fernández | Isco | 11 | 27 | 17
EDGE Nacho Fernández | Marcelo | 11 | 27 | 32
EDGE Nacho Fernández | Brahim Díaz | 4 | 27 | 5
EDGE Nacho Fernández | Jesús Vallejo | 1 | 27 | 6
EDGE Nacho Fernández | Luca Zidane | 1 | 27 | 1
EDGE Casemiro | Toni Kroos | 28 | 38 | 39
EDGE Casemiro | Luka Modrić | 28 | 38 | 41
EDGE Casemiro | Gareth Bale | 17 | 38 | 29
EDGE Casemiro | Raphaël Varane | 28 | 38 | 42
EDGE Casemiro | Marcelo | 18 | 38 | 32
EDGE Casemiro | Daniel Carvajal | 22 | 38 | 35
EDGE Casemiro | Isco | 11 | 38 | 17
EDGE Casemiro | Mariano Díaz | 2 | 38 | 4
EDGE Casemiro | Federico Valverde | 6 | 38 | 10
EDGE Casemiro | Brahim Díaz | 3 | 38 | 5
EDGE Casemiro | Jesús Vallejo | 3 | 38 | 6
EDGE Toni Kroos | Luka Modrić | 30 | 39 | 41
EDGE Toni Kroos | Gareth Bale | 23 | 39 | 29
EDGE Toni Kroos | Raphaël Varane | 31 | 39 | 42
EDGE Toni Kroos | Marcelo | 25 | 39 | 32
EDGE Toni Kroos | Daniel Carvajal | 27 | 39 | 35
EDGE Toni Kroos | Isco | 8 | 39 | 17
EDGE Toni Kroos | Jesús Vallejo | 4 | 39 | 6
EDGE Toni Kroos | Mariano Díaz | 2 | 39 | 4
EDGE Toni Kroos | Federico Valverde | 1 | 39 | 10
EDGE Toni Kroos | Brahim Díaz | 2 | 39 | 5
EDGE Luka Modrić | Gareth Bale | 23 | 41 | 29
EDGE Luka Modrić | Raphaël Varane | 35 | 41 | 42
EDGE Luka Modrić | Marcelo | 22 | 41 | 32
EDGE Luka Modrić | Daniel Carvajal | 26 | 41 | 35
EDGE Luka Modrić | Isco | 8 | 41 | 17
EDGE Luka Modrić | Mariano Díaz | 2 | 41 | 4
EDGE Luka Modrić | Federico Valverde | 4 | 41 | 10
EDGE Luka Modrić | Jesús Vallejo | 2 | 41 | 6
EDGE Luka Modrić | Brahim Díaz | 1 | 41 | 5
EDGE Gareth Bale | Raphaël Varane | 20 | 29 | 42
EDGE Gareth Bale | Daniel Carvajal | 17 | 29 | 35
EDGE Gareth Bale | Federico Valverde | 2 | 29 | 10
EDGE Gareth Bale | Isco | 10 | 29 | 17
EDGE Gareth Bale | Marcelo | 17 | 29 | 32
EDGE Gareth Bale | Brahim Díaz | 2 | 29 | 5
EDGE Gareth Bale | Jesús Vallejo | 1 | 29 | 6
EDGE Gareth Bale | Mariano Díaz | 1 | 29 | 4
EDGE Gareth Bale | Luca Zidane | 1 | 29 | 1
EDGE Raphaël Varane | Marcelo | 25 | 42 | 32
EDGE Raphaël Varane | Daniel Carvajal | 30 | 42 | 35
EDGE Raphaël Varane | Isco | 10 | 42 | 17
