# Graph for Java/GraphStream
# Nodes: 26
# Edges: 262

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Lionel Messi | Víctor Valdés | 15 | 17 | 49
EDGE Lionel Messi | Thiago Motta | 5 | 17 | 16
EDGE Lionel Messi | Samuel Eto'o | 14 | 17 | 47
EDGE Lionel Messi | Sylvinho | 7 | 17 | 25
EDGE Lionel Messi | Juliano Belletti | 7 | 17 | 32
EDGE Lionel Messi | Gabri | 2 | 17 | 8
EDGE Lionel Messi | Mark van Bommel | 5 | 17 | 26
EDGE Lionel Messi | Xavi | 5 | 17 | 20
EDGE Lionel Messi | Henrik Larsson | 2 | 17 | 21
EDGE Víctor Valdés | Mark van Bommel | 24 | 49 | 26
EDGE Víctor Valdés | Samuel Eto'o | 45 | 49 | 47
EDGE Víctor Valdés | Rodri | 2 | 49 | 3
EDGE Víctor Valdés | Sylvinho | 22 | 49 | 25
EDGE Víctor Valdés | Juliano Belletti | 25 | 49 | 32
EDGE Víctor Valdés | Henrik Larsson | 16 | 49 | 21
EDGE Víctor Valdés | Xavi | 18 | 49 | 20
EDGE Víctor Valdés | Thiago Motta | 13 | 49 | 16
EDGE Víctor Valdés | Gabri | 4 | 49 | 8
EDGE Víctor Valdés | Santiago Ezquerro | 1 | 49 | 6
EDGE Mark van Bommel | Samuel Eto'o | 21 | 26 | 47
EDGE Mark van Bommel | Rodri | 2 | 26 | 3
EDGE Mark van Bommel | Sylvinho | 10 | 26 | 25
EDGE Mark van Bommel | Juliano Belletti | 12 | 26 | 32
EDGE Mark van Bommel | Henrik Larsson | 15 | 26 | 21
EDGE Mark van Bommel | Thiago Motta | 7 | 26 | 16
EDGE Mark van Bommel | Gabri | 3 | 26 | 8
EDGE Mark van Bommel | Santiago Ezquerro | 2 | 26 | 6
EDGE Mark van Bommel | Xavi | 7 | 26 | 20
EDGE Samuel Eto'o | Rodri | 2 | 47 | 3
EDGE Samuel Eto'o | Sylvinho | 20 | 47 | 25
EDGE Samuel Eto'o | Juliano Belletti | 27 | 47 | 32
EDGE Samuel Eto'o | Henrik Larsson | 13 | 47 | 21
EDGE Samuel Eto'o | Xavi | 19 | 47 | 20
EDGE Samuel Eto'o | Thiago Motta | 13 | 47 | 16
EDGE Samuel Eto'o | Gabri | 2 | 47 | 8
EDGE Samuel Eto'o | Santiago Ezquerro | 2 | 47 | 6
EDGE Samuel Eto'o | Jesús Olmo | 1 | 47 | 1
EDGE Samuel Eto'o | Andrea Orlandi | 1 | 47 | 1
EDGE Samuel Eto'o | Ludovic Sylvestre | 1 | 47 | 1
EDGE Samuel Eto'o | Maxi López | 1 | 47 | 2
EDGE Rodri | Sylvinho | 3 | 3 | 25
EDGE Rodri | Juliano Belletti | 3 | 3 | 32
EDGE Rodri | Henrik Larsson | 3 | 3 | 21
EDGE Rodri | Gabri | 2 | 3 | 8
EDGE Rodri | Thiago Motta | 2 | 3 | 16
EDGE Rodri | Xavi | 1 | 3 | 20
EDGE Rodri | Santiago Ezquerro | 1 | 3 | 6
EDGE Rodri | Maxi López | 1 | 3 | 2
EDGE Sylvinho | Juliano Belletti | 17 | 25 | 32
EDGE Sylvinho | Henrik Larsson | 10 | 25 | 21
EDGE Sylvinho | Xavi | 11 | 25 | 20
EDGE Sylvinho | Gabri | 5 | 25 | 8
EDGE Sylvinho | Thiago Motta | 7 | 25 | 16
EDGE Sylvinho | Santiago Ezquerro | 2 | 25 | 6
EDGE Sylvinho | Maxi López | 1 | 25 | 2
EDGE Juliano Belletti | Henrik Larsson | 14 | 32 | 21
EDGE Juliano Belletti | Thiago Motta | 10 | 32 | 16
EDGE Juliano Belletti | Xavi | 12 | 32 | 20
EDGE Juliano Belletti | Gabri | 6 | 32 | 8
EDGE Juliano Belletti | Santiago Ezquerro | 5 | 32 | 6
EDGE Juliano Belletti | Maxi López | 2 | 32 | 2
EDGE Juliano Belletti | Jesús Olmo | 1 | 32 | 1
EDGE Juliano Belletti | Andrea Orlandi | 1 | 32 | 1
EDGE Juliano Belletti | Ludovic Sylvestre | 1 | 32 | 1
EDGE Henrik Larsson | Xavi | 4 | 21 | 20
EDGE Henrik Larsson | Gabri | 6 | 21 | 8
EDGE Henrik Larsson | Thiago Motta | 6 | 21 | 16
EDGE Henrik Larsson | Santiago Ezquerro | 3 | 21 | 6
