# Graph for Java/GraphStream
# Nodes: 26
# Edges: 278

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Raúl García | Dani García | 35 | 41 | 38
EDGE Raúl García | Unai López | 23 | 41 | 25
EDGE Raúl García | Iker Muniain | 29 | 41 | 31
EDGE Raúl García | Ibai Gómez | 7 | 41 | 8
EDGE Raúl García | Oihan Sancet | 6 | 41 | 9
EDGE Raúl García | Asier Villalibre | 5 | 41 | 7
EDGE Raúl García | Gaizka Larrazabal | 3 | 41 | 3
EDGE Raúl García | Óscar de Marcos | 6 | 41 | 7
EDGE Raúl García | Kenan Kodro | 2 | 41 | 4
EDGE Raúl García | Unai Vencedor | 2 | 41 | 2
EDGE Raúl García | Álex Berenguer | 1 | 41 | 1
EDGE Iñigo Córdoba | Iñaki Williams | 19 | 22 | 41
EDGE Iñigo Córdoba | Unai Simón | 19 | 22 | 38
EDGE Iñigo Córdoba | Yeray Álvarez | 16 | 22 | 38
EDGE Iñigo Córdoba | Óscar de Marcos | 1 | 22 | 7
EDGE Iñigo Córdoba | Unai López | 16 | 22 | 25
EDGE Iñigo Córdoba | Oihan Sancet | 6 | 22 | 9
EDGE Iñigo Córdoba | Yuri Berchiche | 18 | 22 | 38
EDGE Iñigo Córdoba | Mikel San José | 1 | 22 | 4
EDGE Iñigo Córdoba | Dani García | 20 | 22 | 38
EDGE Iñigo Córdoba | Iker Muniain | 13 | 22 | 31
EDGE Iñigo Córdoba | Asier Villalibre | 1 | 22 | 7
EDGE Iñigo Córdoba | Gaizka Larrazabal | 2 | 22 | 3
EDGE Iñigo Córdoba | Ibai Gómez | 1 | 22 | 8
EDGE Iñigo Córdoba | Kenan Kodro | 1 | 22 | 4
EDGE Iñaki Williams | Unai Simón | 35 | 41 | 38
EDGE Iñaki Williams | Yeray Álvarez | 35 | 41 | 38
EDGE Iñaki Williams | Óscar de Marcos | 7 | 41 | 7
EDGE Iñaki Williams | Unai López | 25 | 41 | 25
EDGE Iñaki Williams | Oihan Sancet | 9 | 41 | 9
EDGE Iñaki Williams | Yuri Berchiche | 36 | 41 | 38
EDGE Iñaki Williams | Mikel San José | 3 | 41 | 4
EDGE Iñaki Williams | Dani García | 35 | 41 | 38
EDGE Iñaki Williams | Iker Muniain | 29 | 41 | 31
EDGE Iñaki Williams | Ibai Gómez | 5 | 41 | 8
EDGE Iñaki Williams | Asier Villalibre | 4 | 41 | 7
EDGE Iñaki Williams | Kenan Kodro | 3 | 41 | 4
EDGE Iñaki Williams | Gaizka Larrazabal | 1 | 41 | 3
